A: 	oké dit zijn degeen met de piramide op zijn hoofd 
B: 	met dat punt zeggen maar ja 
A: 	ja zijn echt een punt gewoon 
B: 	ja 
B: 	ja we hebben er ook nog niet zoveel niet hebben dus dat moeten wel J zijn want ver hebben die allemaal van die raar uitsteeksel 
A: 	er zijn geen ander 
A: 	ja hebben een heel groot blok voor zich nog zeggen maar zo'n raar neus en staan op wielt soort van 
B: 	ja 
B: 	ja 
B: 	ja soort van ja 
A: 	ja 
B: 	ja dan zijn het J 
A: 	hij staan rechts onderin 
A: 	er kunnen links van hem nog een blok rechts van hem nog denken ik zo bijna twee blok 
A: 	en boven hem nog een blok 
B: 	ja 
B: 	ja bij mij ook wel denken ik 
A: 	ja 
B: 	ja 
B: 	oké dit zijn die met dat met dat puntmuts zeggen maar 
B: 	met dat blok aan de zijkant en dat dat puntdak 
A: 	ah 
A: 	ja 
B: 	het piramidedinge 
A: 	op wielet en zo de piramide 
B: 	ja 
A: 	ja 
A: 	nummer zes 
B: 	die staan bij mij rechts onderin 
A: 	ja 
B: 	en dan nou ongeveer in het midden van als je zeggen maar verticaal kijken ongeveer in nou net iets net iets naar de buitenkant zeggen maar 
A: 	ja dat zijn een leuk 
A: 	ja ja hebben ik hetzelfde 
B: 	van het midden 
B: 	en dan wel zeggen maar op twee drie hoogte 
B: 	vanaf beneden 
A: 	ja hebben ik ook 
B: 	ja 
A: 	oké 
A: 	zijn de Piramidekuif 
B: 	ja 
B: 	dat zijn bij mij E 
A: 	hij staan rechtsonder 
A: 	bijna tegen de verticaal lijn aan 
B: 	nee bij mij staan die echt wel in het midden zeggen maar 
A: 	oké 
B: 	van het vak weer 
B: 	oké dus dat zijn rood 
B: 	nu hebben ik met dat piramidehoofd 
A: 	ja 
A: 	op wielt 
B: 	ja op wielt 
A: 	oké 
A: 	nog eventjes controleren dan weten je wel 
B: 	tja 
B: 	want dat staan er wel 
A: 	dat zijn nummer tien 
B: 	ja 
B: 	die staan bij mij links onderin 
A: 	die maar die zijn draaien met ons hè ? ja 
B: 	maar die zijn volgens mij andersom met die met dat zonnepaneel dus ik denken dat die fout zijn 
A: 	ja 
A: 	ja want bij mij zijn die zijn die niet de Buitenste zeggen maar 
B: 	ja bij mij wel 
A: 	ja 
B: 	ja 
A: 	zijn niet goed 
A: 	de piramide 
A: 	op wiele 
B: 	ja 
B: 	dat zijn bij mij G 
A: 	en dan zijn die helemaal linksboven 
B: 	ja daar staan ook ver niks 
A: 	ja er staan niks veel ja 
B: 	ik hebben die met dat piramidehoed 
A: 	ja 
A: 	nummer tien 
B: 	en die staan bij mij rechtsonder 
A: 	ja 
B: 	soort van naast die met die armpjes 
A: 	ja 
B: 	maar ik weten niet veel of wij die op dezelfde plek hebben 
A: 	dat hebben we op dezelfde plek ja hoor ja 
B: 	ja 
A: 	en en net er net eronder zeggen maar schuin eronder 
B: 	net zo net eronder naast ja 
A: 	ja 
