A: 	oké deze hebben een piramidehoed bovenop 
B: 	ja ja echt zo'n puntig 
A: 	en dan nog een heel groot massief stuk aan de Rechtervoorkant 
B: 	ja en een soort een rond onderaan 
A: 	die 
A: 	ja 
B: 	dat zijn J bij mij 
A: 	oké en dan staan die bij mij op de onderste rij 
A: 	niet helemaal rechts maar iets tussen de veel rechterrij en die daarnaast erin eigenlijk 
B: 	ja 
B: 	maar er staan niks veel naast toch 
A: 	nee 
B: 	nee dan zijn het hetzelfde bij mij 
B: 	dit zijn die met dat puntmuts en dat raar blok aan de rechterkant en dat rond onder 
A: 	ja 
A: 	even kijken hoor 
A: 	ja vinden 
A: 	zes 
B: 	en hij staat niet helemaal rechtsonder in de hoek maar dan zo schuin boven links daarvan 
A: 	ja net links daarboven daarvan 
B: 	ja 
A: 	oké dat zijn hetzelfde 
A: 	dit zijn die met het piramidehoed en dat groot blok 
B: 	ja dat zijn E 
A: 	en dan staan die niet de onderste rij maar de rij daarboven 
A: 	en dan van die drie de middel 
B: 	oké dat zijn anders 
B: 	dit zijn die met die piramide 
A: 	ja dat zijn tien 
B: 	en die staan linksonder in de hoek 
A: 	oké dat zijn niet gelijk 
A: 	dit zijn die met de piramide 
A: 	hoed 
B: 	dat zijn G 
A: 	die staan bij mij helemaal linksboven in de hoek 
B: 	ja 
B: 	dit zijn de piramide 
A: 	dat zijn tien 
B: 	van even kijken 
B: 	je hebben rechts dat driehoek 
B: 	en dan daar recht onder zeggen maar dan hebben je 
A: 	ja 
A: 	dus er staan niks veel onder 
B: 	nee daar staan niks onder 
A: 	oké dan zijn die gelijk 
