A: 	oké mijne hebben ja dat ei aan de voorkant en daar zitten dan die 
A: 	staaf doorheen en al op die staaf zitten een rond 
B: 	ja hebben ja dat zijn dat zijn F 
A: 	oké 
A: 	en hij staan bij mij ja eigenlijk midden precies en dan rechts in het midden 
B: 	ja dat hebben ik ook 
A: 	ja 
B: 	er zitten er nog één boven en nog één onder kloppen dat 
A: 	ja 
A: 	oké kijken er staan er één precies boven en dan staan er één helemaal onderaan bij mij 
B: 	ja 
B: 	ja ik hebben hetzelfde 
A: 	maar dat zijn echt in het midden en dan daar 
B: 	ja dus op dus op deze manier in het 
A: 	op deze deze manier en dan 
B: 	aan de rechterkant dan staan die op dezelfde plek 
A: 	ja 
A: 	ja oké 
B: 	dat zijn geel 
B: 	ja 
B: 	deze zitten in de emmer zitten één ja een soort wat zijn het ? dinge dat dat dat dat ei met die staaf erdoorheen 
B: 	makkelijk 
A: 	de ei met de staaf erdoorheen en aan de op die einde van die staaf weer dat rond 
B: 	ja 
B: 	en dat 
B: 	ja 
A: 	dat zijn vijf 
B: 	en die zitten aan de linkerkant 
B: 	en dan net boven het boven het midden 
B: 	en dan zitten daar vanaf het plaat zien rechtsboven zitten er nog iets en link zitten er half halen die het net maar net niet helemaal 
A: 	nee nee nee bij mij zitten echt aan de rechterkant van het scherm zitten er nog iets boven maar voor de rest zitten er niks veel boven 
B: 	ja dat hebben ik ook 
A: 	en 
B: 	wachten even even opnieuw 
B: 	je hebben dus het je hebben het kruis 
A: 	ja 
B: 	en dan aan de linkerkant 
A: 	ja 
B: 	als je dat dat scherm dan weer in twee delen zitten hij daar weer net iets rechts van 
A: 	ja precies ja dat hebben ik ook 
B: 	en dan zitten er daarboven helemaal recht boven zitten niks maar net een beetje schuin boven zitten wel weer iets 
A: 	aan de linker of aan de rechterkant 
B: 	aan de aan de rechterkant zitten wel iets 
A: 	ja maar daar 
B: 	en aan de linkerkant zitten helemaal niks 
A: 	nee nee oké maar dat zijn helemaal aan de aan de ander kant van het scherm zeggen 
A: 	zeggen maar in verhouding 
B: 	ja ja ja ja 
A: 	ja ja ja oké 
A: 	ja dan denken ik dat die wel op dezelfde plek staan 
B: 	ik denken het ook ja 
A: 	ja dit zijn weer die dat ei met die staaf erdoorheen en op dat uiteinde van die staaf 
B: 	ei zijn het ja die staan bij mij op A 
A: 	en die staan voor mij ja of rechtsonder 
A: 	niet strak rechtsonder maar er staan ver niks omheen 
B: 	nee ander plek 
B: 	ik hebben de dat ei met die staaf erdoorheen 
B: 	de bal met de staaf 
B: 	hoe gaan we het noemen 
A: 	wachten even kijken waar staan die 
A: 	ja en op het uiteinde 
B: 	yes 
A: 	yes 
A: 	dat zijn vijf 
B: 	en die staan als je zeggen maar het midden aan de rechterkant 
B: 	net iets boven de horizontaal lijn 
B: 	en dan zitten er aan de rechterkant daarvan zitten nog een nog een extra plaat dus er zitten 
B: 	ook als je dan de het rechterkant van het scherm hebben 
B: 	daar dan weer iets aan de aan de linkerkant van 
B: 	als je dat als je de rechterkant doormidden door door twee doen 
A: 	ja 
B: 	dan daar net iets link van en dan op de horizontaal lijn ongeveer 
B: 	net iets Erboven 
A: 	zo 
A: 	ja ik hebben hem zeggen maar dat weten ik niet 
B: 	ik denken dat die op een ander plek staan dan 
A: 	ja hij staan ik denken er zitten denken ik een paar millimeter verschil tussen of zo 
A: 	ik hebben hem echt vanaf de zijkant van het scherm 
B: 	maar staan er bij jou nog iets nog iets rechts van 
A: 	nee 
B: 	nee dan staan die op een ander plek 
A: 	zoiets hebben ik over 
B: 	nee ik hebben echt echt dit 
A: 	nee nee nee nee nee dan staan die niet op dezelfde plek 
A: 	ja dit zijn dat ei met die staaf erdoorheen en dan 
B: 	ja 
B: 	dat zijn H 
B: 	zijn dat zo ? zeggen ik dat goed ? ja H 
A: 	ja 
A: 	en even kijken ja die zitten dan middel 
A: 	en dan niet helemaal onderin 
A: 	er zitten nog zo'n stuk van de onderkant af of 
B: 	ja dan denken ik maar wel in de wel in het midden 
A: 	ja ongeveer in het midden ja misschien iets rechts ervan of zo 
B: 	ja ja precies dat zijn dezelfde plek 
A: 	klein beetje maar 
B: 	dit zijn de de bal met de staaf 
B: 	erdoorheen 
A: 	de bal bal met de 
B: 	en het rond 
A: 	die bal met die staaf en dat rond aan de zijkant 
B: 	yes 
A: 	ja vijftien 
B: 	en die staan in het kwadrant rechtsboven en dan daar in het midden van 
A: 	nee nee nee bij mij zeker niet 
