B: 	ik hebben er nou één dat ja het lijken eigenlijk een een soort van een tafel en dan hebben je daar dus 
B: 	ook zo'n een kom erdoorheen zeggen maar 
B: 	of ja een soort van beker erdoorheen zeggen maar en op dat tafel zullen ik daarover kunnen zeggen staan dan ook nog een een komme zeggen maar 
A: 	een zo'n bak 
B: 	ja 
A: 	ja dan weten ik 
A: 	dan zijn het bij mij nummer 
A: 	echt zo'n soort dienblaad of zo ervoor met met zo'n bak erop of zo 
B: 	ja 
A: 	oké dat zijn bij mij nummer zestien 
B: 	en bij mij staan die ja qua hoogte eigenlijk in het midden 
B: 	en dan staan die aan de rechterkant alleen er vaststaan nog wel een plaat ernaast dus het zijn 
A: 	nee 
A: 	ja maar bij mij staan die rechts bovenin dus ik denken dat dit een ander plek zijn 
B: 	ja dan zijn het al een ander plek ja 
A: 	oké 
A: 	ik hebben er nu één met dat blad ervoor met dat bak erop zeggen maar 
B: 	oké ja die soort van tafel zeggen maar 
A: 	dat soort vierkant bak 
A: 	ja die soort tafel ervoor 
B: 	oké dat zijn dan bij mij P 
A: 	bij mij staan die aan de rechterkant eigenlijk op de middellijn en ongeveer op drie vier 
A: 	net iets ver misschien er zullen net nog wel een plaat naast kunnen maar dat worden wel een beetje krap 
B: 	ja volgens mij bij mij zitten die ook echt in het midden inderdaad en dan aan de rechterkant 
B: 	ja bij mij kunnen er eigenlijk nog best wel een plaat naast en 
A: 	ja bij mij kunnen er ook wel een plaat naast 
A: 	ja ongeveer op drie vier staan die 
B: 	ja oké dat dan staan die denken ik inderdaad op dezelfde plek 
B: 	nou hebben ik weer dat tafel zeggen maar met dat komme ervoor en dan weer zo dat ja zeggen maar 
A: 	ja dat dat tafel met die twee poot zeggen maar en dat komen dinge 
B: 	ja die 
A: 	ja 
A: 	dat zijn bij mij nummer veertien 
B: 	en bij mij staan die helemaal onder in het scherm en dan ook ongeveer in het midden 
A: 	bij mij staan die heel net iets link van het midden zeggen maar 
B: 	ja wel net net inderdaad net iets aan de linkerkant maar wel helemaal onderin dan degeen die in het midden staan 
A: 	ja wel ongeveer het midden 
A: 	ja 
A: 	staan die op dezelfde plek 
A: 	ik hebben nu die een met dat tafel ervoor en dat bak erop 
B: 	ja even zoeken 
A: 	en bij mij staan die er een beetje link van 
B: 	ja 
B: 	bij mij zijn het N 
A: 	mij staan die zeggen maar op één vier aan de linkerkant en net iets boven het midden 
B: 	ja bij mij staan die ook wel net boven dus er kunnen nog twee plaat aan de linkerkant zullen nog wel kunnen of niet 
A: 	ja worden wel een beetje krap hoor 
A: 	of bij mij in ieder geval 
A: 	bij mij zullen er zeggen maar ja er staan één plaat staan er nog links schuin onder 
A: 	en daarnaast zullen misschien nog een soort plaat kunnen maar het worden wel een beetje krap 
A: 	hij staan bij mij ongeveer evenveel ruimte aan de bovenkant zijn er ongeveer over als aan de linkerkant 
B: 	ja dat zijn bij mij ook ongeveer 
A: 	oké 
B: 	hebben we weer dat tafel met die met dat bak erop zeggen maar en dan die twee tafelpoot zeggen maar 
A: 	weer een nieuw 
A: 	ja 
A: 	dat zijn nummer tien bij mij 
B: 	en bij mij op het scherm liggen die eigenlijk wel helemaal in het midden zeggen maar ongeveer 
A: 	en helemaal boven 
B: 	nee niet helemaal bovenin 
B: 	er kunnen nog er staan nog een plaat boven zeggen maar 
A: 	oké 
A: 	nee dan zijn het een ander plek 
A: 	ik hebben nu die een met dat tafel bij mij staan die een beetje aan de rechterkant 
A: 	en dan dat bak erop zeggen maar 
B: 	ja 
B: 	bij mij zijn dat D 
A: 	ja bij mij staan die eigenlijk helemaal rechts 
A: 	en dan bijstaan er drie plaat aan de rechterkant bij mij in ieder geval en dan zijn het bij mij de middel zeggen maar hij staat bijna tegen de zijkant aan 
B: 	nee bij mij zijn het echt helemaal rechts bovenin zeggen maar 
B: 	dus helemaal bovenin en dan aan de rechterkant kunnen nog wel een plaat naast maar 
A: 	heel krap en één kunnen er nog boven of kunnen dat bij jou niet 
B: 	nee dat kunnen bij mij niet veel 
A: 	oké 
A: 	nee dan staan die niet op 
B: 	dus dan zijn het niet dezelfde plek 
