A: 	oeh deze zijn wel deze vinden ik best wel raar het zijn een soort van ja een soort van Pinokkio met een raar hoed met een soort van 
A: 	vierkant hoed met de met iets erdoorheen 
B: 	ja ik noemen het altijd Pinokkio's met hand 
A: 	ja die ander ja Pinokkio met de hand en een soort van ding eronder nog een soort van klein lijf wat eraan zitten 
B: 	ja 
B: 	ja 
B: 	hij lijken hij kijken ook naar rechts 
A: 	ja 
B: 	en hij hebben zeggen maar een een staaf als neus en inderdaad er zitten een soort van pijl door zijn hanenkam 
A: 	ja 
A: 	ja die 
A: 	ja die 
B: 	ja 
A: 	ja 
B: 	dan hebben we het over M 
B: 	M driepoot 
A: 	nou bij mij staan die aan de linkerkant 
A: 	er zullen als je het midden hebben zullen er aan beide kant nog één naast kunnen denken ik 
A: 	en er kunnen er ook nog één en er er zitten bekendstaan er bij mij ook nog één onder en er kunnen er nog twee boven 
B: 	hij liggen bij jou als je het beeldscherm evenredig verdeellen 
A: 	dus 
A: 	ja 
B: 	daarvan in het midden hij liggen dus op één vier of 
A: 	nee hij liggen als je in het midden verdeellen 
B: 	ja 
A: 	liggen die aan de linkerkant 
B: 	ja 
A: 	en van dat linkerkant van die linkerkant liggen die ongeveer in het midden 
B: 	ja precies hij liggen dus op één vier liggen die van het beeldscherm 
A: 	ja en ongeveer vrij in het midden van het scherm 
B: 	bij mij passen er aan de linkerkant nog één tussen 
A: 	ja bij mij ook 
B: 	als je dan het beeldscherm wel goed verdeelen zullen er daar nog twee kunnen 
A: 	aan de ander kant 
B: 	ja ongeveer twee en een half anderhalf twee 
A: 	aan de rechterkant 
A: 	ja bij mij bij mij zullen er boven nog twee kunnen 
B: 	joh 
A: 	en beneden één 
A: 	ja ik horen je joh zeggen zijn het 
B: 	ja nee bij mij passen er zeggen maar soort van anderhalf erboven maar bij mij onder toepassen er echt nog wel drie 
A: 	nee dat 
B: 	staan er ook drie 
A: 	wat 
A: 	bij jou boven nog drie 
B: 	nee bij mij onder passen er drie 
A: 	ja 
B: 	bij mij boven zeggen maar één 
A: 	nee dan staan die echt niet op dezelfde plek 
B: 	nee 
A: 	nee 
B: 	oké 
B: 	hij staat niet op dezelfde plek dus rood 
B: 	dit zijn Pinokkio met het dinge door zijn hanenkam met de pijl door zijn hanenkam 
B: 	met zijn hand zo omhoog ook zo'n 
A: 	ja en die en dat ding aan de onderkant 
B: 	ja precies 
A: 	dat zijn Numero negen 
B: 	bij mij zitten die helemaal onderaan aan de linkerkant kunnen niks veel onder kunnen er ongeveer 
A: 	ja 
A: 	ja 
A: 	nog drie naast 
B: 	zeggen maar als je BenQ hebben het logo dan kunnen daarboven zullen nog een volledig dinge kunnen passen 
A: 	wachten even aan de bij mij zitten de link 
A: 	kunnen ongeveer nog drie naast 
A: 	helemaal onderaan 
B: 	link ernaast 
A: 	link naast als je de midden het midden hebben 
B: 	ja 
A: 	dan aan de linkerkant zitten die 
B: 	bij mij zullen er ook ongeveer drie ertussen kunnen 
A: 	en dan zullen er nog drie nog naar aan de linkerkant van hem nog kunnen 
B: 	ja drie aan de linkeraknt 
A: 	ja 
B: 	en dan zullen er bijvoorbeeld als je dan maatstaf van BenQ nemen dan zullen daar dus nog één boven kunnen die dan volledig nog binnen de Q vallen zeggen maar 
B: 	als je dus de Q neemt als als lijn zeggen maar als middellijn vanuit de Q zien 
A: 	ja 
A: 	ja 
B: 	zullen daar dus nog één aan de rechterkant ertussen kunnen 
A: 	ja 
A: 	ja 
B: 	dan denken ik dat die op dezelfde plek staan 
A: 	oké 
A: 	zelfde plek 
A: 	dit zijn die heel gek 
A: 	hij vallen een beetje weg trouwens in het scherm zien ik 
A: 	met die met die met dat uitstulping aan de onderkant en dat armp aan de rechterkant 
A: 	en met zo'n half vierkantje op zijn hoofd wat zo doorboren zijn 
B: 	pinokkio met de met een een soort van pijl door zijn 
A: 	dat 
A: 	Pinokkio met eigenlijk pinokkio met arm 
B: 	met arm 
B: 	ja 
A: 	en dat ding beneden 
B: 	en een pijltje door zijn hanenkam 
A: 	ja ja ja ja 
B: 	dan gaan het om H 
A: 	ik zijn even de de de ons beschrijving kwijt 
B: 	zijn niet erg ho 
A: 	die zitten aan aan de linkerkant vrij bovenin er kunnen er nog één boven 
B: 	mij ook 
A: 	zullen kunnen denken ik 
B: 	ja bij mij ook 
A: 	en twee à drie onder 
B: 	bij mij zullen er ja inderdaad er afstaan er bij mij twee onder maar dat zullen er drie kunnen zijn als die wat klein zijn 
A: 	ja 
B: 	hij staan vrijwel in het midden van het midden 
B: 	zeggen 
A: 	midden van de linkerkant 
B: 	midden van de linkerkant zeggen maar je doen hem doormidden 
B: 	als je zeggen maar als je de rood pijl nemen staan die daarboven 
A: 	ja 
A: 	true 
A: 	dus 
B: 	dan moeten ik zeggen op dezelfde plek geel 
A: 	ja moeten jij 
A: 	ja 
B: 	dit zijn Pinokkio met het dinge door de hanenkam 
A: 	Pinokkio met dinge door de hanenkam dat zijn Numero elf 
B: 	bij mij staan die link 
A: 	ja 
B: 	in het als je zeggen maar het beeldscherm in vier delen dan staan zeggen maar 
B: 	nee dit zijn vervelend doen ze maar eens in drie 
B: 	als je het beeldscherm nee maar dan vallen die precies op de lijn ongeveer 
B: 	bovenin ongeveer twee à drie vingerlengte dikte erboven nog 
A: 	ja maar er kunnen niks veel boven 
B: 	nee eigenlijk niet 
A: 	aan de zijkant aan de linkerkant erbij of 
B: 	één anderhalf 
A: 	ja 
B: 	en als je de B zeggen maar trekt qua lijn dan kunnen daar ook anderhalf in dus hij zitten zeggen maar in het midden van het midden van het vak 
A: 	ja 
B: 	bovenin 
A: 	ik denken dat die dan op de zelfde plek staan 
A: 	de Pinokkio met de hanenkam 
B: 	met het pijlt erdoorheen 
A: 	ja 
B: 	dan worden dat nummer D 
B: 	bij mij staan die echt helemaal links onderin 
A: 	helemaal links onderin 
A: 	nee bij mij niet 
B: 	bij mij kunnen er maar twee vinger onder en aan de linkerkant drie vinger 
A: 	nee nee bij mij staan die in het midden dus dan staan die niet op dezelfde plek 
B: 	oké niet op dezelfde plek 
B: 	dit gaan om Pinokkio met de hanenkam en de pijl erdoorheen 
A: 	dat zijn Numero veertien 
B: 	ho mijn ding vallen eraf 
B: 	bij mij zeggen maar als je de rood pijl omhoog of de het rood pinne zeggen maar 
A: 	ja 
B: 	sorry ik zijn even mijn à propos 
B: 	denken je dat ik hem vast kunnen houden ook of niet 
A: 	ja denken het wel 
B: 	de rood pin zeggen maar naar rechts laten gaan 
A: 	ja 
B: 	dan raken de hanenkam raken hem wel vol zeggen maar 
B: 	dan worden die vol raken wel 
A: 	nee dat hebben ik niet dan staan die niet op dezelfde plek 
B: 	waar staan die van jou dan zeggen maar 
B: 	wel helemaal hij namelijk bij mij 
A: 	hij staan wel linkerkant maar hij 
B: 	er kunnen niks veel aan de linkerkant bij mij 
A: 	dat bij mij dan wel 
B: 	oké 
