B: 	deze hebben een vierkant staaf bovenop liggen 
B: 	plat 
B: 	en aan de linkerkant steken een soort lampenkap uit 
A: 	ja 
B: 	en aan de rechterkant ja ook nog iets met een staaf en een soort driehoek of zo 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer acht bij mij 
A: 	en die staan net iets link hoog dan het midden 
B: 	ja 
A: 	ietsiepietsie 
B: 	ja 
A: 	oké 
A: 	dan doen ik geel 
A: 	ik hebben nu die een met de platgelegde rechthoek bovenop en links die soort van lampenkap 
A: 	en rechts ook wat je net niet zien en vooraan nog dat driehoekig uitsteeksel met een klein staaf erbovenop 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij E 
B: 	en hij staan een beetje rechtsboven van het middenpunt 
A: 	nee bij mij staan die rechtsonder 
A: 	van dat vierkant zijn die zeggen maar rechtsonder 
B: 	oké bij mij rechtsboven dus dan doen ik rood 
A: 	oké 
B: 	deze hebben een horizontaal vierkant aan de bovenkant 
B: 	of ja een rechthoek eigenlijk 
A: 	ja 
B: 	en dan de lampenkap en 
A: 	ja 
B: 	ja 
A: 	oké dat zijn nummer één 
A: 	en die staan bij mij best wel in het midden van links naar rechts 
A: 	en helemaal bovenaan 
B: 	ja 
A: 	oké 
B: 	bij mij ook 
A: 	dit zijn die een met die lampenkap aan de zijkant 
B: 	oké 
A: 	en die rechthoek plat bovenop 
B: 	ja 
B: 	dat zijn bij mij E 
B: 	en hij staan onder het midden 
A: 	ja net iets hij raken het midden nog bijna 
B: 	ja 
B: 	en dan ongeveer op een kwart van links naar rechts 
A: 	ja en er staan één bijna recht onder 
B: 	er staan er nog wel één link van 
A: 	ja 
A: 	ja 
A: 	ik denken ik denken er staan er één link van en één staan op dit plaat zo ook nog één eronder zeggen maar 
B: 	ja 
A: 	ja 
A: 	oké dat zijn wel hetzelfde 
B: 	dit zijn met dat plat rechthoek bovenop en die lampenkap 
A: 	ja 
A: 	dat zijn nummer zestien 
A: 	en die staan helemaal onderaan bij mij ongeveer op driekwart van het scherm 
B: 	ja 
A: 	oké 
A: 	dit zijn die lampenkapp 
A: 	aan de zijkant 
B: 	ja even zoeken 
B: 	ja 
B: 	dat zijn bij mij O 
B: 	staan helemaal links onderaan 
A: 	ja 
A: 	ja 
A: 	ja jij moeten hem doen sorry 
