B: 	Alright ja als je het kop hebben daar zitten een bolle op aan de rechterkant 
B: 	en daar opsteken aan de linkerkant een soort dentastixding uit zo soort driehoek uitgerekt 
B: 	en aan de bovenkant hebben je ja ik weten niet het uitzien er heel erg uit als een buttplug en dan rechts daarvan een een rechthoek 
B: 	ja 
A: 	een soort strip zeggen maar 
B: 	ja 
A: 	ja 
A: 	oké 
B: 	weten je hem 
A: 	dat zijn nummer veertien 
B: 	oké 
B: 	en hij staan net één plaat rechts van het midden 
B: 	en er toepassen twee plaat onder voordat je bij de onderkant zijn 
A: 	en boven 
B: 	en boven passen er iets van drie tot vier en dan komen er weer een plaat 
B: 	en dan een heel klein beetje ruimte en dan hebben je de bovenkant 
A: 	drie tot vier 
B: 	en rechts daarvan passen echt nog wel iets van vier tot je bij de rechterkant van het scherm komen 
A: 	oké 
A: 	twijfel ik eigenlijk nog een beetje als je het scherm hebben 
A: 	en je zullen het zo moeten aanwijzen waar zullen je dan ongeveer uitkomen 
B: 	hier ongeveer 
A: 	ja 
A: 	oké 
A: 	als ik op die van mij zullen moeten omschrijven staan die zeggen maar ook rechts van het midden ook ongeveer op dezelfde hoogte maar dan daaronder past één plaat en daarboven zeggen maar drie denken ik 
B: 	ja net iets veel dan één plaat misschien 
A: 	dus 
A: 	ja anderhalf misschien 
B: 	drie en dan komen er weer een figuur en dan een klein beetje ruimte en dan de bovenkant 
B: 	zijn dat wat je bedoelen 
A: 	boven bedoelen je 
B: 	ja 
A: 	ja er zijn drie er opstaan bij mij zeggen maar drie figuurt ongeveer in de hoogte naast 
A: 	met nog een heel klein beetje ruimte wel over 
A: 	dus het ja er zijn denken ik ruimte voor drie en een half figuur aan de bovenkant 
B: 	ja dat zijn hier ook wel zo 
A: 	dan denken ik dat die wel op dezelfde plek staan 
A: 	maar ik zijn niet helemaal zeker 
B: 	zijn dat figuurt helemaal bovenaan dat zwaaiend figuurt 
B: 	bij jou 
A: 	ja maar dat zijn anders bij ons denken ik 
B: 	ja dat ja dat zullen kunnen 
B: 	ja 
B: 	drie figuurt passen boven inderdaad 
A: 	en anderhalf onder denken ik 
B: 	en anderhalf onder 
B: 	en dan iets van vier rechts 
A: 	ja drie vier ja 
B: 	ja 
A: 	oké dan gaan we voor dezelfde plek 
A: 	dit zijn weer dat kop met aan de linkerkant zo'n driehoekig uitsteeksel 
A: 	en aan de rechterkant een bolle aan de voorkant en aan de bovenkant komen er twee ding uit 
B: 	ja ik weten welk het zijn 
B: 	de N 
A: 	en hij staan bij mij helemaal aan de linkerkant van het scherm 
A: 	en aan de bovenkant zijn er denken ik nog ruimte voor anderhalf tot twee plaat 
A: 	en aan de onderkant voor drie schat ik zo 
B: 	daar staan die bij mij niet 
B: 	dit zijn die met de driehoek die aan de linkerkant uittrekken worden 
B: 	en bovenin zo'n rechthoek en dan wel een bolle aan de rechterkant 
A: 	waar twee ding uit de bovenkant komen 
B: 	ja waarvan één ja 
A: 	ja 
A: 	negen 
B: 	en hij staan bijna helemaal op het midden 
B: 	maar net een stuk daarboven 
B: 	en dan past er nog één plaat link voordat je bij de linkerkant aankomen 
A: 	hij staan helemaal in het midden maar je zijn wel helemaal links 
A: 	ik snapn het niet 
B: 	als in in het midden te opzicht van van boven en onder 
A: 	ja 
B: 	dat midden 
A: 	oké 
B: 	dus ja daar 
B: 	en dan zitten die daar net boven en dan links past nog één plaat 
A: 	oké dan staan die bij mij op een heel ander plek 
A: 	dit zijn het plaat met aan de bovenkant twee uitsteeksel en aan de rechterkant een rond en aan de linkerkant dat driehoekig uitsteeksel 
B: 	sorry kunnen je dat herhalen 
A: 	ja dat die aan de bovenkant twee uitsteeksel hebben 
B: 	ja 
A: 	met een soort stripje en die 
B: 	oké en aan de linkerkant de driehoek uitgerekt 
A: 	ja 
B: 	oké dat zijn G 
A: 	en hij staan net iets link van het midden en net iets onder het midden 
A: 	aan de onderkant zijn er denken ik nog plek voor twee figuurt en aan de bovenkant voor drie vier zoiets 
B: 	ja mij ook 
B: 	dit zijn met die vier uitsteeksel en de Rechteruitsteeksel zijn het bolle en links zijn de doorgetrokken driehoek 
A: 	ja nummer vijf 
B: 	en hij staan op een drie vanaf rechts 
B: 	en dan één plaat boven het midden 
A: 	en hoeveel ruimte zijn er aan de rechterkant nog zullen je zeggen 
B: 	drie plaat 
A: 	oké dat zijn niet op dezelfde plek 
B: 	twee en een half 
A: 	en dit zijn het plaat met aan de rechterkant het bolle en aan de bovenkant die twee uitsteeksel 
B: 	ja 
A: 	en aan de linkerkant het driehoek wat eruit komen 
B: 	dat zijn J 
A: 	hij staan op ongeveer een kwart vanaf rechts en bijna helemaal bovenaan er passen nog één plaatje boven 
B: 	dat zijn hem niet 
