A: 	even denken dit kop hebben aan de rechterkant een soort van rond schijf 
A: 	op de plat kant zeggen maar 
A: 	en dan aan de linkerkant zitten een soort van ja letter C zullen je kunnen zeggen die heel lang doorlopen en daar 
A: 	steken weer een soort van ijspegel uit recht links naar boven 
B: 	en met nog een vierkantje erop 
A: 	ja 
B: 	oké dat zijn L 
A: 	hij zitten aan de linkerkant van het scherm 
A: 	verticaal zien aan de rechterkant ervan en helemaal onderin 
B: 	ja dat zijn niet hetzelfde 
B: 	en dit zijn weer dat kop met die plat schijf aan de rechterkant 
B: 	en aan de linkerkant ja jij zeggen net C geloven ik 
B: 	en die ijspegel en het vierkantje 
A: 	ja ja 
A: 	zeven 
B: 	deze staat op de linkerschermhelft verticaal zien bijna in het midden 
B: 	en van de bovenste helft van die linkerschermhelft ook ongeveer in het midden 
A: 	wachten nog een keer 
A: 	aan de linkerkant 
A: 	zeggen je 
A: 	en dan in het midden wel 
B: 	ja als voor jou dit zijn links voor jou 
A: 	ja 
B: 	dat zijn wel heel moeilijk om het in spiegelbeeld uit te uitleggen 
B: 	oké 
A: 	bij mij bij mij staan die links en dan als je dat vlak verticaal nog zullen verdelen dan staan die aan de rechterkant 
B: 	ja net rechts 
A: 	ja 
B: 	ja en dan horizontaal zien 
A: 	er net boven 
B: 	ja 
A: 	ja oké 
A: 	dat zijn hetzelfde wel denken ik 
A: 	dit zijn weer met zo'n rond schijf die uitsteken op de plat kant met de letter C en een ijspegel naar boven met vierkantje 
B: 	ja 
B: 	ja dat zijn C 
A: 	nou als je het scherm doormidden verdeellen dan gaan je daar eigenlijk dwars doorheen 
A: 	soort van 
B: 	nee 
B: 	dit zijn die met die plat schijf aan de rechterkant en de C en de ijspegel aan de linkerkant 
A: 	dat zijn één 
B: 	en van de linkerschermhelft staan die ook nog steeds best wel aan de linkerkant 
B: 	en ook wel in het midden van het scherm als je het scherm zo opdeelen 
B: 	iets eronder 
A: 	ja dat zijn wel hetzelfde denken ik 
A: 	dit zijn met dat met die plat cirkel en de letter C en dan de 
B: 	ijspegel 
A: 	ja 
B: 	ja dat zijn A 
A: 	en eigenlijk zitten die zo goed als midden in je linkerscherm 
B: 	maar wel net iets onder het midden 
A: 	ja 
B: 	ja 
B: 	oké 
B: 	dit zijn weer met dat plateau aan de rechterkant en de C aan de linkerkant met de ijspegel en het vierkantje 
A: 	dertien 
B: 	en deze zitten van de linkerschermhelft verticaal zien bijna in het midden 
B: 	en horizontaal wel duidelijk onder het midden 
A: 	nee dan zijn het iets ander denken 
