B: 	je hebben het beker en om het bekert zitten een soort van kampbankje of een een kampvuurbank heen 
B: 	en op het kampvuurbank staan een soort van cakevorm 
A: 	ja 
B: 	oké 
A: 	nummer zestien 
B: 	hij staan bij mij flink rechts van het midden 
B: 	maar ik denken qua hoog en laag ongeveer in het midden van het midden 
B: 	er vaststaan wel nog één recht nog nog een ander figuurtje rechts van hem 
A: 	hebben ik niet 
B: 	oké 
A: 	bij mij staan die zeggen maar aan de rand 
A: 	dit zijn die een met dat kampvuurbank waar dan dat cakevormp op staat 
B: 	ja 
B: 	letter P 
A: 	en ik hebben hem zeggen maar de rechterhelft 
A: 	in het midden 
B: 	ja Same 
B: 	en er staan niks veel rechts van 
A: 	nee maar wel van de rand af 
B: 	ja 
A: 	ja 
B: 	het bak met het cakeblik erop 
A: 	yes 
A: 	nummer veertien 
B: 	hij staan bij mij bijna in het midden maar dan een heel klein beetje link ervan 
B: 	en helemaal onderaan 
A: 	ja hebben ik ook 
A: 	dit zijn die een met het kampvuurtafeltje met de cakevorm 
B: 	letter N 
A: 	en die staan in de linkerhelft in het midden 
A: 	ongeveer op de lijn van het midden 
B: 	ja 
A: 	zeggen maar alsof je hem erop zetten 
B: 	ja 
B: 	Same 
B: 	ja 
B: 	het kampvuurbank met het cakeblik 
A: 	yes kijken zijn moeilijk nummer tien 
B: 	hij staan een klein beetje link van het midden 
B: 	hij zeggen maar hij hij scheiden één of hij scheiden niet het midden maar het midden gaan komen door hem heen 
B: 	en hij staan een klein beetje nou zo'n stuk boven het midden 
A: 	voor mijn gevoel staan die juist iets rechts zeggen maar naar het midden het midden komen er bij mij ook wel doorheen 
A: 	maar dan opsteken die dus uit naar rechts toe vooral 
B: 	nee nee dat kunnen ik echt niet zeggen 
A: 	met het tafel zeggen maar 
A: 	oké 
A: 	maar hij zitten wel zo'n stukkie van de bovenrand af 
B: 	ja 
B: 	maar bij mij zitten die echt ik denken ja het hij snijden net zeggen maar de rechterpoot van het bank eraf het midden zullen ik zeggen 
A: 	maar bij jou zitten die dan 
A: 	nee bij mij snijden die dus net de linkerhelft van het plank aan de zijkant af 
B: 	ja oké 
A: 	niet dezelfde plek 
B: 	jij moeten 
A: 	even kijken dit zijn met dat picknickbankje met de cakevorm erop 
B: 	yes 
B: 	letter D 
A: 	en die hebben ik nou wat zullen we zeggen ? zeggen maar dat die bij vijfentachtig procent van het scherm aan de rechterkant 
A: 	en dan van hoog naar beneden op ongeveer veertig zeggen maar hij zitten wel boven de helft van het scherm 
B: 	bij mij zitten die echt als boven nul zijn en onder honderd op tien denken ik 
A: 	nee ik hebben er nog een figuur boven staan 
B: 	ik moeten een nee niet 
A: 	rood dan 
