A: 	deze staat op een voet eigenlijk 
A: 	en hij hebben een twee van die driehoekjes bovenop 
B: 	ja 
B: 	ja met die met die 
A: 	en aan die twee driehoek zitten nog twee ding naar de zijkant 
A: 	zien je dat 
B: 	nee 
A: 	en hij staat niet per se op een voetstuk maar echt een soort een soort echt een voet een menselijk voet zeggen maar met een enkel en dan een voet 
B: 	het zijn niet dat voetstuk nee 
B: 	oké 
A: 	en hij hebben bovenop aan de achterkant 
B: 	met die ruit aan de achterkant 
A: 	twee van die ruiten ja 
B: 	het lijken een beetje op de staart van een vliegtuig ja 
B: 	oké 
A: 	ja en dan aan die twee ruit zitten nog twee ding naar de zijkant 
B: 	ja zitten nog twee kubus aan de zijkant 
A: 	oké 
B: 	oké dat zijn bij mij zijn dat M 
A: 	oké deze staan als je op de horizontaallijn twee naar links gaan 
A: 	en dan een klein beetje naar beneden 
B: 	nee bij mij zullen die dan een klein beetje omhooggaan 
B: 	dat zijn een ander positie 
B: 	dan hebben we deze dit zijn weer met die die op dat voet staan 
B: 	en met het de ruit aan de achterkant wat een beetje op de achtervleugel van een vliegtuig lijken 
A: 	waar staan die ? waar staan die 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	die staan helemaal onderin en dan iets naar links 
A: 	ja 
A: 	ja 
A: 	met dat voe en die vliegtuigvleugel op de achterkant 
B: 	ja dat zijn H 
A: 	als je die een helemaal linksboven hebben 
A: 	dan gaan je één schuin naar rechtsonder 
B: 	ja 
A: 	en dat zijn hem 
B: 	ja dat zijn hem bij mij ook 
B: 	dit zijn die met die vliegtuigachtervleugel op het voe 
A: 	dat zijn nummer elf 
B: 	de veel Linksboven 
A: 	ja 
A: 	de een met het voe en de vliegtuigvleugel 
B: 	het voe en de vliegtuigvleugel 
B: 	ja dat zijn D 
A: 	en die staan als je helemaal linksonder hebben dan één naar rechts 
B: 	nee bij mij zijn die helemaal linksonder 
B: 	de vliegtuigachtervleugel op het voetstuk of op het voe 
A: 	ja dat zijn veertien 
B: 	helemaal in het midden links 
B: 	in het midden helemaal links moeten ik zeggen 
B: 	de veel links 
A: 	nee 
