B: 	ok hij zijn zeggen maar aan de onderkant rond en daarna zitten er een vierkant omheen en dan lopen hij zeggen maar weer ver 
B: 	en hij hebben aan de linkerkant ja beetje zoiets en aan de voorkant zitten een cilinder 
B: 	ja het zijn zeggen maar gewoon er zitten een vierkant om het object heen volgens mij zijn dat er maar één 
A: 	ja 
A: 	zitten er iets op de bovenkant 
B: 	ja twee punt 
A: 	okan ja dan zijn het zes 
B: 	hij zitten een beetje aan de rechterkant eigenlijk helemaal bovenin ja heel iets rechts van het midden 
A: 	ja dan zijn het dezelfde denken ik kunnen je er nog ongeveer twee plaat naast 
B: 	aan de rechterkant 
A: 	ja 
B: 	iets veel dan twee 
A: 	ok 
B: 	ja als je er drie naast zullen doen dan zijn het zeggen maar te krap maar het zijn niet dat er precies twee naast passen 
A: 	ja 
A: 	okan ja dan misgaan het weer dezelfde zijn 
A: 	deze hebben een vierkant zeggen maar door het kop heen zitten één ja een rond ding boven het vierkant er zitten een armp wat zo opsteken 
B: 	en twee punt 
A: 	ja 
B: 	ok dat zijn C 
A: 	zitten rechts bovenin kunnen zeker geen plaat veel boven kunnen nog wel één à twee plaat rechts van 
B: 	ja zijn wel hetzelfde 
B: 	okan ja dit zijn dat ding waar dat vierkant doorheen lopen 
A: 	zijn met dat rond ding zo naar voren 
B: 	ja en twee van die punt bovenop 
A: 	ja ok dat zijn dertien 
B: 	hij zitten eigenlijk links bovenin er passen boven zeker niks naast en links ook niet 
A: 	ok nee zijn niet dezelfde 
A: 	dit zijn met dat vierkant die er doorheen door het kop heen gaan met die ja balk die daar eigenlijk op liggen twee dinge aan de bovenkant klein punt zeggen maar en één 
B: 	o dat vierkant dat er doorheen gaan ok 
A: 	ja 
B: 	o ja dat zijn J 
A: 	hij zitten tegen de onderkant van het scherm net iets rechts naast het midden 
B: 	ja dat zijn wel dezelfde 
B: 	ja dit zijn waar dat vierkant vlak doorheen lopen 
A: 	ja dat zijn negen 
B: 	hij zitten rechts redelijk dicht langs de rand en boven past nog één plaat anderhalf plaat 
A: 	maar zitten niet onder het midden 
B: 	nee 
A: 	o nee dat zijn niet dezelfde 
A: 	dit zijn met dat vierkant door het kop heen met twee van die pinnet bovenop 
B: 	ja dat zijn N 
A: 	staan aan de bovenkant van het scherm net iets rechts van het midden kunnen zeker geen plaat veel boven 
B: 	ja net rechts van het midden zeggen je 
A: 	ja dus kunnen nog ongeveer drie plaat 
B: 	ja ok 
