B: 	deze vinden ik het het kut 
B: 	even kijken 
B: 	er liggen zeggen maar een balk op 
B: 	een langwerpig balk 
A: 	ja 
B: 	bovenop 
B: 	en 
A: 	zo'n zo'n zo'n kop of zo aan de zijkant of niet 
B: 	ja ja omgedraaid zeggen maar op zijn op de kop 
A: 	ja 
B: 	ja 
A: 	oké dan hebben ik die al 
A: 	wachten voor de zekerheid 
A: 	ook aan de zijkant hebben zeggen maar zo'n ja ik jij denken ik 
B: 	ja ik weten niet wat het 
B: 	ja dat lijken een beetje op een schep 
A: 	oké dan wel 
B: 	ja 
A: 	acht 
B: 	bij mij staan die bijna helemaal in het midden van het scherm 
A: 	nou oké die van mij ook 
A: 	dus zeggen maar een beetje boven bij de één die we hebben 
B: 	ja en dan heel klein beetje naar links 
A: 	naar links 
A: 	ja oké die van mij ook 
A: 	de dat balk boven en dan zo'n 
B: 	ja 
A: 	een vending machine 
A: 	dat ding 
B: 	E 
B: 	en hij zijn hij zijn weer van die van in het midden en dan zijn hij nu rechtsboven 
A: 	ze hebben het echt helemaal veranderen 
A: 	bij mij zijn het beneden 
B: 	oké 
A: 	dus dat scheelen 
B: 	weer die balk en dan die die scoop hoe heten dat die die beker op de kop en die schep 
A: 	ja ja ja 
A: 	waar zijn die 
A: 	één 
B: 	en hij staat bijna in het midden bijna bovenaan 
A: 	oké van mij ook 
A: 	de ja die een die jij lastig vinden 
A: 	met dat balk en dat schep 
A: 	en omgekeerde beker zeggen maar 
B: 	ja die 
B: 	waar staan die 
B: 	ja nou vinden ik hem heel makkelijk 
B: 	ah hier 
B: 	E 
A: 	oeh midden van het midden als je de linkerhoek nemen 
B: 	ja 
A: 	en dan of eigenlijk zelfs makkelijk als je van de linkerscherm naar het logo hebben je beneden toch twee plaat zeggen maar 
A: 	als je de rechter nemen en dan daarboven 
B: 	ja 
B: 	hebben ik ook 
B: 	weer die beker op de kop en die die schep erbij 
A: 	ja 
A: 	even kijken waar die zijn 
B: 	bij mij staan die ongeveer onderaan 
A: 	ja 
A: 	zestien ik hebben nog niet eens zeggen 
A: 	weten je als je de zeggen maar die drie dus vanaf je logo en dan gaan drie zo naar beneden 
B: 	ja en dan zijn het die onderste 
A: 	oké 
A: 	de ja de schep en dat omgedraaide beker en dat balk 
A: 	wat jij eerst moeilijk vinden 
B: 	ja 
B: 	O 
B: 	en hij staan linksonder 
A: 	ja van mij ook 
