B: 	ok deze hebben zeggen maar aan de onderkant zo'n groot schroef erin en dan daaronder zitten een driehoek en daarboven zitten zeggen maar dat object en dan twee vierkant 
A: 	ok 
A: 	hand dat zijn vier 
B: 	hij zitten eigenlijk rechts bovenin de hoek en er zullen misschien rechts nog een plaat naast kunnen passen maar boven niet 
A: 	ik twijfelen een beetje hoe veel zullen er ongeveer nog je zeggen één plaat aan de rechterkant of niet 
B: 	ja het zullen net passen 
B: 	ja 
A: 	maar er staan bij jou nu zeggen maar geen 
B: 	nee het zullen ja het zullen net passen maar 
A: 	en hoeveel aan ruimte er bovenkant hebben je ongeveer nog over 
A: 	ok nee dat zijn niet dezelfde slim 
A: 	ok deze hebben dat lang ding aan de onderkant wat draaien en daar zitten dan weer een driehoek aan vast de bovenkant twee vierkant 
B: 	ja dat zijn A 
A: 	ja hij zitten zeggen maar op het midden aan de linkerkant van het scherm er kunnen nog een plaat link van 
B: 	nee dat past niet 
A: 	ok 
B: 	okan ja dit zijn met die schroef onderaan op dat driehoek 
A: 	die wel draaien ok dat zijn tien 
B: 	ja 
B: 	hij zitten helemaal tegen de onderkant aan er past naast nog anderhalf plaat twee misschien 
A: 	ja dat zijn wel dezelfde 
A: 	dit zijn dat draaien ding aan de onderkant met de driehoek zeggen maar 
B: 	ja dat zijn L 
A: 	staan eigelijk helemaal aan de rechterkant van het scherm kunnen eigenlijk geen plaat veel boven of naast 
B: 	ok 
B: 	dit zijn met die schroef aan de onderkant op zo'n driehoek 
A: 	ja dat zijn vier 
B: 	ja hij zitten wel redelijk in het midden ik denken iets onder het midden en ook iets link van het midden 
A: 	ja zijn dezelfde 
A: 	o ja dit zijn met die ja wat draaien naar beneden met de driehoek eraan zeggen maar 
B: 	ja dat zijn F 
A: 	hij zitten net iets rechts van het midden en net ook iets boven het midden 
B: 	nee deze zitten link 
