B: 	het zijn er zeggen maar één met een balk bovenop voor de rest zitten er niks bovenop 
A: 	ja 
B: 	zeggen maar liggen balk en link zitten nog ja een gek vorm een soort van pilonvorm half 
A: 	gewoon een raket het zijn een spaceshuttle 
B: 	ja zoeits 
B: 	en rechts zitten ja ook nog een soort van staaf met een driehoek zijn het denken ik waar die op staat 
A: 	ja ja en daarachter zitten precies dezelfde vorm die je niet echt zien als aan de ander kant toch 
B: 	ja 
B: 	ja links en rechts zijn wel anders zeggen maar dat wel 
A: 	nou 
B: 	bovenop liggen alleen zeg maar liggend soort van chocoladereep 
A: 	ja liggen staaf jajaja ok achten 
A: 	bij mij staan hij weer redelijk in het midden 
B: 	ja eigenlijk bijna niks er omheen 
A: 	nee ja één één figuurt er boven en dan Linksboven zegmaar en dan 
B: 	ja 
A: 	als je dan een diagonaal lijn trekken dan staan er daar weer één en dan daar weer naast één ja 
B: 	ja 
A: 	deze hebben die spaceshuttle dat liggen blokje erop zegmaar en die gek vormp 
B: 	dat gek vormp ja soort van ja dat balk er zo wat er op liggen eigenlijk 
A: 	en dat 
A: 	ja 
B: 	ja zijn E 
B: 	rechtsboven in dan vierkant 
A: 	nee bij mij rechtonder 
B: 	ok niet dezelfde 
B: 	die met dat liggen balk bovenin en dan die spaceshuttle 
A: 	ja 
A: 	één 
A: 	vier rij helemaal bovenin 
B: 	ja zelfde 
A: 	de spaceshuttle 
B: 	zoeken 
B: 	met dat blok bovenop dat liggen E 
B: 	drie rij de twee 
A: 	ja 
B: 	met die spaceshuttle dat blok liggen bovenop 
A: 	zestien 
A: 	één twee drie vier vijf zes rij en dan die drie 
B: 	drie ja 
A: 	o dat zijn ik 
A: 	de spaceshuttle 
B: 	ja met dat liggen blok O 
A: 	linksonder helemaal 
B: 	ja 
