B: 	ok dit zijn weer zo'n kop en hij hebben een neus aan de rechterkant 
B: 	en bovenop hebben hij twee uitsteeksel de een zijn een rechthoek en de ander zijn een soort penne en dan links zitten er nog een driehoek 
A: 	ja en zo'n 
A: 	ja ok dat zijn veertien bij mij 
B: 	en dan zitten hij in het vak rechtsonder ? en binnen dat vak zitten hij weer linksboven 
A: 	ja bij mij ook het zijn wel duidelijk dat hij 
B: 	ok 
A: 	ja nee ok dus dan zeggen we gewoon dat hij op dezelfde plek zitten 
B: 	ja 
A: 	ja dit zijn weer met die neus met één rechthoek er bovenop en één zon ' raar met zo'n bolle en dan zo'n 
A: 	pijl met dat soort driehoek of zo'n v' aan de linkerkant die er uit opsteken 
B: 	ja 
B: 	ja 
B: 	ok dat zijn voor mij de N 
A: 	en hij zitten in het linker boven hoek vierkant en dan 
A: 	dus Linksboven en dan het klein vak linksonder beetje in het midden van het linksonder vak 
B: 	ok eerst linksboven en dan linksonder 
A: 	ja dus linksboven groot en dan linksonder klein en als je dan dat linksonder klein nemen dan zitten hij in het midden 
B: 	ja bij mij zitten hij eigenlijk op de grens tussen linksboven en linksonder die vak 
A: 	beetje 
A: 	de groot vak 
B: 	de groot vak en dan in het midden 
A: 	ja 
A: 	ja ja nee dat zijn bij mij ook 
B: 	ok dat zijn dan geel 
B: 	dit zijn met de neus en één rechthoek bovenop en één penne bovenop en een driehoek aan de zijkant 
A: 	ah ja ja 
A: 	dat zijn nummer negen 
B: 	en hij liggen in het links boven vak en dan linksonder 
B: 	maar hij kunnen hij gaan wel hij staan wel iets naar rechts dus er past nog wel net één daartus tussen de rand en zichzelf 
A: 	aan de linkerkant 
B: 	ja 
A: 	en aan de bovenkant 
B: 	er staan er nu één en er toepassen er 
A: 	nou bij mij staan er geen en past er ook geen tussen 
B: 	o dan staan hij heel erg naar boven 
A: 	ja ja er staan echt zeggen maar er past er wel één aan de linkerkant zullen er nog wel één bij passen maar aan de bovenkant niet 
B: 	ok 
B: 	ok 
A: 	dit zijn die met die neus en de rechthoek en een pen bovenop en zo'n driehoek aan de zijkant 
B: 	neus neus neus 
B: 	wat zeggen je nou rechthoek en pen ? die 
A: 	ja dus bovenop 
B: 	oke ja dat zijn voor mij de G 
A: 	en hij liggen linksonder maar dan heel erg tegen de 
A: 	verticaal middenlijn aan van de groot vak en dan binnen dat linksonder vak zitten hij zeggen maar rechts boven 
B: 	ja bij mij ook 
A: 	ja 
B: 	dit zijn met die neus en dat rechthoek bovenop en de pen bovenop 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	en hij liggen rechtsboven en binnen dat vak liggen hij linksonder 
A: 	nee bij mij liggen hij wel echt duidelijk rechts onder er kunnen er nog net één rechts van 
B: 	o ok nee bij mij kunnen er echt wel drie tussen of zo 
A: 	okan ja 
A: 	dit zijn met die neus en een rechthoek bovenop met een penne bovenop en een driehoek aan de zijkant 
B: 	ja 
B: 	dat zijn voor mij J 
A: 	en hij liggen rechtsboven in het 
A: 	midden ongeveer past er nog hij past nog één keer boven zichzelf en ik denken twee twee en een half rechts van zichzelf 
B: 	bij mij passen er wel twee boven zichzelf 
A: 	nee bij mij passen er echt maar één boven 
