Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	4	die staan bij mij	96	B	35, 95, 130
2	4	bij mij denken ik	19	B	46, 64
3	3	en er kunnen	65	B	36, 37, 100
3	3	er kunnen nog	101	B	36, 37, 136
2	3	aan de achterkant	96	B	30, 125
2	3	de ander kant	18	B	13, 30
2	3	de een kant	18	B	13, 30
2	3	die met die	22	B	104, 125
2	3	ja bij mij	64	B	20, 83
2	3	nog wel één	37	B	100, 136
2	3	nog één naast	65	B	36, 100
12	2	bij mij	115	B	16, 20, 35, 46, 55, 64, 82, 83, 95, 98, 104, 130
5	2	denken ik	77	B	28, 46, 61, 64, 104
4	2	en dan	96	B	30, 96, 100, 125
4	2	staan die	52	B	83, 99, 104, 134
4	2	zeggen maar	91	B	24, 36, 79, 114
3	2	dat zijn	36	B	82, 86, 117
3	2	die met	36	B	90, 104, 125
3	2	die staaf	78	B	13, 79, 90
3	2	echt wel	68	B	64, 75, 131
3	2	en die	91	B	35, 90, 125
3	2	kunnen nog	101	B	36, 37, 136
3	2	met die	97	B	29, 104, 125
3	2	nog wel	113	B	24, 100, 136
3	2	wel één	37	B	100, 134, 136
2	2	aan de	96	B	30, 125
2	2	best wel	6	B	17, 22
2	2	dan zijn	13	B	16, 28
2	2	die bollet	97	B	29, 125
2	2	die er	78	B	13, 90
2	2	dit zijn	97	B	29, 125
2	2	een beetje	71	B	13, 83
2	2	even kijken	61	B	50, 110
2	2	het midden	12	B	46, 57
2	2	ik denken	63	B	68, 130
2	2	ja die	53	B	79, 131
2	2	maar er	13	B	24, 36
2	2	midden niet	89	B	46, 134
2	2	raken hem	2	B	130, 131
2	2	toch wel	47	B	22, 68
2	2	waar die	28	B	83, 110
2	2	wel een	3	B	22, 24
2	2	één naast	65	B	36, 100
26	1	ja	138	B	1, 5, 7, 9, 11, 12, 13, 16, 20, 52, 59, 64, 66, 70, 72, 73, 76, 79, 81, 83, 96, 106, 114, 116, 131, 138
17	1	die	122	B	13, 29, 30, 35, 79, 83, 90, 95, 99, 104, 110, 114, 125, 127, 130, 131, 134
13	1	mij	115	B	16, 17, 20, 35, 46, 55, 64, 82, 83, 95, 98, 104, 130
12	1	bij	115	B	16, 20, 35, 46, 55, 64, 82, 83, 95, 98, 104, 130
12	1	en	122	B	13, 24, 30, 35, 36, 37, 67, 90, 96, 100, 125, 134
11	1	het	107	B	28, 29, 46, 55, 57, 68, 75, 83, 125, 130, 134
11	1	zijn	113	B	13, 16, 28, 29, 75, 82, 86, 93, 110, 117, 125
10	1	ik	118	B	13, 28, 46, 61, 64, 68, 83, 90, 104, 130
10	1	nee	102	B	20, 22, 48, 49, 63, 86, 99, 102, 119, 121
10	1	staan	113	B	22, 35, 68, 83, 95, 99, 104, 127, 130, 134
9	1	dat	105	B	13, 16, 30, 68, 82, 86, 90, 104, 117
9	1	oké	121	B	3, 12, 16, 27, 29, 85, 90, 109, 123
8	1	dan	110	B	16, 28, 30, 59, 86, 96, 100, 125
7	1	er	124	B	13, 24, 36, 37, 90, 100, 136
7	1	niet	115	B	20, 46, 83, 86, 98, 114, 134
6	1	nog	120	B	17, 24, 36, 37, 100, 136
6	1	één	101	B	36, 67, 100, 125, 134, 136
5	1	de	113	B	13, 30, 42, 83, 125
5	1	een	71	B	13, 22, 24, 30, 83
5	1	maar	91	B	24, 36, 79, 83, 114
4	1	midden	89	B	46, 57, 130, 134
4	1	weer	100	B	28, 90, 93, 127
3	1	aan	97	B	29, 30, 125
3	1	boven	113	B	24, 37, 136
3	1	even	78	B	50, 110, 127
3	1	lang	113	B	13, 30, 125
3	1	naast	77	B	24, 36, 100
3	1	ongeveer	63	B	37, 96, 99
3	1	ook	85	B	20, 24, 104
3	1	verticaal	35	B	96, 99, 130
3	1	waar	45	B	83, 110, 127
2	1	L	5	B	113, 117
2	1	arm	96	B	30, 125
2	1	daar	23	B	112, 134
2	1	doorheen	78	B	13, 90
2	1	hebben	61	B	30, 90
2	1	kort	113	B	13, 125
2	1	links	37	B	59, 95
2	1	nou	67	B	68, 134
2	1	onder	3	B	134, 136
2	1	op	68	B	1, 68
2	1	rechts	9	B	59, 67
2	1	stuk	9	B	22, 30
2	1	tot	5	B	42, 46
2	1	twee	14	B	66, 79
2	1	van	3	B	55, 57
2	1	veel	59	B	1, 59
2	1	we	111	B	17, 127
2	1	zitten	11	B	90, 100
2	1	zonnepaneel	36	B	90, 125

