B: 	oké een soort van schroef onderaan met een driehoek op het einde als een soort voetstuk 
A: 	ja ja dat zijn nummer vier 
B: 	en bij mij zitten die gewoon helemaal rechtsboven 
A: 	er zitten niks boven of 
B: 	nee 
A: 	oké dan zijn het niet dezelfde plek 
A: 	deze hebben aan de onderkant dat draaien ding in die driehoek 
B: 	oké aan de onderkant dat gedraaide oké ja dat zijn bij mij A 
A: 	en bij mij zitten die ongeveer qua zo zit die ongeveer in het midden 
A: 	en dan best wel aan de linkerkant 
B: 	de veel links 
A: 	nee er zitten er één helemaal links en dan hebben je zo'n soort rij en daar zijn die de middel van 
B: 	dan zijn het niet dezelfde 
B: 	dit zijn weer die schroef met driehoek eraan 
A: 	ja dat zijn bij mij tien 
B: 	je hebben helemaal linksonder 
B: 	daar één rechts van 
A: 	ja dus je hebben drie aan de onderkant en dan zijn het de middel 
B: 	ja 
A: 	oké dat zijn dezelfde 
A: 	dit zijn weer met die schroef aan de onderkant met de driehoek 
B: 	dat zijn bij mij L 
A: 	en die zijn bij mij helemaal rechtsboven 
B: 	die met die schroef en die driehoek 
B: 	als voetstuk 
A: 	ja nummer vier 
B: 	je hebben die drie op een rij 
B: 	onderaan 
A: 	ja 
B: 	daar linksboven van 
A: 	ja daar linksboven ja dat zijn wel dezelfde plek 
A: 	die met die schroef aan de onderkant in de driehoek 
B: 	F 
A: 	even nadenken hoe dit het goed kunnen 
A: 	je hebben er één helemaal bovenaan in het midden 
B: 	ongeveer hè ? ja 
A: 	ongeveer in het midden iets veel naar rechts maar ongeveer in het midden 
B: 	ja 
A: 	daar recht onder zitten er één 
B: 	nee 
A: 	oké dan zijn het hem niet 
