A: 	ja dit vinden ik echt van alles wat ik hebben er maar een beetje een misvormd gezicht van maken 
A: 	sowieso die basisvorm 
A: 	daarbij een wel echt een spits kegel op het hoofd 
A: 	ja schuin naar voren eigenlijk een soort piramide die niet helemaal doorlopen die halverwege zijn afsnijden 
A: 	dan schuin naar achter eigenlijk nog een puntig toelopen iets 
A: 	en dan ergens onder nog een half cirkel of ja een cirkelvorm 
B: 	lijken een soort van op een zeedier of zo 
A: 	ja 
B: 	een beetje een raar vis die zijn neus hebben stoten zeggen maar 
A: 	ja 
B: 	ja 
B: 	dat zijn J 
A: 	die staan bij mij rechts van het midden 
A: 	en dan eigenlijk helemaal onderin 
A: 	en dan van het midden staan die daar ook weer in het midden 
B: 	ja dan staan die op dezelfde plek 
B: 	dit zijn die dat zee dier 
B: 	met een groot misvormd neusachtig iets met die groot 
A: 	die groot spits en die ergens tegenaan zijn zwemmen 
B: 	ja 
B: 	ja 
A: 	dat zijn nummer zes bij mij 
B: 	en hij staat niet helemaal rechts onderin maar dat je zeggen maar nog één balkje Erboven doen kunnen doen en de zijkant en dan staan die zeggen maar hier 
A: 	ja en dan rechtsonder 
B: 	en dan 
B: 	ja rechtsonder 
A: 	ja 
A: 	ja 
A: 	dan staan die op dezelfde positie 
A: 	dit zijn die vis die ergens tegenaan zijn zwemmen 
A: 	en met dat puntmuts op 
B: 	dat zijn E 
A: 	deze staan de rechterkant van het scherm 
A: 	in de hoogte staan die net één onder het midden 
A: 	en ja hij staan als je het midden hebben staan die er net niet tegenaan 
B: 	als je het midden hebben staan die wel bijna tegen het midden aan 
A: 	ja wel bijna 
B: 	oké dat zijn deze niet 
A: 	ja 
B: 	dit zijn die die vis die zijn neus hebben stoten 
A: 	stoten 
A: 	ja 
A: 	dat zijn nummer tien bij mij 
B: 	hij staan als je het midden van het scherm hebben links onderin maar er kunnen er aan de linkerkant nog wel één staan 
B: 	dus als je zeggen maar hier kunnen hier nog één daar twee 
A: 	ja 
B: 	naar het midden toe kunnen er nog twee 
A: 	oké 
A: 	ja bij mij weer andersom aan de zijkant kunnen er twee 
A: 	dus dat zijn niet dezelfde positie 
A: 	dit zijn weer die gek vis die ergens tegenaan zijn zwemmen 
B: 	dat zijn G 
A: 	en die staan eigenlijk rechtsboven in het scherm Linksboven 
B: 	ja 
A: 	en ja daar passen aan beide kant twee vinger tussen maar absoluut geen figuur 
B: 	dit zijn die vis die zijn hoofd hebben stoten 
A: 	stoten 
A: 	ja dat zijn nummer tien 
B: 	en dan staan die rechts van het scherm en één onder het midden en dan daar wel in het midden 
A: 	ja 
B: 	en onder kunnen er eigenlijk nog wel één onder 
A: 	ja 
B: 	minimaal 
A: 	ja 
