B: 	ok nou dit zijn dus wel de kruiwag weten je dan welk ik bedoelen zeggen maar 
A: 	nn 
B: 	zeggen maar er zitten een bak op en er zitten zeggen maar zo'n ja rand omheen en aan die rand zitten twee van die balk 
A: 	ok 
A: 	zijn die okan ja dat zijn zestien 
B: 	ja hij zitten heel iets onder het midden aan de rechterkant 
B: 	en er past één zeggen maar anderhalf plaat ongeveer naast 
A: 	onder het midden zeggen je 
B: 	ja hij zitten net iets onder het midden 
A: 	nee dat zijn sowieso niet 
A: 	dit zijn dat wat dat vierkant wat richting de bovenkant van het kop zitten en dan zitten er zo'n soort kuip bovenop 
A: 	en hebben twee poot zo naar beneden we hebben hem al hebben volgens mij 
B: 	o die kruiwag 
A: 	ja volgens mij zijn het de kruiwag 
B: 	okan ja ok dat zijn P 
A: 	hij zitten denken ik op het midden misschien net iets erboven bijna helemaal aan de rechterkant van het scherm kunnen nog één plaat rechts naast 
B: 	passen er zeggen maar nog wel net iets veel dan één plaat als in anderhalf 
A: 	nee 
A: 	zitten zeggen maar nog dit tussen 
B: 	ja 
A: 	zitten hij bij jou echt zeggen maar wel redelijk op het midden 
B: 	ja dat wel 
A: 	ja het zijn echt dit zeggen maar dus denken dat het wel hetzelfde zijn 
B: 	wachten 
A: 	okan ja ik vinden dat dat hetzelfde zijn 
B: 	okan dan zijn het wel op dezelfde plek 
B: 	okan ja dit zijn de kruiwag 
A: 	zijn met dat met die twee poo naar beneden 
B: 	ja en dat bak erop 
A: 	ja ok dat zijn veertien 
B: 	en hij zitten helemaal tegen de onderkant aan heel iets link van het midden 
A: 	ja zijn wel dezelfde 
A: 	ja dit zijn de kruiwag 
B: 	dat zijn N 
A: 	hij zitten net iets boven het midden kunnen zijn het de linkerkant van het scherm kunnen er nog één anderhalf twee plaat naast 
B: 	ja dat zijn wel dezelfde 
B: 	de kruiwag 
A: 	ja zijn tien 
B: 	en hij zitten zeggen maar boven het midden en denken ik net iets link van het midden 
A: 	en hoever zitten hij boven het midden echt net maar een beetje 
B: 	ja er past nog wel een kop boven 
A: 	het zijn de kruiwag 
B: 	ja dat zijn D 
A: 	hij zitten helemaal aan de rechterkant van het scherm wel zeker boven het midden 
A: 	er kunnen geen plaat veel rechts naast er zijn nog wel wat ruimte hij zitten niet tegen de kant aan 
B: 	en boven past helemaal niks veel 
A: 	er past nog wel een plaat 
B: 	boven 
A: 	ja 
B: 	nee 
