B: 	deze hebben ook weer zo'n soort plaat maar dan veel bovenaan als een soort tafel 
A: 	ik weten welk dat zijn 
B: 	ja 
A: 	dat zijn zestien 
B: 	en je hebben één die staan helemaal rechts soort van in het midden 
B: 	en daar link van en een stuk naar beneden 
A: 	bij mij staan die helemaal rechtsboven 
A: 	zitten niks bij nog 
B: 	dan zijn het niet dezelfde plek 
A: 	dat zijn niet dezelfde plek 
A: 	deze hebben het soort een tafel 
A: 	met het dinge erop 
B: 	ja dat zijn bij mij P 
A: 	en je hebben helemaal rechts zo'n rij van drie 
B: 	ja 
A: 	en dan zijn het de onder 
B: 	ja dat zijn dezelfde plek 
B: 	deze zijn die tafel weer 
A: 	ja de tafel dat zijn bij mij veertien 
B: 	bij mij zitten die op de onderste rij hebben je er drie en dan daar de veel rechts van 
A: 	ja bij mij ook 
A: 	die met die tafel 
B: 	dat zijn N 
A: 	en je hebben even kijken 
A: 	de veel links 
A: 	die ongeveer in het midden zitten 
A: 	daar schuin boven 
B: 	rechtsbof 
A: 	rechtsboven ja 
B: 	ja 
B: 	bij mij ook 
B: 	dit zijn die met die tafel 
A: 	die met de tafel 
A: 	waar ? waar ? ja 
A: 	dat zijn nummer tien 
B: 	bij het midden hebben je er zeggen maar drie op een rij 
A: 	ja 
B: 	weten je welk ik bedoelen ? en die tafel zijn de middel 
A: 	nee bij mij zitten die gewoon midden helemaal bovenaan 
B: 	nee 
A: 	oké dat zijn niet dezelfde 
A: 	die met de tafel 
B: 	d 
A: 	je hebben aan de rechterkant rechtsboven zo die drie 
A: 	daar zijn het de middel van 
B: 	nee 
