A: 	oké 
B: 	nou dit zijn weer zo'n kop met een soort van bolle eraan in het midden van het kop 
B: 	staan twee kegel op die beide een ander vorm hebben 
B: 	en een uitstulpsel uitsteeksel aan de linkerkant van het kop 
A: 	ja oké 
A: 	ja dan dan hebben ik hem dat zijn veertien voor mij dan 
B: 	oké 
B: 	nou ja en hij staan bij mij in het rechts van het midden 
B: 	en een ja ook een beetje onder ja onder het midden als het gaan om ja 
A: 	ja oké 
B: 	ja 
B: 	onder het midden rechtsonder in het midden 
A: 	ja oké dat zijn dezelfde locatie voor mij 
B: 	oké 
A: 	yes 
A: 	oké deze hebben twee kegel aan de bovenkant die er net wat ander uitzien 
B: 	ja 
A: 	aan de rechterkant een bol 
B: 	ja 
A: 	en aan de linkerkant een ook nog een uitsteeksel 
B: 	het zijn N 
A: 	oké 
A: 	en hij staan bij mij helemaal aan de linkerkant 
A: 	net iets boven het midden 
B: 	ja bij mij zijn dat niet zo 
A: 	oké 
B: 	het zijn weer het kop met de met de bol in het midden en de twee 
B: 	de twee kegelvormig uitsteeksel waarvan de één één kegel zijn en de ander een cilinder 
B: 	en de ander een blok bedoelen ik 
A: 	ja dus inderdaad die die die twee kegel boven 
B: 	ja 
A: 	ja oké dat zijn negen weer 
B: 	oké 
B: 	en hij staan bij mij net iets boven het midden 
B: 	aan de veel linkerkant 
A: 	oké bij mij staan die wel echt helemaal bovenaan dus dat kloppen niet 
B: 	oké dus kloppen niet 
A: 	yes 
A: 	dit zijn die met de bol rechts en de twee twee kegel aan de bovenkant die er ander uitzien 
B: 	zijn G 
A: 	yes 
A: 	en net iets link van het midden 
A: 	stuk onder het midden 
B: 	ja bij mij ook 
A: 	yes 
B: 	het zijn die een weer met die twee kegel erop en die bol aan de rechterkant 
B: 	en het tobleronetje aan de linkerkant 
A: 	yes oké dat zijn vijf 
B: 	en hij staan bij mij aan de rechts van het midden 
B: 	en boven het midden 
B: 	dicht bij de het midden van rechts 
B: 	link van het midden van rechts 
A: 	oké nog een keer dus hij staan als je de rechterkant van het scherm hebben 
A: 	als je daarvan dan weer het midden neemt staat die net iets naar rechts 
B: 	iets naar links 
A: 	iets naar links oké dan kloppen het niet want bij mij staan die best wel ver naar rechts 
B: 	ja 
A: 	ja oké 
A: 	de bol aan de rechterkant 
A: 	en dan die twee kegel er erbovenop 
A: 	die er ander uitzien 
B: 	J 
A: 	yes 
A: 	en in het midden van de rechterkant 
A: 	en ook ongeveer in het midden van de bovenkant 
B: 	nee 
