B: 	oké deze hebben aan de voorkant hebben die een gewoon een vierkant zo hiervoor 
B: 	en aan de linkerkant zitten allemaal zitten twee van de armpjes met steeds groot worden blok 
A: 	ja 
A: 	ik weten welk het zijn 
A: 	nummer twee 
B: 	hij staan helemaal onderaan en dan links halverwege 
A: 	helemaal onderaan zeggen je 
B: 	ja onderaan en dan iets naast het midden 
A: 	ja hij staan bij mij wel iets omhoog 
B: 	nee bij mij staan die echt wel helemaal onderaan 
A: 	oké dan zijn die anders 
A: 	dit zijn dat ding met die twee armp link met die blok die groot worden 
A: 	en dan zo'n soort antenne op op het hoofd 
B: 	ja ik hebben hem 
B: 	G 
A: 	en die staan in het midden en dan iets naar onder en dan links 
B: 	iets naar iets naar links 
A: 	iets naar links 
A: 	ja 
B: 	ja 
B: 	deze hebben die antenne bovenop en links die twee van die armpjes met die blok en vooraan het vierkantje 
A: 	ja 
A: 	nummer negen 
B: 	en hij staan iets link van het midden en iets naar onderen 
B: 	niet allebei niet zo ver 
A: 	ja 
A: 	bij mij ook 
A: 	dit zijn dat ding met dat vierkantje voor en twee armp link 
A: 	met van klein naar groot worden blok en die antenne bovenop 
B: 	ja D 
A: 	en hij staan ja in het midden iets naar links iets naar boven 
B: 	heel iets omhoog 
B: 	ja 
B: 	die antenne bovenop en links die blok die steeds groot worden 
B: 	en voorop die plaat 
A: 	ja 
A: 	kijken waar die zijn ja 
A: 	nummer één 
B: 	dan staan die qua hoogte precies in het midden denken ik en heel ietsjes naar rechts 
A: 	ja dat zijn bij mij ander 
A: 	dat ding met die antenne erop en die twee armp met blok 
A: 	link 
B: 	ja B 
A: 	en hij staan rechts van het midden en dan wel vrij onderaan 
B: 	een klein beetje naar rechts 
A: 	en dan klein beetje naar rechts ja 
B: 	ja 
