A: 	het zijn diegene die hebben aan de rechterkant zo'n soort zo'n soort zo'n verrekijker weten je wel waarmee je kijken 
B: 	het lijken op een vogel 
A: 	en dan maar één 
B: 	dat istek 
B: 	aan de zijkant 
A: 	en dan hebben die bovenop zo'n zo'n ding 
B: 	hij hebben een verrekijker aan de zijkant 
A: 	ja maar één zo'n zo'n met al die blok maar dan maar één want je hebben er ook één met twee 
B: 	ja 
A: 	en staan die dus helemaal helemaal rechts 
B: 	met zo één zo'n kijker eigenlijk een piratending 
A: 	ja 
A: 	en dan 
A: 	ja ja ja zo'n piratending dat zijn ook wel wat ik ? denken en overal van die uitstulpertjes 
B: 	ja 
B: 	dat zijn bij mij nummer E 
A: 	oké 
A: 	en hij staan bij mij helemaal rechts en dan in het midden 
A: 	of ja zo goed als helemaal rechts en dan midden 
B: 	helemaal rechts van het scherm en dan midden onder 
A: 	eerder midden boven zullen ik zeggen 
A: 	maar wel in het midden maar net niet precies in het midden 
A: 	en ook niet precies helemaal rechts 
B: 	staan die tegen bovenaan het scherm aan of net iets naar onder 
A: 	nee hij zitten wel echt helemaal in het midden alleen niet precies in het midden 
B: 	ik denken het niet 
B: 	nee 
A: 	oké 
B: 	dit zijn met die dat kop met die verrekijker 
A: 	met die een verrekijker 
B: 	met die een verrekijker 
A: 	oké dat zijn nummer elf 
B: 	hij staan bij mij centrum centrum en dan net iets Linksboven nog schuin 
A: 	ja 
A: 	met die een piratenverrekijker 
B: 	maar één 
A: 	ja maar één 
B: 	dat zijn J 
A: 	en dan centrum centrum en dan ongeveer tien of twintig naar rechts 
B: 	en ook nog naar boven 
A: 	nee niet naar boven 
B: 	nee dan niet 
B: 	ik hebben die met die één verrekijker 
A: 	ja dat 
B: 	de piraat 
A: 	dat zijn nummer negen 
B: 	hij staan rechteronderhoek 
B: 	en dan iets naar boven nog 
A: 	hebben ik al niet 
A: 	die met die piratenverrekijker 
B: 	boven 
B: 	één 
B: 	ja B 
A: 	en die staan bij mij ongeveer vijfentwintig procent rechts en ook wat laag dan het midden 
B: 	bij mij staan die echt wel tegen de zijkant aan 
A: 	nee bij mij niet 
B: 	ik hebben dat met die een verrekijker 
A: 	ja dat zijn nummer vier 
B: 	en dan bijna linkerbovenhoek 
A: 	ja maar net niet in de hoek 
B: 	nee net niet 
