A: 	oké deze hebben een best wel lang balk voor zich staan 
A: 	en een bolle bovenop 
B: 	en hebben die nog twee van die 
A: 	ja 
B: 	oké dan zijn het D 
A: 	hij zitten bij mij onderaan het scherm 
A: 	en link van het midden 
B: 	en zitten er link nog één naast 
A: 	er zitten link nog één naast zitten zo'n stuk tussen ongeveer 
B: 	en rechts zitten er nog veel ver één naast 
A: 	ja daar zitten zo'n stuk tussen of zo 
B: 	ja dan zijn het dezelfde plek 
A: 	oké 
B: 	deze hebben de bol bovenop 
A: 	de bol bovenop en dan die balk er ervoor 
B: 	ja 
A: 	oké dat zijn bij mij vijftien 
B: 	bij mij zitten die helemaal rechts onderin in de hoek 
A: 	niks ander veel die kant op ? oké dan zijn het niet dezelfde bij mij zitten die één link daarvan 
B: 	oké 
A: 	deze hebben de bol bovenop en dan de die groot balk aan de voorkant 
B: 	zijn 
A: 	en die twee dinge aan de zijkant 
B: 	zijn L 
A: 	en die een die je hebben die een die bovenaan in het midden staan 
B: 	ja 
A: 	daar link onder 
B: 	ja 
B: 	deze zijn weer met die bol bovenop en die staaf ervoor 
A: 	ja dat zijn bij mij zes 
B: 	rechts hebben je er drie op een rij daar de middel van 
A: 	nee bij mij zijn die rechts aan de onderkant 
A: 	deze hebben de bol bovenop en dan de balk daarvoor 
B: 	dat zijn bij mij J 
A: 	even nadenken hoe ik dit het duidelijk maken 
A: 	je hebben die een die helemaal rechts ongeveer in het midden zitten 
A: 	en dan links daarboven 
B: 	ja 
A: 	en dan veel naar het midden zeggen maar 
B: 	ja 
B: 	met die bal bovenop en die dat blok ervoor 
A: 	ja dat zijn nummer drie 
B: 	eigenlijk de veel rechts 
A: 	veel rechts ongeveer in het midden 
B: 	ja 
A: 	oké 
