A: 	want dat kunnen ook niet want de vorig zijn ook niet 
A: 	oké dit zijn driehoek op het hoofd 
A: 	raar neus 
B: 	spits driehoek 
A: 	ja en aan de linkerkant een soort van kogel naast het hoofd 
B: 	ja 
B: 	ja en een soort wieletje eronder ja 
A: 	ja ja die 
B: 	ja J en bij jou 
A: 	vijftien 
B: 	J vijftien 
A: 	rechts onderin maar er kunnen er rechts nog één naast en er kunnen er niks veel onder 
B: 	ja zelfde plek 
B: 	dit zijn met die spits driehoek op op de bovenkant 
A: 	met de kogel aan de zijkant 
B: 	ja met de ja 
A: 	oké ja zo ja oké 
B: 	ja ja ja 
A: 	welk 
B: 	hij staan rechtsonder 
A: 	nou weer welk letter 
B: 	H 
A: 	H zes 
A: 	oké 
B: 	ja hij staan dus rechtsonder maar er kunnen er nog wel één dus er kunnen er nog één diagonaal onder 
B: 	in de rechterhoek 
A: 	oké 
B: 	en dan 
A: 	er kunnen er ook nog net één onder en net één rechts van 
B: 	ja het het kunnen eigenlijk net niet maar ze ze doen het hier wel 
B: 	het het het zeggen maar het vierkant het rood vierkant zijn zijn ook niet helemaal dicht omdat ze zo dicht op elkaar staan dus 
A: 	ja oké dan zijn die denken ik hetzelfde 
B: 	ja 
A: 	driehoek op driehoek op het hoofd kogel aan de zijkant de raar neus 
B: 	driehoek op het hoofd even kijken die spits driehoek 
A: 	ja zestien 
B: 	ja ja oké E 
B: 	bij jou 
A: 	zestien 
B: 	E zestien 
A: 	als je een vierkant maken 
A: 	of ja weer zo'n kruis 
B: 	ja 
A: 	in het rechts onderin 
B: 	ja 
A: 	er kunnen er misschien net één tussen waar deze staat en het perfect midden 
B: 	nee bij mij kunnen er bij mij staan die ik weten niet wat er bij jou volgens mij staan ze zeggen maar op dezelfde plek bij jou ook alleen dan uitstaan er ander ding bij 
B: 	bij mij staan die de twee naar verst naar rechts zeggen maar daar hebben je die die Pinokkio helemaal daarboven en dan staan er één onderin 
A: 	hoeveel zullen er nog rechts kunnen gaan vier of vijf 
B: 	twee drie drie max 
A: 	nee dat zijn niet hetzelfde dus 
B: 	nee 
B: 	niet hetzelfde 
B: 	dit zijn die met die spits punt op het het driehoek spits driehoek 
A: 	kogel aan de zijkant 
B: 	ja kogel aan de zijkant 
B: 	A 
A: 	A tien 
B: 	staan bij mij het versten wat kunnen linksonder maar er zullen er in theorie nog wel één link naast kunnen 
A: 	nee bij mij niet 
A: 	hoe heten dat ding 
B: 	welk bedoelen je 
A: 	kogel aan de zijkant van het hoofd en driehoek bovenop 
B: 	ja de G 
A: 	ja dertien 
B: 	ja G 
B: 	G dertien 
A: 	ik weten niet veel wat het woord driehoek betekenen 
B: 	Linksboven helemaal 
A: 	ja 
B: 	ja 
B: 	dit zijn met die spits driehoek op het hoofd 
B: 	of op het hoofd op de bovenkant 
B: 	K 
A: 	K tien 
B: 	ja als je nu naar rechts gaan 
A: 	ja 
B: 	en dan iets ja een stap naar beneden eigenlijk 
A: 	ja 
B: 	en dan twee stap naar rechts 
B: 	en er staan er nog één naast en 
A: 	er staan er één schuin rechts boven nou eigenlijk een heel klein beetje boven naast 
B: 	ja 
B: 	ja 
A: 	oké zelfde plek 
