A: 	ja er zitten een bolle bovenop 
A: 	en aan de voorkant zien je een vierkant staaf die rechtop staan 
B: 	ja 
B: 	ja en hij hebben een soort van twee armp aan de zijkant dan zijn het D 
A: 	ja 
A: 	o jij mogen klikken ja 
B: 	ik moeten klikken toch ja 
A: 	bij mij zitten hij aan de linkerkant en dan richting het midden zeggen maar en dan onderin 
B: 	ja 
B: 	helemaal onderste rij 
A: 	ja 
B: 	en op die onderste rij staan drie dinget één dichterbij en één ver helemaal rechts 
A: 	ja ja 
B: 	ok 
B: 	hij hebben zegmaar een bolle bovenop en twee van die armp en een vierkant pilaar aan de voorkant 
A: 	ja vijftien 
B: 	helemaal rechtond je kunnen niet ver naar rechts of naar onder 
A: 	je zeggen een bolle er op toch 
B: 	ja 
A: 	ja nee dat zijn bij mij ander dus niet 
A: 	deze hebben een bolle bovenop en dan die armpie en aan de voorkant de pilaar ja 
B: 	pilaar 
B: 	L 
B: 	drie rij bovenaan 
A: 	ja 
B: 	zegmaar bolletje bovenop twee armp en pilaar aan de voorkant 
A: 	zes 
A: 	bij mij zijn het die een die helemaal in zijn één staan 
B: 	nee bij mij zijn het van de twee rij de vier dus die daarboven staan dus niet hetzelfde 
A: 	nee 
A: 	die met die armpjes aan de zijkant lang staaf aan de voorkant en bolletje er op 
B: 	J 
B: 	zes rij bovenaan 
A: 	ja dus dan niet die helemaal rechts maar daarnaast 
B: 	ja 
B: 	met die armp bolletje bovenop en pilaar aan de voorkant 
A: 	drie 
A: 	gewoon die laat 
B: 	rij zeven 
A: 	ja 
