A: 	oké ik hebben nu nu 
A: 	het rood vierkant ik zien er zelf een gezicht in met een neus die een neuspiercing hebben dus eigenlijk een schroef door de neus heen 
A: 	hebben ook nog één ja een pluk achter op het hoofd 
B: 	ja 
B: 	ja ik weten welk het zijn 
B: 	dat zijn deze 
B: 	moeten ik hem zeggen toch ? en dan op geel 
A: 	ja nummer inderdaad 
B: 	dat zijn F 
A: 	hij staan bij mij ongeveer in de lengte staan die wel ongeveer op de helft 
A: 	in de breedte van het scherm staan die denken ik op drie vier 
B: 	rechts of link 
A: 	aan de rechterkant van het scherm 
B: 	dus jij zeggen in het midden 
A: 	ja wel ongeveer in de lengte 
A: 	dus in de hoogte zo staan die ongeveer in het midden 
B: 	ja 
A: 	en in de breedte staan die ongeveer op drie vier 
B: 	dus niet helemaal aan de zijkant 
A: 	nee 
B: 	oké dan staan die niet op dezelfde plek 
B: 	want hij staan bij mij helemaal rechts zeggen maar 
A: 	oké 
B: 	dus en bij jou staan hij ongeveer een beetje hier toch 
A: 	ja 
B: 	dan 
A: 	en bij jou staan die echt helemaal tegen de zijkant aan 
B: 	oké 
B: 	ja 
A: 	oké 
B: 	oké dan zijn het hem niet 
B: 	dit zijn die met die piercing door zijn neus 
A: 	even zoeken 
B: 	dat komme met die piercing ja 
A: 	ja en dat dinge achter op het hoofd 
B: 	ja 
A: 	nummer vijf 
B: 	hij staan als je het midden hebben aan de linkerkant en dan ongeveer boven 
B: 	als je het midden hebben dan op de twee rij en dan ertegenaan tegen het midden ongeveer een beetje aan 
A: 	zullen er nog net een half tussen kunnen 
B: 	ja 
A: 	oké 
A: 	ja 
A: 	dan staan die wel op dezelfde positie 
A: 	dit zijn het poppe met de neuspiercing 
B: 	dit zijn A 
A: 	en deze staan aan de rechterkant van het scherm 
A: 	daar staan die één plek onder het midden 
A: 	en hij staan in de breedte staan die dus wel weer in het midden van de rechterkant 
B: 	één onder het midden zeggen jij 
A: 	ja één onder het midden 
B: 	nee dan staan die niet op dezelfde plek 
B: 	dit zijn die neuspiercing 
A: 	de neuspiercing 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	als je het midden hebben staan die aan de rechterkant en dan kunnen er vanuit het midden nog één tussen en aan de rechterkant dus nog twee of drie 
A: 	oké 
A: 	nee bij mij zullen het andersom vanuit de zijkant zullen er bij jou twee tussen kunnen toch 
B: 	ja 
A: 	oké 
A: 	nou bij mij juist daar maar één 
A: 	dus niet dezelfde 
A: 	dit zijn de neuspiercing 
B: 	kijken dit zijn H 
A: 	en die staan ongeveer zo in de breedte staan die dus in het midden van het scherm 
A: 	misschien net iets naar rechts 
A: 	en er zullen er precies één onder kunnen 
B: 	ja dan staan die op dezelfde plek 
B: 	dit zijn de neuspiercing 
A: 	dat zijn nummer vijftien 
B: 	hij staan rechts van het scherm boven kunnen er nog één boven en onder kunnen er heel veel onder dus hij staan op de twee rij van boven 
A: 	nee 
B: 	en dan neigen die naar de middellijn 
A: 	oké hier staan die echt in de hoogte staan die ook bijna in het midden 
A: 	dat zijn bij jou niet het geval 
B: 	nee 
