B: 	ja het plaat zijn die op een man lijken met 
B: 	soort van kronkelstaaf aan de onderkant die eindigen op een piramide niet piramide maar een driehoekig 3Ddinge 
B: 	en aan de bovenkant een kubus en daar rechts van ook weer een kubus en daar helemaal links ja het zijn niet echt een kubus maar 
A: 	een soort driehoek of zo 
B: 	ja zoiets 
A: 	ja 
A: 	maar in ieder geval die kronkel en dan op die driehoek 
B: 	ja 
A: 	ja dat zijn vier 
B: 	bij mij staan die in de rechterhoek 
B: 	met zo'n stuk van de bovenkant af 
B: 	en zo'n stuk van de zijkant af 
A: 	ja bij mij staan die wel veel naar veel naar midden 
A: 	er zitten nog zo'n stuk boven en nog zeker zo'n stuk aan de zijkant 
A: 	dus hij zitten veel naar 
B: 	dan zijn het niet hetzelfde denken ik 
A: 	nee 
A: 	ja dit zijn die op dat driehoekig platformp met die kringel omhoog 
A: 	en dan die twee kubus bovenop en aan de linkerkant dat driehoek 
B: 	ja die 
B: 	ja 
A: 	ja 
B: 	dat zijn bij mij A 
A: 	en hij staan bij mij als je de linkerhelft weer in twee delen precies op het midden 
A: 	en 
B: 	bij mij niet 
A: 	ja in het midden dan ja net iets onder het midden 
B: 	nee bij mij zijn het bij allebei zeggen maar tegengesteld 
A: 	oké nou dan 
B: 	bij mij zijn het juist veel naar links toe 
B: 	en 
A: 	ja zeggen ik niet links 
B: 	jawel maar je zeggen het midden van het linkerdeel 
A: 	ja ja ja 
B: 	bij mij staan die daar nog links van 
A: 	helemaal links 
B: 	ja 
A: 	oké 
B: 	en dan boven die horizontaal lijn nog 
A: 	ja 
A: 	nee bij mij zijn die wel onder dus dan hebben we niet hetzelfde 
B: 	oké 
B: 	nee 
B: 	dit zijn die op een man lijken met die kronkelbuis naar een driehoek 
B: 	en twee kubus bovenop en een ander dinge 
A: 	ja dat zijn tien 
B: 	hij staan op de onderste rij 
B: 	en dan iets rechts van het midden weer daarvan 
B: 	dus ja als je die weer door de helft delen daar iets rechts van 
A: 	ja ja bij mij ook 
A: 	denken dat dat wel hetzelfde zijn 
B: 	ja 
A: 	ja dit zijn dat man met die die draai richting dat driehoek aan de onderkant 
B: 	ja 
B: 	ja dat zijn L 
A: 	en hij staan ja helemaal rechts 
A: 	en ook helemaal boven helemaal rechtsboven 
A: 	met daarbij ja nog zo'n stuk naar de rechterkant en nog zo'n stuk naar de bovenkant 
B: 	bij mij ook maar rechts zitten er bij mij zo'n 
A: 	ja zo 
B: 	dat zijn wel hetzelfde 
A: 	ja 
B: 	en boven ongeveer evenveel 
A: 	ik denken wel dat het zelfde zijn 
B: 	ja ik ook 
B: 	dit zijn dat man met die spiraal aan de onderkant 
B: 	en driehoek 
B: 	en kubus 
A: 	ja 
A: 	ja 
A: 	dat zijn vier 
B: 	hij staan net iets link van het midden 
B: 	en dan iets misschien onder dit midden 
A: 	ja 
B: 	hij raken hem wel dan maar de rest zijn er iets onder 
A: 	ja 
A: 	bij mij ook 
B: 	oké 
A: 	dit zijn ja het man met de spiraal en de driehoek aan de onderkant 
B: 	oké dat zijn F 
A: 	best wel in het midden net iets rechts van de middellijn 
B: 	bij mij links 
A: 	wel rechts 
B: 	oké nee dat zijn niet hetzelfde 
