B: 	oké 
A: 	deze hebben twee plat uitsteeksel met dezelfde vorm aan de rechterkant 
B: 	ja 
A: 	en bovenop zitten iets wat ja driehoekig zijn maar afronden zeggen 
B: 	ja 
B: 	oké dan zijn het I 
A: 	en die staan bij mij ja links slash in het midden 
B: 	ja 
A: 	bovenaan 
A: 	dus er staan er nog één link naast 
B: 	ja 
A: 	en ver niks 
B: 	oké 
B: 	dan staan die op dezelfde plek 
B: 	oké dit zijn diegene met zo'n istek aan de zijkant eruit en een driehoek erop die aan de bovenkant plat zijn 
A: 	ja dat zijn twee 
B: 	oké bij mij staan die links hebben je zo die drie onder elkaar en het zijn dan de onder 
A: 	ja dan staan die op dezelfde plek 
A: 	dit zijn die met dat istek en die afgeplaten driehoek 
B: 	ja ja 
B: 	dat zijn M 
A: 	en die staan bij mij helemaal links onderin 
B: 	ja dan staan die ook op dezelfde plek 
B: 	ik hebben degeen met een isteken eraan 
B: 	en zo die afgeplatte driehoek aan de bovenkant 
A: 	ja 
A: 	dat zijn negen 
B: 	oké die van mij staan in dat klein driehoek linksboven zijn het rechtsboven 
A: 	ja dan staan die op dezelfde plek 
A: 	dit zijn met dat istek en die afgeplaten driehoek 
B: 	ja ja 
B: 	even zoeken waar zijn die ? ja 
B: 	dat zijn F 
A: 	en aan de rechterkant in het midden zeggen maar ongeveer onderaan 
B: 	ja 
A: 	daar hebben je drie naast elkaar 
B: 	ja 
A: 	die een beetje zo boven elkaar staan 
B: 	ja 
A: 	daar zijn die de middel van 
B: 	ja 
B: 	ik hebben die met het isteken en de afplatten driehoek 
A: 	dat zijn zes 
B: 	ja jeetje ik hebben het over die twee daaronder 
A: 	ja 
B: 	daar staan die eigenlijk links boven 
B: 	maar wel schuin 
B: 	omhoog veel dan naar 
A: 	link boven 
B: 	ja die twee in het midden 
B: 	daar staan die link 
A: 	wachten twee in het midden 
B: 	ja onderin helemaal sorry 
A: 	ja ja 
B: 	daar staan die 
A: 	daar staan die links boven 
B: 	ja dus niet links van maar wel boven 
B: 	oké dit worden heel onduidelijk uitleggen die twee 
A: 	wachten oké dus zeggen maar als je dat ding van jou zien dan hebben je daar linksonder zijn zo'n dat zijn zo'n rij van drie zeggen maar en daar zijn het de bovenste van 
B: 	nee nee nee wachten 
B: 	oké aan de linkerkant hebben je die vier zeggen maar die boven onder boven midden onder en dan zitten er één rechts boven 
A: 	ja 
B: 	als je dan nog ver die lijn doortreken 
A: 	ja 
B: 	die zijn het 
A: 	ja oké dus die staan ook een beetje alleen 
B: 	ja die staan een beetje alleen in het midden 
A: 	ja 
A: 	ja oké 
A: 	dan zijn het wel dezelfde plek 
B: 	oké 
