A: 	ja deze hebben aan de rechterkant een soort mun of een schijf met een stok die hem vastmaken aan de beker 
A: 	of aan het groot geheel en dan aan de linkerkant hebben het een soort heel uitgerekken pacmanvorm met zo'n soort spijker erin 
A: 	het hebben zijn zeggen maar aan de linkerkant ja er er opsteken dan zo'n ding horizontaal uit en in dat uitgesteken ding 
A: 	steken weer iets zeggen maar zo schuin van boven naar achter daar in 
B: 	nou ik weten totaal niet waar je het over hebben 
A: 	nee ? 
A: 	even kijken dus je hebben gewoon nou je hebben al bekervormen 
B: 	ja 
A: 	en dan hebben je w rechtsonder hebben je een soort schijf dat horizontaal er half tegenaan afhangen 
A: 	en dat schijf worden worden zeggen maar vastgemaakt aan de kop met een 
B: 	o zo'n plateau 
A: 	heel klein 
A: 	ja ja ja dat plateau en dan links daarvan ja zijn toch dat zijn zeggen maar zo'n heel lang uitgerekte breed pacman en daarin 
B: 	ja 
B: 	o dan de pacman ik zien de pacman 
B: 	ja 
B: 	ik denken je willen heel groot maar je hebben een lang 
A: 	nee ja precies ja en daarin opsteken dan die het lijken op een beetje op een spijker op zo'n naald of wat dan ook 
B: 	ja ok dat zijn dan de L voor mij 
A: 	ok 
A: 	en hij zitten link onderin het groot vlak 
A: 	en dan in het midden tussen links en rechtsonder 
A: 	ongeveer 
B: 	bij mij zitten hij in het linksondervak linksboven 
A: 	nee dan zitten hij op een ander plek 
B: 	dan zijn het rood 
B: 	dit zijn weer met dat tablau plateau met die uitgerekte pacman en die spijker 
A: 	ja 
A: 	ja ja ja ok dat zijn zeven 
B: 	en hij zitten in het vak linksboven en dan aan de rechterkant en dan iets veel naar boven dan naar onder 
A: 	nee die van mij zitten wel linksboven maar dan rechtsonder die zitten niet in het bovenste vlak bij mij 
A: 	ja 
B: 	ja bij mij zitten hij best wel hoog rechts 
A: 	ja nee bij mij niet 
B: 	ok 
A: 	ja dit zijn die met dat raar rond plateau dat er tegenaan zitten met die uitgerekte pacman en die spijker erin 
B: 	dat zijn voor mij C 
A: 	ja 
A: 	en hij liggen 
A: 	rechtsboven en dan linksonder echt tegen het aan bijna tegen de tegen zeggen maar de hoek van het midden 
B: 	rechtsbof 
A: 	ja rechtsboven groot vlak 
B: 	ok bij mij liggen hij rechts onder 
A: 	ja nee hij liggen wel echt rechtsboven bij mij 
B: 	ok dit zijn met het rond plateau en de uitgerekte pacman en de spijker 
A: 	ja dat zijn één 
B: 	en dan liggen hij in het vak linksonder ? en dan linksboven ? maar er past er nog wel één link van 
A: 	ja ja 
A: 	dit zijn die met dat plateau en de uitgerekte pacman en een spijker in pacman 
B: 	dat zijn voor mij A 
A: 	en hij liggen linksonder en dan ongeveer op de verticaal as van het klein 
A: 	plaat ? ja en er zullen er ongeveer twee twee en een half onder kunnen 
B: 	dus hij liggen wel echt op bijna op de horizontaal lijn 
A: 	twee en een half onder twee en een half 
A: 	ja ja ja 
B: 	ok dat zijn denken ik hetzelfde dan 
B: 	dit zijn met het rond tableau met een uitgerekte pacman en een spijker 
A: 	ja 
A: 	dat zijn dertien 
B: 	en dan liggen hij linksonder en dan redelijk in het midden 
A: 	ja die van mij liggen echt links maar dan op de horizontaal middenlijn 
A: 	er kunnen zeggen maar niks veel link van hem 
B: 	nou dat past bij mij wel ja dus rood 
