A: 	ja 
A: 	dit zijn het zijn het kop en dan bovenop zitten dan een ruit met een vierkant staaf erdoorheen die ook steeds groot worden naar aan de buitenkant 
A: 	en dan aan de rechterkant zitten een een staaf met een knik en aan de voorkant zitten ook een staaf en aan de onderkant zitten ook zo'n soort van poo met een knik 
B: 	ja 
B: 	dat zijn bij mij M 
A: 	ja 
B: 	waar staan die bij jou 
A: 	hij staan ja als je de linkerhelft dan ook weer in twee deel delen ongeveer precies op de ja een kwart 
A: 	en ja net iets onder het midden 
A: 	aan de onderkant hebben ik nog zo 
B: 	nee dat zijn echt niet nee 
B: 	bij mij zitten die veel aan de bovenhelft van dit midden 
A: 	nee hij zitten wel aan de onderhelft bij mij 
B: 	oké 
B: 	nee dan 
A: 	houden het op 
B: 	dan rood 
B: 	dit zijn die aan de Rechtervoorkant hebben die zo'n rond staaf 
B: 	als soort van neus en aan de onderkant hebben die zo'n vierkant haak 
A: 	ja ja 
B: 	en rechts ook 
A: 	ja 
B: 	en dan bovenop hebben die een diamantvorm met die kubusding erdoorheen 
A: 	ja ja die groot worden 
B: 	ja 
A: 	yes dat zijn negen 
B: 	en hij staan bij mij op de onderste rij 
B: 	en dan iets link van het midden 
A: 	ja een beetje ja ja in het midden tussen het midden van links en het midden 
B: 	ja zoiets 
A: 	ja ik denken wel dat die op dezelfde plek staan 
B: 	ja 
A: 	dit zijn de ja die met die die die ruit bovenop en dan die vierkant erdoorheen 
A: 	die die klein wordende groot worden vierkant en dan links ik bedoelen rechts en aan de onderkant nog een haak en aan de voorkant nog die neus 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn H 
A: 	en hij staan ja aan de linkerkant 
A: 	ja 
A: 	net iets rechts van het midden van de linkerkant 
B: 	ja 
A: 	en dan net ja aan de bovenkant ongeveer op de helft van de bovenkant net iets eronder denken ik 
B: 	ja bij mij ook 
B: 	ja 
B: 	ik denken dat het wel hetzelfde zijn 
A: 	ja denken het ook 
B: 	dit zijn die met diamant aan de bovenkant met die vierkant staaf die klein worden erdoorheen en dan onder 
B: 	haak rechts een haak en een staaf als neus 
A: 	ja 
A: 	dat zijn elf 
B: 	hij staan in het midden van het linkerdeel 
B: 	en dan weer het midden van bovenste deel 
A: 	ja ja 
A: 	boven zijn nog ongeveer zo'n stuk 
B: 	ja en links hebben ik nog best groot stuk 
A: 	ja ja 
B: 	oké 
A: 	ja dit zijn die met die die die die ruit bovenop met die vierkant die groot en klein worden 
B: 	ja 
A: 	en die drie uitstulpings 
B: 	ja ik zien hem al 
B: 	dat zijn D 
A: 	hij staan links 
A: 	bijna op het midden van de linkerhelft 
A: 	net net net niet helemaal iets veel naar rechts 
A: 	en ja best wel aan de onderkant het midden van de onderkant ongeveer 
A: 	nog zo'n stuk aan de onderkant 
B: 	bij mij staan die denken ik veel naar links toe 
B: 	ik hebben zo'n stuk tot de zijkant van het scherm 
A: 	nee nee dan zijn het niet hetzelfde 
B: 	oké 
B: 	dit zijn die met die diamant aan de bovenkant met die vierkant staaf doorheen 
A: 	nee 
B: 	die klein worden 
A: 	en die ander drie 
B: 	ja 
A: 	dat zijn veertien 
B: 	hij staan bijna helemaal tegen de linkerrand aan 
B: 	en dan eigenlijk precies deze helft 
A: 	nee nee 
A: 	die staan best wel aan de onderkant 
