A: 	deze kop 
A: 	even kijken hoor hij hebben de bovenkant zitten zijn er een driehoek maar die zijn afgevlakken 
B: 	ja 
A: 	ja 
B: 	er zitten een soort hendel aan 
A: 	er zitten een soort hendel aan en twee plat rechthoeak 
B: 	ja en daar onderin een soort schoen of zo 
A: 	ja 
B: 	dat zijn nummer dat zijn dan de hoofdletter I ja 
B: 	nummer I 
A: 	en hij zitten aan de linkerkant van het scherm 
A: 	en daar schuin onder richting het midden zitten een ander mokje 
B: 	ja 
A: 	en de ander zijn best wel ver weg eigenlijk daarvan 
B: 	hij zitten van de linkerkant wel vrij rechts 
A: 	ja hij zijn aan de linkerkant en dan ja vrij rechts aan de linkerkant ja 
A: 	liggen die richting het midden dus 
B: 	ja en het kop zelf past er ongeveer nog één keer boven 
A: 	ja en de ander want er zitten nog drie kop naast in een ongeveer half boog die zijn best wel ver weg vinden ik 
A: 	hebben je dat ook 
A: 	oké 
B: 	ik denken dat die wel op dezelfde plek zitten 
B: 	ik vinden het zelf lijken alsof er een soort hendel aan zitten 
A: 	ja 
B: 	en dan hebben je weer die twee rechthoeak die er ook uit komen 
B: 	en een afgevlakken driehoek bovenop 
A: 	even kijken hoor 
A: 	afgevlakken driehoek die erbovenop zitten 
A: 	daar hebben we er volgens mij ook maar één van toch 
B: 	ja 
B: 	en er zitten een soort hendel aan naar mijn idee 
A: 	ja en er zitten ook iets onder toch een soort van uitlaat 
B: 	ja een soort bak liggen ernaast of zo 
A: 	een bak liggen ernaast 
B: 	ja 
B: 	afgevlakken driehoek bovenop 
A: 	ja 
B: 	zitten een hendel aan die beginnen in het voorwerp en eindigen erbuit 
A: 	ja en er zitten ook nog twee vlak ernaast toch 
B: 	ja 
A: 	aan de linkerkant 
A: 	nee aan de rechterkant 
B: 	ja 
A: 	zitten twee balk 
B: 	ja 
B: 	dat zijn hem 
A: 	ja 
A: 	oké dat zijn twee 
B: 	ja 
B: 	oké hij zitten aan de linkerkant van het scherm 
A: 	ja 
B: 	onderin en dan ongeveer in het midden maar iets laag 
A: 	hoe vaak kunnen die nog naar beneden dan 
B: 	hij past er in zijn geheel nog één keer onder en één keer links 
A: 	dat zullen op zich wel kloppen 
A: 	nog één keer onder nog één keer links 
A: 	ik gaan ervoor ja 
A: 	en ik hebben beker afgevlakken vier driehoek 
A: 	met het hendel waar je zo van houden 
A: 	en klein gas uitlaat aan de 
B: 	ja 
B: 	ja 
B: 	ja dat zijn M 
A: 	en dan waar zitten die 
A: 	hij zitten link 
A: 	in de hoek 
A: 	maar hij kunnen nog één keer naar links 
B: 	linksonder 
A: 	ja linksonder en hij kunnen niet veel naar beneden eigenlijk 
B: 	oké 
B: 	die oké die afstand links daar past die één keer in maar misschien moeten we iets preciezer we hebben ook 
A: 	ja 
B: 	ze zeggen ook dat we zolang mochten nemen als we willen 
B: 	zijn die lengte links ongeveer vijftig procent lang dan de ruimte eronder 
A: 	ja eigenlijk wel het zijn echt gewoon één vierkantje 
B: 	dan zullen die wel goed zijn 
B: 	ja 
A: 	ja we zijn helemaal druk bezig met een nieuw manier uitvinden ja 
B: 	ja 
A: 	oké 
B: 	met het hendel 
A: 	met het hendeltje even kijken waar zijn die 
A: 	ah 
A: 	dat zijn negen 
B: 	ja 
B: 	en hij zitten naast die geen waar die dat vierkant in zitten 
B: 	die twee vierkant die van de zijkant aandreven worden 
A: 	ja 
A: 	ja dat kloppen 
B: 	en daar link onder zijn het tafel met het bak 
A: 	ja en er vlak hij kunnen hij kunnen nog één keer in ieder geval naar boven toch 
B: 	ja 
A: 	ja dat kloppen 
B: 	hoeveel moeten we er maken joh 
A: 	ja 
A: 	ja ik weten niet 
A: 	ze zeggen dat het een uur kunnen duren ik hebben geen idee dus de tijd hier gaan niet veel 
B: 	ja ja ja 
A: 	er zitten een hendel 
A: 	afgevlakken driehoek 
B: 	ja even zoeken 
B: 	dat zijn F 
A: 	en hij zitten linksonder richting het midden nee ik bedoelen rechtsonder richting het midden 
B: 	ja 
A: 	en hij kunnen 
B: 	zitten die vlak naast die met het cirkel aan die staaf 
A: 	ja 
A: 	echt bijna erin ook 
B: 	ja dat zijn goed 
B: 	oké dat zijn niet goed 
B: 	die met het hendel 
A: 	ah hendel 
A: 	waar zijn die ? ja 
A: 	dat zijn zes 
B: 	hij zitten aan de hij zitten qua hoogte in het midden 
B: 	en iets link van de middellijn misschien één naar links 
A: 	iets link van de middellijn ja dat kloppen wel 
