B: 	deze hebben een een soort balk op op zijn hoofd 
B: 	en er zitten aan de zijkant ja het lijken een beetje op een soort espressoapparaat 
B: 	soort tuu waar iets uit kunnen komen 
B: 	en aan de zijkant zitten nog een soort armp met een staaf omhoog 
A: 	ja ik ja ik denken dat ik het weten echt inderdaad zo'n balk bovenop 
B: 	oké 
B: 	ja 
A: 	en dan ja ik vinden het een beetje op kort mouw lijken 
A: 	zullen ik maar zeggen aan twee kant 
B: 	ja 
B: 	ja 
A: 	en dan inderdaad zo'n heel dun staaf met iets dus dan zijn het nummer acht 
B: 	ja 
B: 	ja 
B: 	hij staan in principe als je hem zo zien in het midden van het beeld 
A: 	ja 
B: 	alleen zo staan die net tegen de lijn aan 
A: 	oké en aan welk kant 
B: 	sorry aan de linkerkant 
A: 	oké dan ja dus Linksboven 
B: 	waar staan 
A: 	ja zullen ik maar zeggen van die lijn 
A: 	dus als je het in vier deel doen dan staan die in het linkervlak 
B: 	ja 
B: 	ja 
A: 	oké ja dan staan die op dezelfde plek 
A: 	dit zijn weten je wel ? met die hanenkam en dat jij denken aan een espressoapparaat 
B: 	ja 
B: 	even kijken 
B: 	zijn het een hanenkam of met dat balk 
A: 	ja met dat balk 
B: 	ja met het balk 
B: 	dan zijn het E 
A: 	als je het weer in die vier vlak verdeelen dan staan die in het ja rechtsonder in dat vak vlak en dan dicht bij de kruising 
B: 	aan de aan de onderkant 
A: 	nee niet aan de onderkant maar rechts onder dat vlak 
B: 	onder van 
A: 	en dan zitten die het dicht bij die kruising dus dan 
B: 	maar het rechtsbovenvlak of niet of 
A: 	rechtsonder 
B: 	ja dan zitten die niet op dezelfde plek 
A: 	oké 
B: 	ja 
B: 	dit zijn weer dat espressoapparaat met dat balk op zijn kop 
A: 	ah ja even kijken waar die zijn 
A: 	ja dat zijn nummer één 
B: 	en hij staan ja tegen deze middellijn aan 
B: 	en dan helemaal boven en dan in het linkervlak zeggen maar 
A: 	ja dat zijn dezelfde plek 
A: 	dit zijn dat espressoapparaat met zo'n balk 
B: 	ja 
B: 	dat zijn E 
A: 	bij mij staan die in het vlak linksonder 
A: 	en dan wel een beetje tegen de middellijn aan en dan in het midden 
B: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn weer dat espressoapparaat 
A: 	even kijken 
A: 	ah dat zijn nummer zestien 
B: 	hij zitten in het rechtervlak onderin 
B: 	en er kunnen niks veel onder 
A: 	oké 
B: 	en hij zitten ongeveer in het midden van dat vlak 
A: 	oké ja dan zitten die op dezelfde plek 
A: 	dat zijn dat espressoapparaat 
B: 	oké 
B: 	dat zijn O 
A: 	bij mij zitten die in het vlak linksonder 
A: 	en ja er kunnen kunnen niks veel onder 
B: 	nee 
A: 	maar er kunnen nog wel net wat link in principe 
B: 	ja 
B: 	staan er staan er bij jou ook ook nog één boven die nog nog net iets ver naar links zijn 
A: 	ja 
B: 	oké dan zijn het dezelfde 
