B: 	oké dit zijn ook een komme en die hangen een beetje omhoog en er zitten een soort van ja 
B: 	paal onder en dan staan die op een driehoek 
A: 	ja ja ik zien er een juichen persoon in 
A: 	maar inderdaad 
B: 	vinden ik best creatief 
A: 	twee armp op één been staan die op een driehoek plateau 
B: 	ja 
A: 	ja 
B: 	dat zijn hem 
A: 	dat zijn nummer vier 
B: 	hij staan helemaal rechtsboven 
B: 	in het scherm 
A: 	in in de uithoek 
B: 	ja 
A: 	dat zijn bij mij niet zo 
B: 	oké 
A: 	dan staan die iets veel terug naar het midden 
A: 	zowel niet bovenaan als tegen de zijkant 
A: 	dus hij staat niet op dezelfde plek 
A: 	dit zijn dat juichend persoon op dat driehoekig plateau 
B: 	even kijken waar staan die 
B: 	waar zitten zitten die arm ook alweer 
A: 	die ja je hebben dan dat dat vormp de basisvorm 
B: 	ja 
A: 	daarbovenop zitten een soort spiraal die naar een driehoekig plateau gaan 
A: 	en ver staan er twee blok en nog een ander soort uitsteeksel 
B: 	even kijken hoor 
B: 	zijn het zeggen maar dat die dat ei voorop hebben 
A: 	nee 
B: 	nee 
B: 	oké 
B: 	zijn dat die met die die dus dat ding dat uitsteken aan de zijkant 
B: 	die balk 
A: 	nee die ook niet 
A: 	dus best wel langwerpig 
A: 	dus de basisvorm en daaronder komen een soort spiraalvorm uit 
A: 	en die zitten op dat driehoekig plateau 
B: 	op dat driehoek 
B: 	nu zien ik die arm 
A: 	ja 
B: 	ja oké 
B: 	dat zijn A 
A: 	en deze zitten qua hoogte ongeveer in het midden 
B: 	ja 
A: 	of eigenlijk wel in het midden 
A: 	en hij zitten link van het midden en daar zullen één anderhalf poppet zullen daartussen kunnen 
B: 	nee deze staat bij mij echt helemaal links aan het scherm 
A: 	oké 
B: 	dit zijn die pot zeggen maar weer met de soort van ronddraaien slurf eronder en dat driehoek dat op de grond staan 
A: 	ja 
A: 	die juichen 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer tien 
B: 	als je het midden van het scherm hebben staan die links en dan ongeveer in het midden onderaan maar dan kunnen er niks onder veel 
B: 	twee vinger 
B: 	en dan staan die neigen die iets veel naar de rechterkant dan naar de linkerkant 
A: 	oké maar daar kunnen twee vinger bij jou onder 
B: 	één anderhalf 
A: 	ja bij mij 
B: 	net zeggen maar net wel net niet 
A: 	nou bij mij nog niet één vinger dus 
B: 	oké oké nee ja één 
B: 	één vinger onder 
B: 	dus hij staan echt helemaal onderin 
A: 	oké 
A: 	en dan neigen die net iets van 
B: 	naar het midden 
A: 	naar het midden ja dan denken ik toch wel 
A: 	dit zijn de juichend persoon 
A: 	dus met de spiraal op een driehoekig plateau 
B: 	dat zijn L 
A: 	en die staan rechtsboven in het scherm maar dan zullen er eigenlijk ja net wel net niet aan al die zijkant dus één tussen kunnen 
B: 	dit zijn met dat driehoek op de grond met die slurf en dan die pot 
A: 	die juichen 
B: 	ja 
A: 	die persoon ja 
A: 	oké 
A: 	dat zijn nummer vier 
B: 	als je het midden hebben dan staan die ongeveer op de hoogte ongeveer op het midden net iets eronder 
B: 	en dan helemaal tegen de middenkant aan middellijn aan 
A: 	ja 
A: 	dat zijn dezelfde positie 
A: 	dit zijn dat juichend poppe 
A: 	dus op het driehoekig plateau 
A: 	met de spiraalvorm 
A: 	en dan 
B: 	ja 
B: 	dat zijn F 
A: 	en die staan in de middellijn staan die net heel klein tik naar rechts 
A: 	en in de hoogte staan die net iets hoog 
B: 	nee dat zijn niet dezelfde positie 
