B: 	dit noemen ik tafel 
A: 	ja oké ja 
B: 	met blok 
A: 	ja ja ja ja ja ik weten hem 
A: 	welk 
B: 	oké 
B: 	O 
A: 	O zestien 
B: 	hij staan rechts midden iets onder het midden maar geen heel stap 
A: 	dan zijn die niet hetzelfde 
A: 	bij mij zitten die helemaal rechts bovenin 
A: 	tafel 
B: 	tafel tafeltje waar zijn tafel 
A: 	veertien 
B: 	P veertien 
A: 	middel hoogte 
A: 	tussen het midden en rechts staan staan die in het midden 
B: 	ja ja zelfde plek 
B: 	tafel 
A: 	ja welk zijn dat 
B: 	P 
A: 	P 
B: 	ja 
A: 	P vijftien P veertien 
B: 	ja eigenlijk onder verrekijker precies 
A: 	ja zijn dezelfde plek 
A: 	en dan net er link link van het midden helemaal onderaan 
B: 	ja en link van beneden helemaal onderaan ja 
A: 	tafel 
B: 	oké N 
A: 	achten sorry 
B: 	N achten 
A: 	echt recht schuin boven de vorig 
B: 	ja en dan er zullen er kunnen niks ander veel tussen want hij overlapt al 
A: 	ja hij overlpen al ja 
B: 	ja zelfde plek 
B: 	een nieuw scherm 
B: 	tafel 
A: 	ja 
B: 	I 
A: 	I tien 
B: 	en deze staan als je vanuit het midden eigenlijk ongeveer in het midden één stap omhoog zullen denken 
A: 	past er misschien nog net één boven als je heel goed proppen 
B: 	nee dat zijn een ander dat zijn dat zijn K bij mij nee want er staan er dus nog nog één boven ook 
A: 	oké dan zijn het niet hetzelfde 
A: 	tafel 
B: 	kijken d 
A: 	zestien 
B: 	dus d zestien 
A: 	met die driehoek die we net hebben 
B: 	ja 
A: 	bij mij staan die aan de Rechteronderkant van die driehoek 
B: 	Rechteronderkant 
A: 	ja 
B: 	nee bij mij staan die aan de rechterbovenkant 
A: 	oké niet hetzelfde 
