A: 	dit zijn een soort van ja ik hij hebben een soort van kegelvormig neus en een kegelvormig haartje 
A: 	en dan twee armp 
A: 	dus twee kegel één als neus en één als haar 
B: 	ja 
B: 	met een heel gek bouwen achtig armp 
A: 	armp ja een soort van Minecraftarmpje ja 
B: 	en een 
B: 	ja precies en nog een heel klein spastisch armp daar aan de ander kant 
A: 	ja ja ja 
A: 	ja die 
B: 	ja 
A: 	oké 
B: 	dan gaan het om E 
A: 	ja bij mij staan die helemaal rechts 
B: 	bij mij ook 
A: 	er zijn nog nou nee er zullen nog geen plek zijn om er één naast te inzetten denken ik 
B: 	bij mij wel bij mij weten je nog dat toren 
A: 	ja 
B: 	en zeggen maar de bad muts of de bad het zwemband 
A: 	ja 
B: 	daartussen staan die bij mij 
A: 	oké dus er zijn nog één rechts van je 
B: 	er zijn er één link en er zijn één rechts hij zitten er een soort van tussen gepropt zeggen maar hij zullen er niet volledig naast kunnen maar de bovenkant van het figuurt zitten er zeggen maar wel tussen 
A: 	oké 
B: 	dus je hebben zeggen maar vanaf jou kant zien zeggen maar zullen die dus hier zullen je dus die met die band hebben 
B: 	dan zullen je hier ongeveer welk waar we het nu over hebben en hier het toren 
A: 	nee nee er er zitten niks veel daar daar zijn geen ruimte veel voor 
B: 	of 
B: 	nee 
A: 	nee 
B: 	dan denken ik niet dat die op dezelfde plek staan 
A: 	oké 
B: 	dat moeten ik zeggen 
A: 	ja 
B: 	staan niet op dezelfde plek dus rood 
B: 	dit zijn het heel raar figuur 
B: 	waar je een kegel erbovenop hebben zitten aan de zijkant je hebben dat autistisch harm armp en je hebben zeggen maar die minecraft arm 
A: 	die 
A: 	die minecraft 
A: 	dat zijn Numero elf 
B: 	hij staan bij mij als je B helemaal omhoogtrekt aan de linkerkant 
B: 	er zitten er één onder die je eerder zullen kunnen aanwijzen maar dat zijn hem niet hij staan 
A: 	als je de 
A: 	als je de B naar boven trekken aan de linkerkant ja 
B: 	ja 
A: 	bij mij ook en er kunnen er nog één boven 
B: 	één boven en er kunnen er bij mij ongeveer twee en een half eronder 
A: 	ja 
A: 	ja dan staan die op dezelfde plek 
B: 	oké top 
A: 	dit zijn die Pinokkio met dat raar dat dat dat raar autistisch hand en die en die en die 
B: 	ja met het 
A: 	en dat Mindcrafthandje 
B: 	ja 
B: 	ik zoeken hem even op 
B: 	dat zijn geen Pinokkio dat zijn mijn Minecrafthandje en het gek hand en twee kogel ja 
A: 	ja ja 
B: 	gaan het om J 
A: 	hij staan bij mij als je hem twee als je het scherm eigenlijk in vier zullen delen denken ik in in de 
A: 	dus als je doormidden zullen meedelen en daarna nog een keer doormidden aan de rechterkant 
A: 	en dan het midden van de rechterkant 
B: 	dus eigenlijk 
A: 	en dan en echt precies in het midden eigenlijk 
B: 	in het midden van de rechterkant 
A: 	ja 
B: 	bij mij staan die vrijwel in het midden 
B: 	want je trekken een lijn van E en N omhoog en dan raken die de E N 
A: 	nee dat zijn bij mij echt niet het geval 
B: 	oké dan staan die dus niet op dezelfde plek 
B: 	dit zijn met het Minecraftarmpje en de spastisch 
A: 	ik gaan hem even opzoeken 
A: 	op een geven moment ihten ja ik hebben hem vinden 
A: 	dit zijn Numero negen 
B: 	hij vallen aan de rechterkant 
A: 	ja 
B: 	op het ja deze zijn wel irritanen er kunnen aan de rechterkant één 
B: 	aan de linkerkant kunnen er 
A: 	aan de rechterkant kunnen er maar één bij jou 
B: 	ja 
A: 	nee dan staan die niet op dezelfde plek 
B: 	oké 
A: 	de de Mindcraftarmpje en dat raar armp 
B: 	ja 
B: 	dat worden B 
A: 	hij staan bij mij aan de rechterkant 
B: 	ja 
A: 	en dan kunnen er nog één aan de rechterkant bij 
B: 	bij mij niks bij mij staan die helemaal vast 
A: 	oké 
A: 	dan staan die niet op dezelfde plek 
B: 	het Minecraftarmp en het spasmearmpje 
A: 	dat zijn nummer vier 
B: 	link bovenin 
A: 	ja links bovenin 
B: 	er kunnen eigenlijk vrijwel niks veel het ja het hij staan een beetje lullig want er kunnen 
A: 	er zullen er nog wel één naast misschien klein kunnen 
B: 	nee ook niet 
B: 	bij mij zeggen maar twee vingerlengte en aan de ander kant drie vingerlengte 
A: 	echt 
A: 	nee dat hebben ik 
B: 	drie vingerlengte aan de linkerkant en twee aan de bovenkant 
B: 	dus echt heel lullig staat die er daar staan die daar 
A: 	nee dat hebben ik dus niet 
A: 	bij mij zijn er nog echt nog wel plek 
B: 	ja ? oké 
A: 	dus ik denken niet dat die op dezelfde plek staan 
