A: 	deze hebben een driehoek op zijn hoofd 
B: 	ja 
B: 	oké 
B: 	en zo'n gek ding aan de voorkant 
A: 	ja zo'n 
B: 	en een bolle eronder 
A: 	ja 
A: 	aan zijn voet of zo 
B: 	ja oké 
A: 	ja 
B: 	dan zijn het J 
A: 	bij mij zitten die helemaal onderaan 
A: 	maar niet helemaal rechts maar 
B: 	de twee van rechts ongeveer 
A: 	ja 
B: 	en helemaal onderaan 
A: 	ongeveer 
A: 	ja 
B: 	ja oké dan zijn het dezelfde 
A: 	denken het wel ja 
B: 	dit zijn weer die met die driehoek op zijn hoofd 
A: 	ja 
B: 	en dat toef hier zo en dat bolle aan de onderkant 
A: 	ja 
A: 	dat zijn zes 
B: 	hij zitten hij zijn de twee van onder 
B: 	en ook de twee van twee van rechts ongeveer 
A: 	ja hebben ik ook 
B: 	oké 
A: 	het zullen er net misschien om spannen of er nog één tussen past aan de rechterkant bij mij 
B: 	nee bij mij passen er niet één nog ertussen 
A: 	nee 
B: 	nee echt niet 
B: 	nee het 
A: 	jawel je bedoelen maar ik twijfel net of of die stel dat ik er één rechts zullen plaatsen of die dan die ander raken of niet 
A: 	dat weten ik niet 
A: 	het zijn veel een krapp ruimte aan de rechterkant dan dat ik denken van dat het heel ruim zijn 
B: 	ja oké ik denken als je er één echt recht naast zullen plaatsen dat het niet zullen passen denken ik 
A: 	oké nee 
A: 	dat worden net kielekieel maar ik denken dat het op dezelfde plaats staan 
B: 	oké 
A: 	denken je ook 
B: 	ja 
A: 	ja 
B: 	ik denken het ook 
A: 	ik hebben diegene met de driehoek op zijn hoofd 
B: 	ja en met het bolle aan de onderkant 
A: 	ja ja 
B: 	oké dat zijn E 
A: 	bij mij zitten die als je het midden hebben zitten die rechtst rechtsonder 
B: 	oké zullen hoeveel zullen er nog onder passen 
A: 	één 
A: 	misschien heel iets veel dan één 
B: 	ja dat hebben ik ook 
A: 	en aan de rechterkant ja hij gaan niet helemaal door naar de rechterkant maar ik denken dat die dat er wel drie of misschien wel veel nog zelfs ernaast 
B: 	en aan de zijkant 
B: 	drie 
B: 	aan de rechterkant 
A: 	ja 
B: 	dus hij zitten best wel tegen de middellijn aan 
A: 	ja hij zitten echt tegen de middellijn aan 
B: 	nee dan zijn het niet dezelfde plek 
A: 	nee 
A: 	oké 
B: 	oké ik hebben die met het driehoek op zijn hoofd 
A: 	ja 
A: 	ja oké 
B: 	en een bolle aan de onderkant 
A: 	ja 
A: 	zijn nummer tien 
B: 	en er hij zitten recht onder de Eiffeltoren iets veel naar rechts 
A: 	maar bij jou staan de Eiffeltoren wat veel naar rechts toch 
A: 	dan bij mij 
B: 	wachten 
A: 	volgens mij we hebben net niet dezelfde bij de Eiffeltoren 
B: 	oké 
A: 	bij mij zitten die rechts van het gaspedaal 
B: 	ja hij staan bij mij nee rechts van het gaspedaal 
A: 	ja 
B: 	nee bij mij staan die link van het gaspedaal 
B: 	en hij staan ook iets boven het gaspedaal 
A: 	nee bij mij helemaal beneden 
B: 	nee dan zijn het niet dezelfde plek 
A: 	nee 
A: 	oké ik hebben degeen met de driehoek op zijn hoofd die zitten bij mij links bovenin 
B: 	ja 
B: 	ja dat zijn G 
B: 	link bovenin 
A: 	helemaal links bovenin helemaal links 
B: 	helemaal links 
B: 	en er past misschien nog een half naast 
A: 	ja 
B: 	oké dan denken ik dezelfde plek 
A: 	oké 
B: 	ik hebben de driehoekhoofd 
A: 	ja 
A: 	ja 
A: 	oké dat zijn nummer tien 
B: 	hij zitten echt onder de middellijn en dan past er aan de rechterkant nog iets veel dan één naast denken ik 
A: 	wij hebben deze hebben we hetzelfde 
B: 	ja 
A: 	hij zitten bij mij echt ernaast 
A: 	ja niet helemaal ernaast 
B: 	nee ik denken dat er nog wel één centimeter tussen zitten 
A: 	want het ei 
A: 	ja 
A: 	maar als je het ei weghaalen zeggen maar dan zitten die wel een beetje rond dezelfde hoogte 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	oké ik denken wel dat ja ik hebben ook een centimeter tussen 
B: 	oké 
A: 	zelfde plek 
