A: 	ok 
A: 	ok deze hebben twee uitstekel zo een soort van ja balk en dan zitten er aan allebei de kant een rond 
A: 	op en aan de achterkant hebben hij zo'n vierkant plateauding 
B: 	o ja 
B: 	o ja dan weten ik wel wat het zijn tenminste een beetje zo'n van honkbal een beetje achtig maar dan iets ja een beetje met fantasie ja 
A: 	ja alles met fantasie hier maar ja ja ik ik denken het wel ja 
B: 	ja 
B: 	ok 
B: 	ja dat zijn bij mij K 
A: 	bij mij tien 
B: 	ok 
A: 	bij mij zijn het de veel linker bovenin de hoek 
B: 	okan ja dat dat hebben ik ook maar zitten er bij jou ook nog één onder 
A: 	bij mij zitten er één onder en dan twee er onder beetje zo verspreiden 
B: 	ja dan hebben ik denken ik op dezelfde plek dat hij staan 
A: 	okan ja 
B: 	dit zijn die die wat mij een beetje doen denken aan een honkbal met fantasie en dus die twee rond met daar omheen weer een rond 
A: 	ja 
B: 	en dat dinge er achter 
A: 	ja aan de achterkant dat gewoon even voor de zekerheid dat rechthoekig of vierkant plateau ding met nog een dinge er aan ja bij mij zijn dat negen 
B: 	ja 
B: 	ja ja 
B: 	ja 
B: 	bij mij B 
A: 	ok 
B: 	en hij staan een beetje rechts rechts daarnaast zitten niks veel maar er zullen nog iets kunnen staan 
B: 	en beetje link er boven zitten nog iets en een beetje link er onder zitten ook nog wat dus ja 
A: 	ja 
A: 	en links ervan zitten ook niks 
B: 	nee nee 
A: 	nee 
A: 	soort van rij naar onder 
B: 	ja ja 
A: 	ja ja ja dan staan hij op dezelfde plek 
A: 	ok dit zijn die honkballer 
B: 	even kijken waar die staan o hier ja F bij mij 
A: 	zeven 
B: 	ok 
B: 	o dan moeten ik klikken 
A: 	ja 
A: 	hij staan redelijk links maar het zijn niet de veel links en zeggen maar links en rechts ervan 
A: 	zitten er iets en boven en schuinbof ook alleen zeggen maar links schuin boven staan niks en er onder ook niet 
B: 	o dan zijn het denken ik niet dezelfde want mijn zitten best wel omringen met allemaal ding 
A: 	ook aan de onderkant 
B: 	ja en zeggen maar hij staan net iets zeggen maar van de linkerkant van het midden dus niet heel ver links of zo 
A: 	dan denken ik niet dat dezelfde zeggen maar past er aan de onderkant past er nog één tussen 
B: 	nee 
B: 	ja ja tenminste er staan nog twee poppet onder 
A: 	ja maar wel best wel met ruimte toch 
A: 	of niet 
A: 	zeggen maar passen tussen het poppe er onder en die we nu omschrijven past er nog een icoont tussen of niet 
B: 	denken het net niet 
B: 	maar hij staan zeggen maar links ervan staan nog wel twee icoont 
A: 	hoe links ervan 
B: 	ja zeggen maar een beetje zo schuin schuin links maar wel zeggen maar als je hem omhoog doen past hij er ook bij en daarnaast staan nog één 
B: 	dus ik denken niet dat hij op dezelfde plek staan 
A: 	ik 
A: 	ja ik denken echt bijna maar niet helemaal of zo 
B: 	ja inderdaad ja dat denken ik ook dus dan rood denken ik toch 
A: 	ja ja 
B: 	ok 
B: 	dit zijn een beetje die honkbal met dat dinge en die vierkan er achter een beetje ja 
A: 	ja 
A: 	ja dat zijn drie 
B: 	ok K 
B: 	en hij zitten zeggen maar op de onderste rij en dan links ervan zitten nog iets en daar links van zitten niks ok 
A: 	o nee 
A: 	bij mij zitten link ervan nog niks veel dus ok 
B: 	o ok 
A: 	dit zijn de honkballer 
B: 	even kijken waar die zijn o hier L 
A: 	ja veertien 
A: 	hij zitten weer redelijk in het midden van het midden 
B: 	o dan zijn het echt totaal ergens ander 
A: 	o ok 
B: 	denken ik tenminste deze zitten echt gewoon rechts onderin ja 
A: 	o nee 
A: 	ok 
B: 	dit zijn de honkbal ding 
A: 	even zoeken waar die staan ik moeten even wennen als het opeens een nieuw scherm zijn zeggen maar 
B: 	ja inderdaad dat zijn weer even helemaal opnieuw oriënteren 
A: 	ja ja ik zien hem zijn vijf bij mij 
B: 	ok 
B: 	hij zijn wel zo zeggen maar redelijk in het midden en dan redelijk onderaan er zullen nog één tussen passen maar geen twee 
A: 	ja Same 
