B: 	deze hebben aan de linkerkant twee van die kubus die steeds groot worden 
B: 	en aan de voorkant een vierkant schijf of ja geen schijf dan maar 
A: 	ja 
A: 	ja 
B: 	en aan de bovenkant een soort 
A: 	paddenstoel of zo 
B: 	ja 
B: 	ja vinden ik een goed omschrijving 
A: 	ja 
A: 	nummer twee zijn dat 
A: 	en die staan bij mij helemaal links 
A: 	net iets onder het midden van boven naar beneden zeggen maar 
A: 	kunnen denken ik nog wel twee onder 
B: 	bij mij passen er geen onder 
A: 	dan zijn het niet dezelfde 
A: 	ik hebben nu links twee keer die uitdijen kubus zeggen maar en bovenop die zeggen maar paddenstoel 
A: 	en vooraan die dat vierkant ertegenaan plakken 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	en hij staan beetje in het midden of een heel klein beetje naar links 
A: 	ja 
A: 	en een heel klein beetje naar onder 
B: 	ja 
B: 	wel ja wel duidelijk onder het midden 
B: 	of ja er past er wel misschien wel bijna twee onder 
A: 	ja 
B: 	hij staat niet op de middellijn maar net eronder 
A: 	ja 
A: 	en maken die zeggen maar deel uit van een soort van vierkant van die figuur in het midden 
B: 	ja 
A: 	ja en dan zijn het dus inderdaad linksonder 
B: 	ja 
A: 	ja 
B: 	oké 
A: 	oké 
A: 	ja 
B: 	deze zijn met de paddenstoel bovenop 
B: 	en de twee vierkant ding aan de linkerkant 
A: 	ja ik hebben hem 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	en die staan bij mij best wel tegen het midden aan 
A: 	en ongeveer op een kwart van boven naar beneden staan die naar onder zeggen maar een kwart van de onderkant ongeveer 
B: 	ja 
B: 	en dan net links van het midden ja 
A: 	ja en er staan er één recht onder bij mij 
B: 	ja 
B: 	bij mij ook 
A: 	oké 
A: 	dan doen ik geel 
A: 	deze hebben aan de linkerkant die twee uitdijen kubus en bovenop dat paddenstoel en vooraan dat geplakken vierkant 
B: 	ja 
B: 	dat zijn bij mij d 
B: 	hij staat bijna in het midden 
A: 	ja hij staan heel iets veel naar boven en heel iets veel naar link denken ik maar dat zijn maar iets klein 
B: 	ja 
A: 	ja 
B: 	ja 
B: 	dit zijn met die uitdijen kubus aan de linkerkant twee keer en de paddenstoel bovenop 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer één 
A: 	en die staan ongeveer op driekwart van links 
A: 	en ongeveer op twee drie of zo van de onderkant af 
B: 	nee de mijn staan bijna in het midden 
B: 	staan er zo drie in het midden en daarvan zijn het de rechts 
A: 	ja 
A: 	nee dat zijn niet hetzelfde 
A: 	ja 
B: 	nee 
A: 	dit zijn die een met links die twee uitdijen kubus en bovenop dat paddenstoel 
B: 	ja 
B: 	dat zijn bij mij B 
B: 	en hij staan best wel onderaan 
B: 	een beetje rechts van het midden 
A: 	ja 
A: 	er staan zeggen maar dichtbij staan Linksboven bij mij zijn dat die zoutpot ik weten niet of dat bij jou ook zo zijn 
B: 	ja 
B: 	bij mij ook 
A: 	ja oké 
