Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	bij mij zitten die	50	A	10, 59
2	4	dat zijn nummer elf	4	A	118, 121
2	4	en dan ook nog	14	A	6, 19
2	4	hebben ik ook wel	39	A	87, 125
3	3	bij mij zitten	50	A	10, 19, 59
3	3	dat zijn nummer	34	A	118, 121, 151
3	3	hebben ik ook	82	A	44, 87, 125
2	3	bij mij ook	29	A	108, 136
2	3	dat hebben ik	48	A	78, 125
2	3	half denken ik	12	A	131, 142
2	3	ik denken dat	89	A	45, 133
2	3	nee bij mij	137	A	19, 155
2	3	twee van die	23	A	6, 28
2	3	van die veger	18	A	76, 93
8	2	bij mij	146	A	10, 12, 19, 59, 108, 126, 136, 155
6	2	van die	88	A	6, 28, 37, 76, 87, 93
5	2	hebben ik	82	A	44, 67, 78, 87, 125
4	2	dat zijn	112	A	40, 118, 121, 151
4	2	denken ik	84	A	59, 108, 131, 142
4	2	die veger	24	A	76, 87, 93, 99
4	2	met die	89	A	50, 51, 81, 138
4	2	zeggen maar	113	A	19, 67, 87, 131
3	2	die blok	102	A	37, 51, 138
3	2	en dan	32	A	6, 19, 37
3	2	hebben die	136	A	3, 52, 138
3	2	het zijn	17	A	3, 12, 19
3	2	nee bij	137	A	19, 99, 155
3	2	ook wel	39	A	87, 108, 125
3	2	zitten die	64	A	10, 59, 73
3	2	zitten er	61	A	19, 37, 79
2	2	als je	27	A	105, 131
2	2	dat er	27	A	19, 45
2	2	die die	23	A	51, 73
2	2	die er	15	A	37, 51
2	2	die ruit	87	A	52, 138
2	2	een half	133	A	10, 142
2	2	en links	10	A	134, 143
2	2	er ook	82	A	37, 118
2	2	er zitten	43	A	37, 79
2	2	het midden	4	A	42, 45
2	2	hij zitten	50	A	92, 141
2	2	ik hebben	89	A	50, 138
2	2	ik zeggen	116	A	16, 131
2	2	ja dat	12	A	125, 136
2	2	ja die	50	A	87, 136
2	2	ja ja	16	A	102, 117
2	2	met met	116	A	3, 118
2	2	niet helemaal	34	A	59, 92
2	2	nog een	124	A	19, 142
2	2	of één	46	A	19, 64
2	2	tegen die	6	A	87, 92
2	2	weer dat	53	A	0, 52
2	2	weer die	2	A	50, 51
2	2	wel echt	45	A	87, 131
2	2	zo'n zo'n	116	A	3, 118
2	2	één tussen	35	A	45, 79
32	1	ja	124	A	27, 35, 36, 39, 42, 44, 48, 55, 56, 57, 79, 81, 84, 87, 90, 102, 105, 107, 110, 112, 114, 116, 117, 120, 125, 128, 130, 131, 136, 137, 143, 150
21	1	die	136	A	3, 6, 10, 27, 28, 37, 50, 51, 52, 59, 73, 76, 81, 87, 92, 93, 97, 99, 126, 136, 138
18	1	dat	152	A	0, 19, 22, 27, 28, 40, 45, 52, 69, 78, 87, 92, 118, 121, 125, 133, 136, 151
16	1	ik	127	A	16, 44, 45, 50, 59, 67, 69, 78, 87, 108, 116, 125, 131, 133, 138, 142
13	1	hebben	139	A	0, 3, 37, 44, 50, 52, 67, 69, 73, 78, 87, 125, 138
13	1	zijn	149	A	3, 12, 19, 40, 50, 67, 97, 116, 118, 121, 126, 133, 151
12	1	er	155	A	1, 19, 37, 45, 51, 59, 62, 79, 108, 118, 143, 155
12	1	van	129	A	6, 10, 19, 28, 37, 42, 62, 76, 87, 92, 93, 134
11	1	en	143	A	1, 3, 6, 10, 19, 27, 37, 52, 62, 134, 143
11	1	het	139	A	3, 12, 19, 42, 45, 67, 105, 116, 128, 133, 141
11	1	ook	134	A	3, 6, 19, 37, 44, 69, 87, 108, 118, 125, 136
11	1	zitten	132	A	10, 19, 37, 59, 73, 79, 87, 92, 116, 136, 141
9	1	nee	142	A	16, 19, 24, 75, 78, 99, 147, 155, 157
9	1	wel	129	A	3, 22, 79, 87, 103, 108, 125, 128, 131
8	1	met	136	A	3, 28, 50, 51, 61, 81, 118, 138
8	1	niet	113	A	19, 59, 69, 73, 78, 92, 99, 131
7	1	een	140	A	3, 10, 12, 19, 67, 131, 142
7	1	oké	152	A	0, 25, 39, 49, 102, 133, 151
6	1	dan	103	A	6, 19, 22, 37, 97, 108
6	1	maar	113	A	19, 67, 79, 87, 92, 131
6	1	twee	138	A	6, 10, 19, 28, 108, 143
6	1	zeggen	120	A	12, 16, 19, 67, 87, 131
5	1	links	87	A	67, 73, 134, 143, 153
5	1	nog	150	A	6, 19, 142, 143, 155
5	1	of	71	A	19, 27, 64, 69, 89
5	1	weer	119	A	0, 50, 51, 52, 118
5	1	één	61	A	19, 45, 59, 64, 79
4	1	aan	80	A	37, 87, 92, 116
4	1	de	99	A	28, 62, 89, 126
4	1	echt	113	A	19, 87, 126, 131
4	1	veel	140	A	16, 22, 131, 155
3	1	al	48	A	79, 87, 126
3	1	boven	97	A	3, 59, 99
3	1	heel	87	A	19, 67, 105
3	1	helemaal	95	A	59, 92, 153
3	1	hij	105	A	37, 92, 141
3	1	iets	134	A	1, 22, 134
3	1	in	90	A	52, 89, 141
3	1	je	132	A	0, 105, 131
3	1	kunnen	78	A	59, 62, 136
3	1	misschien	43	A	61, 62, 103
3	1	past	98	A	45, 128, 142
3	1	ruit	136	A	3, 52, 138
3	1	te	56	A	76, 87, 131
3	1	tussen	61	A	19, 45, 79
3	1	zo	78	A	2, 51, 79
3	1	zo'n	116	A	3, 37, 118
3	1	zullen	93	A	16, 97, 108
2	1	bovenin	15	A	59, 73
2	1	ding	27	A	92, 118
2	1	eronder	142	A	1, 142
2	1	hoe	4	A	73, 76
2	1	jij	5	A	69, 73
2	1	lastig	56	A	12, 67
2	1	naast	94	A	62, 155
2	1	op	23	A	28, 50
2	1	passen	48	A	108, 155
2	1	stuk	49	A	19, 67
2	1	uit	131	A	1, 131

