B: 	oké nou hebben jij 
A: 	nu hebben ik oeh 
A: 	oké het lijken op een ja ik het hebben beschrijven als een een een een clown zeggen maar toeter weten je 
A: 	aan aan de zijkant van zo'n oor zeggen maar 
B: 	ja ja ja 
B: 	en zijn aan de ander hebben die aan de bovenkant twee dinget 
B: 	bovenop 
A: 	ik hebben er één 
B: 	oké even kijken 
B: 	ja wachten zo'n toeter ja 
B: 	het zijn het zijn zeggen maar zo'n bol met zo'n staaf erdoorheen 
A: 	hij lijken op een 
A: 	ja 
B: 	en dan zo'n cirkel eraan 
A: 	kloppen 
B: 	oké 
A: 	alles link 
B: 	F 
B: 	bij mij staan die zeggen maar ja in in deze hoek van het scherm 
A: 	van jou 
B: 	ja dus dan staan die bij jou in die 
A: 	maar 
A: 	maar maar helemaal helemaal aan de rand of een beetje 
B: 	een beetje naar het midden toe 
A: 	oké van mij ook 
B: 	oké 
B: 	nu hebben ik weer die die toeter zeggen maar en dan bovenop 
A: 	jou beurt 
A: 	zo'n appel 
B: 	ja 
A: 	oké 
A: 	vijf 
A: 	beschrijven zijn wel lastig weten j 
A: 	van mij zijn dan zijn gewoon dat middellijn trekken 
B: 	ja 
A: 	en dan hebben je er vier object zeggen maar en dan het veel ja maar het het horen er niet bij maar dan het schuin boven weten je wel zijn er dan 
B: 	ja 
B: 	ja 
B: 	ik hebben zeggen maar die die vier dinget zo 
A: 	ja 
B: 	dan maar bij mij staan er hier één en hier één 
B: 	dan zijn het die daaronder 
A: 	nee kijken van mij zijn boven dan 
B: 	oké dan kloppen het niet 
A: 	wachten 
A: 	die clowntoeter en dan zo'n blad 
A: 	zo'n Pokemonblad weten je toentertijd 
B: 	ja 
B: 	A 
A: 	rechts beneden zeggen maar soort van 
B: 	nee niet rechts beneden 
A: 	nee 
B: 	die met die toeter weer en die dat blaad 
A: 	nummer vijf 
A: 	gewoon de de koptelefoon en dan werkelijk aan de ander kant van het scherm 
B: 	nee bij mij niet 
A: 	nee 
A: 	oké dan mogen ik drukken 
B: 	nee 
A: 	de toeter met dat appelblad zeggen maar 
B: 	ja 
B: 	H 
B: 	boven het logoo 
A: 	ja van mij ook 
B: 	die toeter en die de appelblaadje 
A: 	vijftien 
B: 	van de driehoek bovenin en dan de linkerkant 
A: 	oké van mij niet 
A: 	ach zijn het dan hebben wij die trofee op diezelfde plek 
A: 	dat kunnen ik me niet veel herinneren 
B: 	nee bij mij staan die nu ergens ander 
B: 	of niet 
A: 	als je zeggen maar jij zeggen links beneden toch 
B: 	nee je hebben de driehoek zeggen maar rechtsboven in dat scherm 
A: 	ja 
A: 	dus de de veel drie daarboven 
B: 	ja de die zeggen maar ja 
A: 	ja 
B: 	en dan hebben ik bovenaan die met de AK 
A: 	ja 
B: 	en dan linksonder daarvan zijn die we nu hebben 
A: 	oké ja 
B: 	met die toeter 
