B: 	oké nou nu zijn het die trofee 
A: 	leuk 
B: 	dat zijn best wel makkelijk ja 
A: 	ja dat die die zijn wel duidelijk 
B: 	met dat draaien poo 
A: 	oké ja precies 
A: 	dat zijn dan nummer vier bij mij 
A: 	oké 
B: 	en die staan bij mij even kijken rechts bovenin 
A: 	ja 
B: 	niet helemaal in de hoek maar net een stuk daarvan af 
B: 	en er staan niks veel boven en niks veel rechts van tot het eind van het scherm 
B: 	hij bekendstaan eigenlijk wel in de hoek 
A: 	nou bij mij echt wel zeg maar 
A: 	hij zitten echt wel een stuk veel naar 
A: 	nee oké dus dan zijn het rood 
B: 	ja 
A: 	dit zijn de trofee 
B: 	oké 
B: 	A 
B: 	en die ja waar staan die bij jou 
A: 	hij staan links onderin maar hij overschrijden eigenlijk wel de middellijn zeggen maar 
B: 	oké 
A: 	de de de horizontaal lijn 
B: 	nou bij mij staan die links zo net boven het midden zeggen maar horizontaal 
B: 	dus echt wel met zijn bekert zeggen maar erop 
B: 	eroverheen 
B: 	boven de middellijn 
A: 	nou bij mij zullen ik dat eigenlijk 
B: 	nou ja 
A: 	nee nee hij hij hij kruisen halverwege het beker bij mij zeggen maar 
B: 	oké 
B: 	nee dan staan die denken ik wel ergens ander 
A: 	oké 
B: 	oké dit zijn die trofee 
A: 	ja 
A: 	nummer tien 
B: 	en die staan bij mij linksonder 
A: 	ja 
B: 	en dan ongeveer als je verticaal kijken ongeveer ja raken die ook het midden als je daar weer een middellijn zullen trekken zeggen maar 
A: 	nee hij raken bij mij echt niet het midden 
B: 	oké 
B: 	nee 
A: 	daar hebben ik mijn picknick staan 
B: 	nee 
A: 	dus dat zijn dan rood 
B: 	nou die zijn dan ja 
B: 	ja 
A: 	de trofee 
B: 	dat zijn bij mij L 
A: 	en dan staan die bij mij helemaal rechtsboven eigenlijk er kunnen nog wel een half naast en een half erbof 
B: 	ja 
B: 	maar er zitten er zitten niks veel naast 
A: 	nee 
B: 	nee 
B: 	nu hebben ik die trofee 
A: 	ah die moeten we nog ja nummer vier 
B: 	ja 
B: 	en die staan bij mij nou net iets link van het midden 
A: 	ja 
B: 	verticaal 
A: 	ja 
B: 	en de middellijn ja ik denken dat die hem aan de bovenkant raken net 
A: 	net 
B: 	scheren zo 
A: 	ja 
A: 	dan zijn die hetzelfde 
B: 	ja ik denken het wel 
A: 	hij staan zeggen maar wel linksonder dus 
B: 	ja een soort van linksonder in het hoek van 
A: 	ja 
A: 	zijn goed 
A: 	de trofee 
B: 	dat zijn bij mij F 
A: 	die staan bij mij rechtsboven de vogel eigenlijk 
A: 	dus hij staan nog wel net in het rechtsbovenvak 
B: 	nee denken het niet 
B: 	nee 
B: 	bij mij staan die zo als zeggen maar hier de vogel zijn staan die een beetje zo hier 
A: 	hij staat wel net rechts 
A: 	staan die juist link van de vogel 
B: 	ja 
B: 	dus ik denken niet dat dat hetzelfde zijn 
A: 	nee want hij staan bij mij zeggen maar rechts van het midden 
B: 	nee 
A: 	oké nee 
B: 	nee 
