A: 	ok deze hebben zo'n soort joystick achtig ding bovenop zitten 
A: 	zo'n beetje zo'n ovaal met een soort dat telescoopachtig ding met die klein blok die steeds groot worden beetje rechts vooraan 
B: 	ja 
A: 	en dan links vooraan weer zo'n joystick die naar buiten opsteken en aan de achterkant zo'n soort worm staaf 
A: 	ja ik hem de heel tijd tijdens die ander test noemen alsof hij zo'n soort telescoopoog hebben omdat hij aan de voorkant zo'n 
A: 	telescoopding hebben je hebben hebben dat plaat met die die een beetje op zo'n robot lijken die hebben twee van die ding als een soort oog en deze 
B: 	ja 
B: 	die denken ik eerst 
A: 	ja precies maar deze hebben er één 
B: 	o die 
B: 	die hebben er één ja en dan hebben hij bovenop één staaf en zo'n zelfde staaf links en dan achter zo zo'n gek ding 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja ja zo'n gek aanhangsel ja 
B: 	ok dat zijn dan 
A: 	dus het zijn die met die met dat een een telescoop ding ja 
B: 	ja 
B: 	dat zijn dan E 
A: 	ok 
A: 	en hij zitten ja eigenlijk aan de rechterkant en dan 
A: 	op het midden tussen boven en onder dus niet dat hij duidelijk in een 
B: 	ok bij mij zitten hij dus wel duidelijk in het rechtsboven vak 
A: 	okan ja nee hier zitten hij weer echt op de lijn ik weten niet of die microfoonhouder zeggen maar 
A: 	op dezelfde hoogte zitten bij ons maar hij zitten precies op die lijn van mijn microfoonhouder die dat rooi ding 
B: 	nee bij mij zitten hij hoog 
A: 	ok dus dan zitten hij 
B: 	dus dan zijn het rood 
A: 	ja dan zitten hij niet op dezelfde plek 
B: 	dit zijn met die telescoop met één ding 
B: 	en dan dus ook aan de bovenkant weer zo'n spriet en aan ander kant zo'n zelfde spriet en de achterkant dat wormp 
A: 	ja en dat wormp aan de achterkant ja dat zijn elf 
B: 	en hij zitten 
B: 	link boven maar wel echt op de grens dus hij zitten ook wel weer rechts onder 
A: 	onder ja ja ? ja bij mij staan hij eigenlijk 
A: 	zeggen maar ja precies in de in de hoek van links dat groot linksboven vlak 
B: 	ja groot linksboven en dan klein rechtsonder 
A: 	ja en dan helemaal tegen de middellijn aan zo'n beetje 
B: 	ja hij zullen misschien nog zelfs iets overschrijden maar 
A: 	ja ja precies dus dan zitten hij op dezelfde plek 
A: 	ja dit zijn die met die een telescoop en één zo'n joystick 
A: 	er bovenuit en dan één link en dat raar wormp erachter ja 
B: 	en een wormp 
B: 	ja dat zijn voor mij J 
A: 	en hij liggen ja rechts 
A: 	boven ? en dan linksonder maar echt op de middenlijn of door de middenlijn heen ja 
B: 	ja bij mij ook en dan daarboven passen nog één 
A: 	ja anderhalf 
A: 	denken ik als je echt zullen als je echt zullen proppen dan toepassen er misschien wel twee 
A: 	hij zeggen maar hij gaan bij mij door de middellijn heen van de groot vlak de horizontaal lijn 
B: 	de horizontaal nee bij mij liggen hij wel iets hoog want er oppasen echt nog maar één boven 
A: 	ok 
A: 	ja nee bij mij passen er wel echt wel veel dan één 
B: 	okan dan zijn het rood 
B: 	dit zijn met één telescoop en die twee joystick en één sliertje wormp 
A: 	ja ja dat zijn nummer negen 
B: 	en hij liggen rechts onder in het vak 
A: 	ja die van mij liggen rechtsboven van de groot vak 
B: 	ok 
A: 	ja die van mij liggen wel op of net boven de de horizontaal middenlijn 
B: 	ja bij mij liggen dat duidelijk rechtsonder 
A: 	ok 
A: 	dit zijn met die een telescoop en die twee penne bovenop aan de zijkant en die dat wormding aan de achterkant 
B: 	die een telescoop 
B: 	dat zijn voor mij B 
A: 	en hij liggen rechtsonder en hij zullen nog één keer naast zichzelf rechts passen en één keer onder zich 
B: 	bij mij passen er echt niks 
A: 	ok 
B: 	dit zijn met één telescoop die twee joystick en een slier wormp 
A: 	dat zijn vier 
B: 	en hij liggen Linksboven en dan ook weer linksboven maar er zijn nog wel ruimte 
B: 	boven hem maar niet voor een echt plaat en link ook net niet 
A: 	nee en dan in de hoek daarvan de Linkerhoek zullen in principe wel nog net een plaat kunnen 
B: 	ja net niet 
A: 	ja net wel net niet ja maar dan zitten hij op dezelfde plek 
B: 	ok 
