A: 	ja dit zijn die figuur met dan hebben je die emmer dan zitten er zo'n arm aan 
A: 	en op die arm zitten weer zo'n toeter 
B: 	ja 
B: 	en aan de ander kant dat plateau 
A: 	ja zo'n plateau ja 
B: 	zo'n rond ding 
B: 	dat zijn L 
A: 	en die zitten bij mij op de onderste rij 
A: 	aan de linkerkant 
A: 	ja niet strak in de hoek maar er zitten ver niks veel naast of zo 
B: 	oké er zitten bij mij niks veel maar hij zitten niet helemaal op de onderste rij want er staan vanuit die dat ding zien zitten er rechtsond zitten er nog iets 
A: 	nee nee nee bij mij zitten die echt onder onder 
B: 	dan zijn het op een ander plek 
A: 	ja 
B: 	dit zijn met die arm en dan daar komen weer zo'n toeter uit 
A: 	die met die toeter eruit 
A: 	dat zijn zeven 
B: 	en die staan eigenlijk op de bovenste rij maar niet helemaal bovenaan het scherm 
B: 	maar wel bovenste rij 
B: 	en dan net links van het midden 
A: 	er staan zeggen maar in verhouding niks boven bij jou 
B: 	er staan niks veel dat kloppen 
B: 	en daar staan ook niks veel recht recht naast aan de linkerkant 
A: 	op die heel 
A: 	nee dan staan die niet op dezelfde plek 
B: 	maar 
B: 	nee 
A: 	ja dit zijn die met die arm en die toeter erop 
B: 	ja C 
A: 	en die zitten bij mij ja die middel lijn zeggen maar en dan net net echt net ernaast of zo 
B: 	aan de rechterkant 
A: 	aan de rechterkant 
B: 	oké voor mij ook en dan in de onderste in de onderste helft 
A: 	net iets 
A: 	nee bovenste helft 
B: 	nee dan hebben ik hem op een ander plek 
B: 	dit zijn de arm met de toeter 
A: 	de arm met de toeter 
A: 	één 
A: 	één zijn het 
A: 	voor de duidelijkheid 
B: 	yes 
B: 	en die staan helemaal aan de linkerkant 
B: 	net iets onder de horizontaal lijn 
A: 	helemaal aan de linkerkant 
B: 	net iets onder de horizontaal lijn 
A: 	ja ja dat hebben ik ook 
A: 	dit zijn die arm met die toeter erop 
B: 	ja A 
A: 	en die zitten bij mij ja op de horizontaal lijn denken ik 
B: 	ja 
A: 	en de linkerkant ja zo'n stuk van de zijkant zo 
B: 	ja 
A: 	ja 
B: 	zelfde plek 
A: 	oké 
A: 	ja 
B: 	dit zijn de toeter 
A: 	die toeter 
A: 	dertien 
B: 	die zitten niet links niet helemaal linksonder maar 
A: 	bij mij zitten die echt in het midden link zo'n stuk van de zijkant zo 
B: 	zo'n stuk van de zijkant 
A: 	nee nee nee 
B: 	nou dat kunnen het niet zijn 
A: 	nee 
