B: 	deze hebben zeggen maar een driehoek er onder en er zitten zeggen maar een staaf aan en die zijn draaien 
A: 	ja vier 
B: 	dat zijn dan twee 
B: 	ja ok 
B: 	hij staan helemaal rechtsboven 
A: 	nee bij mij staan hij rechts maar dan op de twee rij 
B: 	ok nee dat zijn sowieso niet hetzelfde 
A: 	deze hebben twee blok van ja vierkant blok er op 
A: 	die zegmaar er half opliggen half er af en dan dus weer met dat draaien ding op een driehoek ja 
B: 	driehoek ja zijn A 
A: 	beetje in het midden van link 
B: 	ja 
A: 	en er onder heel heel snel er onder zitten een figuur 
A: 	en als je helemaal naar links gaan in het scherm zitten er ook nog een figuur en er boven 
B: 	die die zijn het bij mij dus dan zijn het dus niet dezelfde bij mij zitten er zegmaar niks link langs 
A: 	o ok nee dan zijn het niet hetzelfde 
B: 	die draaien driehoek onderin 
B: 	een blok vallen er bijna af bovenaan 
A: 	tien 
A: 	drie figuurtje van de twee rij dus helemaal onderin zegmaar 
B: 	ja twee rij onderin 
A: 	ja 
B: 	ja zijn hetzelfde 
A: 	dat driehoek met dat draaien staaf en dan die twee blok er op 
B: 	L 
A: 	helemaal rechts de één rij 
B: 	vijf dus 
A: 	ja 
B: 	ja 
B: 	met die draaien driehoek aan de onderkant blok wat er boven bijna af vallen 
A: 	vier 
A: 	één twee drie rij en dan de drie 
B: 	ja 
B: 	ik willen elk keer drukken 
A: 	dat driehoek met een schuin blok er op en dan die blok die er af vallen 
B: 	F 
B: 	drie rij de één 
A: 	één twee drie nee bij mij de vier rij middel 
B: 	ok 
