B: 	deze hebben een neusvormig neus 
A: 	een neusvormig neus aan de linkerkant 
B: 	aan de linkerkant 
B: 	ja 
A: 	met zo'n raar vulkaanding op zijn hoofd 
A: 	en dan twee van die uitsteeksel 
B: 	geen vulkaanding 
B: 	een balk op zijn hoofd 
A: 	die een beetje uitzien als een onderzeeër dat ding met zo'n 
B: 	ja niet niet die met die driehoek op zijn hoofd maar die 
A: 	nee met zo'n echt zo'n balk en daarnaast een soort van omgekeerd hamer of zo aan de zijkant plakken 
B: 	ja 
A: 	oké 
B: 	ja dat zijn hem 
A: 	dat zijn nummer acht 
B: 	oké hij bekendstaan eigenlijk helemaal in het midden maar iets veel naar links en iets veel naar boven 
A: 	ja die hebben ik ook 
B: 	oké 
A: 	dit zijn die een met die neus met die balk op zijn hoofd 
B: 	de neus met de balk op zijn hoofd ja E 
A: 	en die staan ja een beetje naar rechts beetje naar onder dus dan echt ongeveer zo onder het midden 
B: 	ja 
B: 	staan bij mij een beetje rechts een beetje naar boven 
A: 	nee bij mij onder bij mij 
B: 	dit zijn met de neus en bak boven op zijn hoofd 
B: 	en omgekeerde hamer 
A: 	even zoeken 
A: 	ja met die balk ja dat zijn één 
B: 	hij staan in het midden en helemaal naar boven 
A: 	ja bij mij ook wel ja 
A: 	dit zijn het gezicht met die balk erop 
A: 	op zijn hoofd 
B: 	ja 
B: 	E 
A: 	en dan staan die in het midden van link 
B: 	beetje naar beneden 
A: 	en net iets beneden ja 
B: 	ja 
B: 	de neus met de balk op zijn hoofd 
A: 	ja even zoeken 
B: 	en de omgekeerde hamer 
A: 	waar staan die 
A: 	ja nummer zestien 
B: 	bij mij staan die helemaal onderaan past er geen veel onder 
B: 	en in het midden van rechts 
A: 	ja ik ook 
A: 	ja 
A: 	hebben je een neus met de balk 
B: 	oké 
B: 	O 
A: 	en ik hem links 
A: 	eronder past er niks veel 
B: 	ja 
A: 	en er link van twijfelgeval net niet denken ik 
B: 	ja ja 
B: 	bij mij ook 
