B: 	oké deze zijn een soort van ik zien het een beetje als gezich en zo'n komme en er zitten een ei voorop plakken weten je nog dat we die een hebben met die door die neus heen 
B: 	weten je nog dat we die hebben 
A: 	die Pinokkio 
B: 	ja 
A: 	ja 
B: 	nee dat we die een hebben waar die door die 
A: 	ja die neuspiercing 
B: 	ja 
A: 	ja 
B: 	dus dezelfde soort vorm als neus zeggen maar en dan voorop hoog 
A: 	ja 
B: 	en dan aan de zijkant één balk en boven ongeveer twee twee soort van verschillend balk 
A: 	ja twee ja 
A: 	ja 
A: 	dan weten ik welk je bedoelen dat zijn bij mij veertien 
B: 	hij staan als je het midden hebben aan de rechterkant en dan niet helemaal onderaan maar net iets naar boven 
B: 	aan dus als je zeggen maar het midden hebben 
B: 	en dan linksonder bijna het midden 
A: 	staan die link van het midden 
B: 	nee je hebben zeggen maar de hij staan sowieso aan de rechterkant 
A: 	ja 
B: 	dus als je het midden hebben staan die bij die grens 
A: 	ja 
B: 	en daar staan die zeggen maar tegenaan 
B: 	en dan onder niet helemaal onder niet de onderste rij maar één daarboven 
A: 	ja 
A: 	ja daar staan er bij mij nog één naast en die staan net iets laag 
A: 	ja bij mij zijn het vier vinger wat die hoog staan 
B: 	ja hier ook wel 
A: 	ja 
B: 	ja 
A: 	oké 
B: 	dus er kunnen er zeggen maar nog één onder 
A: 	ja 
A: 	inderdaad 
B: 	ja dus dan staan die zeggen maar net boven de onderste rij 
A: 	ja 
B: 	aan wel aan de rechterkant van het 
A: 	ja 
A: 	en dan net iets rechts van het midden ook 
B: 	oké 
B: 	ja 
A: 	oké dan gaan we voor dezelfde positie 
A: 	dit zijn dat gezicht met die die rond neus 
A: 	die twee tentakel bovenop één rechthoekig en de ander ja 
A: 	beetje veelvormig zo'n kegel met een rond eigenlijk 
A: 	en dan nog naar de zijkant een driehoekig uitsteeksel 
B: 	dat zijn N 
A: 	en die staan links van het midden 
A: 	kunnen er eigenlijk geen veel tussen 
A: 	en dan staan die net iets boven het midden in de lengte 
B: 	dus als je het midden hebben 
B: 	dan staan die hier ongeveer in het midden 
A: 	nee wel echt helemaal tegen de zijkant van het scherm aan 
B: 	helemaal tegen de 
B: 	nee dat zijn deze niet 
B: 	dit zijn ja die pot met die ei voorop 
B: 	en dan die kegel boven en het recht rechthoek boven en aan de zijkant zeggen maar zo'n schuin armp 
A: 	ja zo'n 
A: 	ja zo'n driehoek nog 
B: 	ja 
A: 	ja 
A: 	ja deze hebben ik als clown noemen 
B: 	oké 
A: 	dat zijn negen bij mij 
B: 	hij staan linkerkant van het scherm in het op de hoogte net iets boven het midden en dan aan de linkerkant kunnen zeggen maar nog wel een poppe 
B: 	en boven kunnen er denken ik twee dus dan staan die zeggen maar net boven het midden 
A: 	oké nee bij mij kunnen er echt geen veel boven 
A: 	dus niet op dezelfde plek 
A: 	ja dit zijn voor mij dus die clown dus die bolneus die twee tentakel omhoog en één aan de zijkant 
A: 	één zijn die bol met die kegel en recht staaf omhoog 
A: 	en de ander de driehoek aan de zijkant 
B: 	dit zijn G 
A: 	die staan tegen het midden aan 
A: 	en wel aan de linkerkant van het scherm 
A: 	en dan staan die net iets onder het midden 
B: 	ja op dezelfde plek 
B: 	dit zijn wat jij die clown noemen 
A: 	oké dus met die die bolneus 
B: 	ja 
A: 	even zoeken 
A: 	twee tentakel omhoog één naar rechts 
A: 	dat zijn nummer vijf 
B: 	hij staan als je het midden van het scherm hebben aan de rechterkant 
B: 	en dan kunnen er sowieso één boven misschien nog wel anderhalf 
B: 	en onder kunnen er heel veel onder 
B: 	en dan ja neigen die naar het midden toe 
A: 	hoeveel kunnen er tussen de zijkant en dat 
B: 	één sowieso denken ik wel 
B: 	dus hij staat niet in het midden 
B: 	hij neigen naar links van het midden 
B: 	dus hij gaan naar als je het midden hebben hij staan sowieso aan de rechterkant 
B: 	maar dan neigen die naar het midden toe maar dan kunnen er wel ja er kunnen nog wel één tussen 
A: 	ja hier staan die wel neigen die echt wat veel naar de zijkant toe 
A: 	en bij jou neigen die wat weer veel naar het midden toe 
B: 	ja 
A: 	dan staan die niet op dezelfde positie 
A: 	dit zijn mijn clown 
A: 	dus met de bolneus twee omhoog en één 
B: 	dat zijn J 
A: 	en die staan aan de rechterkant van het scherm 
A: 	in de breedte dan wel weer mooi in het midden 
A: 	en in de hoogte zullen er precies één boven kunnen 
B: 	nee staan die niet op dezelfde plek 
