B: 	dan deze hebben een verrekijker naar links 
B: 	lijken op een verrekijker twee van die 
A: 	met zo'n toeter eruit 
B: 	nee 
A: 	of niet 
A: 	met een met een met een champignon op zijn dak 
B: 	twee van die vierkant een soort vierkant blok verrekijker 
B: 	ja met die champignon op zijn dak en de plat ding aan de voorkant 
A: 	ja 
A: 	nummer twee 
B: 	hij staan helemaal onderin en dan halverwege naar links 
A: 	nee dat zijn hem niet 
A: 	dit zijn die een met de verrekijker en de champignon op zijn dak 
A: 	met de plat voorkant 
B: 	ja 
B: 	dat zijn bij mij G 
A: 	en die staan vanaf het midden vanaf die vier in het midden linksonder 
B: 	ja bij mij ook 
B: 	dit zijn de vierkant verrekijker naar links met de champignon op het hoofd en de het plat vierkant aan de voorkant 
A: 	ja dat zijn negen 
B: 	staan op de verticaal middellijn één naar onder 
B: 	en iets naar links 
A: 	ja 
A: 	en daar links daar staan er nog één direct onder 
B: 	ja 
A: 	en nog twee link onder 
B: 	er twee link onder ja 
A: 	ja 
B: 	oké kloppen 
B: 	Chill 
A: 	dit zijn de verrekijker met de champignon op zijn dak 
B: 	waar zijn je 
B: 	ja en het vlak aan de voorkant 
B: 	dat zijn bij mij d 
A: 	die staan eigenlijk precies in het midden 
A: 	klein beetje naar Linksboven 
B: 	ja 
B: 	ja ja ja 
B: 	de verrekijker naar links en de champignon op het hoofd 
A: 	dat zijn één 
B: 	het vlak aan de voorkant 
B: 	die staan van de middel drie zijn het de rechts 
A: 	nee 
A: 	de verrekijker met de champignon op zijn dak 
B: 	even kijken waar staan die ? dat zijn B 
A: 	als je die in het midden hebben helemaal onderaan staan er twee 
B: 	ja 
A: 	en dan de rechtsonder 
B: 	ja 
