B: 	dit vinden ik een helikopter 
B: 	maar dan met een soort ja schilderij of televisiescherm aan zijn rechter zijde 
B: 	hij hebben twee van die van die vierkant die steeds groot worden aan de linkerzijde en dan bovenop zo'n antenne 
A: 	oké ja 
A: 	dat zijn een groot vierkant aan de voorkant zeggen maar 
B: 	ja 
A: 	oké dat zijn twee 
B: 	en hij staan op de onderste rij en dan de veel links van de onderste rij 
A: 	dan zijn die niet hetzelfde bij mij staan die veel naar boven 
A: 	deze noemen jij volgens mij een helikopter met een televisiescherm aan de zijkant 
B: 	ja 
B: 	dat zijn G 
A: 	en die staan net rechts boven de dansen Pinokkio 
B: 	ja 
B: 	dit zijn die helikopter met het televisiescherm 
A: 	dat zijn negen 
B: 	en hij staan onderste helft van het scherm en dan 
B: 	of je hebben de onderste rij 
B: 	en dan daarboven hebben je ook weer drie ding 
A: 	ja 
B: 	en dan twee zitten boven elkaar en dan zijn het die bovenst 
A: 	ja dat zijn hetzelfde 
A: 	dit zijn de helikopter met dat scherm 
B: 	ja dat zijn D 
A: 	en die staan zo goed als in het midden van het midden eigenlijk dus 
B: 	ja 
A: 	ja 
B: 	dat zijn bij mij ook wel hetzelfde 
B: 	de helikopter 
A: 	dat zijn één 
B: 	in het midden hebben je zo'n driehoek 
B: 	en dan de rechter daarvan 
A: 	niet gelijk 
A: 	dit zijn de helikopter 
B: 	ja B 
A: 	en die staan onderaan hebben je er zeggen maar in het midden van het scherm twee 
B: 	ja 
A: 	en daar dan de rechter van 
B: 	ja 
