B: 	oké jij moeten raden nou 
B: 	ik hebben een rood vierkant en ik moeten dat uit gaan doorleggen 
A: 	oké en en ik hebben gewoon zestien dinget 
B: 	nee 
B: 	ja jij hebben niks omheen staan 
A: 	ja 
B: 	ik hebben als omschrijving een een koek wat je in de koffie dopen 
B: 	dus misschien dat je daar wel iets uit zullen kunnen halen 
B: 	met een beetje fantasie 
A: 	zitten er ook een lepeltje in 
B: 	ja er zitten een lepeltje in en 
A: 	en een soort cilinderachtig ding aan de zijkant 
B: 	ja het zijn een bijzonder bijzonder handvat inderdaad 
A: 	ja 
A: 	hebben die ook een smal onderkant waar die op staat 
B: 	ja hebben een smal onderkant 
A: 	oké dan dan denken ik dat ik hem wel weten 
B: 	ik denken dat je de 
A: 	dat zijn nummer dertien 
B: 	moeten jij doordrukken 
A: 	en nou dus waar die staan 
B: 	ja waar die staan 
B: 	sorry 
B: 	ja hij staan bij jou natuurlijk ergens ander 
A: 	misschien 
A: 	bij mij staan die als je vanuit het midden kijken hij staan in het midden en wat laag 
B: 	wat laag ja 
A: 	zeggen maar in de onderste rij daar hebben ik er drie staan 
B: 	en staan er 
B: 	ja 
A: 	en in het midden staan er een beetje twee boven 
A: 	en degeen die daar nog iets hoog staat van die twee bekendstaan ook iets rechts in mijn scherm 
B: 	rechts in jou scherm 
A: 	maar degeen die we bedoelen die hebben ik echt in het midden 
B: 	ja en die ander staan een klein beetje boven rechts 
A: 	ja 
B: 	ja dan staan die op dezelfde plek 
A: 	oké druk ik op geel 
B: 	dan moeten jij drukken 
A: 	ik hebben de het koffiekoek 
B: 	ja 
A: 	met de smal onderkant 
B: 	duidelijk 
B: 	dat zijn letter O 
A: 	ik weten niet hoe jou scherm verdelen zijn ik hebben als je het het midden pakken 
A: 	hebben ik vier ding 
B: 	ja ik ook 
A: 	en als je het in kwadrant steken zullen die allemaal hun eigen kwadrant tegen het midden aan staan en bij mij zijn dat het kwadrant rechtsboven 
B: 	ja 
B: 	rechtsbof 
A: 	en daar dus veel naar het midden toe 
B: 	nee 
B: 	bij mij rechtsonder 
A: 	oké nee ja dat 
B: 	maar wel inderdaad mooi in een vierkantje 
A: 	ja 
A: 	ze zijn weer veranderen 
B: 	het ja 
B: 	ik zien het inderdaad ik moeten even opnieuw schakelen 
A: 	dus 
A: 	ja 
B: 	koek in de koffie 
B: 	met een lepeltje 
A: 	het rond koek 
B: 	ja 
A: 	even kijken waar staan je ook alweer ? ja daar 
A: 	dat zijn nummer acht 
B: 	bij mij staan die heel eenzaam in het rechts 
A: 	rechtsbof 
B: 	ja 
A: 	ik willen ook al eenzaam zeggen 
A: 	ja ja dat die die passen weinig veel rechts 
B: 	ja dat zullen moeten dan wel 
B: 	ja passen niets zo niks boven een beetje rechts misschien 
A: 	past niks boven 
A: 	en hij staan heel eenzaam 
B: 	ja 
A: 	het rond koffiekoekje 
B: 	ja 
B: 	met een lepeltje 
A: 	ja 
B: 	en een raar oor 
A: 	ja een raar onderkant 
B: 	dat zijn letter C 
A: 	kwadrant rechtsboven 
B: 	ja 
A: 	van die drie op een rij de middel 
A: 	ook een beetje in het midden 
B: 	de middel van die drie op een rij 
A: 	ja 
A: 	bij mij ja 
B: 	zijn dat niet die vlech bij jou 
A: 	die staan bij mij tegen het midden aan 
B: 	misschien hebben we die ander dan net verkeerd doen 
A: 	oké 
B: 	misschien zijn het veranderen in breath laugh 
A: 	bij mij staan die van het kwadrant rechtsboven horizontaal zien bijna in het midden 
B: 	ja 
A: 	in het midden 
A: 	zullen nog iets boven passen maar ook weer net niet 
B: 	nee hij staan bij mij horizontaal zien veel echt richting het midden 
A: 	oké en dan hebben we die twee net omwisselen 
B: 	dus dan zullen het een ander 
B: 	bummer 
A: 	ja 
B: 	ander plek 
A: 	geen honderd procent 
A: 	misschien hebben we wel heel veel fout 
B: 	ja dat zullen best wel kunnen 
B: 	denken we elkaar goed aan te aanvoelen 
B: 	koffiekopje met koekje 
B: 	rond koekje 
A: 	het rond koek 
B: 	ja 
A: 	hebbes 
A: 	nummer zeven 
B: 	hij staan linksonderkwadrant 
A: 	ja 
A: 	helemaal links 
B: 	en iets rechts van het midden van dat kwadrant 
A: 	nee bij mij staan die helemaal linksonder 
B: 	nee 
A: 	koffiekoekje 
B: 	koffiekoekje dat ronde 
A: 	ja 
B: 	waar staan die ook alweer 
B: 	letter C 
A: 	kwadrant rechtsboven 
A: 	zullen horizontaal zien iets rechts van het midden staan in dat kwadrant 
B: 	ja 
B: 	hebben je die drie op een rij zo 
B: 	misschien hebben je dat niet 
B: 	ja rechts van het midden gaan door 
A: 	zullen nog wel een plaat rechts passen maar dat staan er niet bij mij 
A: 	en er pasn niks boven 
B: 	er passen niks boven 
A: 	nee 
B: 	bij mij staan daar een plaat boven 
A: 	nee nou dan zijn het snel bekijken 
B: 	nee 
B: 	ik moeten 
A: 	sorry 
