A: 	jij 
B: 	oké ik hebben er één die hebben een soort van lang balk bovenop 
A: 	even kijken hoor en die liggen daar gewoon plat bovenop 
B: 	een langwerpig balk 
B: 	die liggen er plat bovenop 
B: 	en aan de zijkant hebben die een soort van rond soort van 
A: 	ja nog zo'n klein en dan nog een soor graafarmpje aan de ander kant 
B: 	dat niet 
A: 	niet 
B: 	hij hebben geen graafarmp 
B: 	nee het zijn echt een soort van een soort van 
A: 	zo'n half rond dinge ja het kunnen eigenlijk toch niet echt een ander zijn 
B: 	ja 
A: 	en dan aan de een kant nog zo'n klein stok met een 
B: 	oké 
B: 	ja precies stok en dan zo'n driehoek 
A: 	ja ja precies oké 
B: 	ja oké nee sorry dan denken we wel aan dezelfde 
A: 	nummer acht zijn dat 
B: 	bij mij staan die redelijk in het midden 
A: 	ja 
B: 	misschien nog niet iets link daarvan 
B: 	en ook redelijk zo in het midden 
A: 	ja bij mij ook inderdaad ja 
B: 	oké 
B: 	houden het op 
A: 	zullen dan wel dezelfde plek zijn 
A: 	even kijken deze hebben die plat rechthoek bovenop 
A: 	en dan inderdaad ook weer dat halfron dinge aan de zijkant 
A: 	met één zo'n dun rechthoekje aan de ander kant soort graafarmp blok 
B: 	wachten wat hebben hij bovenop 
A: 	snapen je 
A: 	hij hebben zo'n rechthoekig balk 
B: 	dat balk 
B: 	ja 
A: 	ja 
B: 	en dan dat dun dinge aan de zat dan aan de zijkant zo 
A: 	dun dinge aan de zijkant en dan een half rond aan de zijkant 
B: 	ja 
B: 	ja 
B: 	oké ja dat zijn E bij mij 
B: 	die zijn wel lastig 
A: 	oké 
A: 	ja die zijn moeilijk uitleggen hè ? ja 
B: 	ja 
A: 	en hij zitten dan net iets link van het midden en net iets onder de helft 
B: 	oké nee bij mij zitten die rechts en boven dus 
A: 	of rechts sorry ik zeggen zeggen ik links ? sorry ik bedoelen rechts van de helft sorry sorry 
B: 	ja nee maakt niet uit 
B: 	oké dus rechts en hij staan 
A: 	rechts van de helft en net iets onder het midden 
B: 	oké nee bij mij zitten die alsnog boven dus toch niet 
A: 	oké 
A: 	toch niet 
B: 	weer dat balk bovenop 
A: 	ja 
B: 	met dat soort van rondjeten hier 
A: 	ja precies 
B: 	en dan dat dun dinge 
A: 	ja één 
B: 	yes 
B: 	we worden goed in die 
A: 	ja we worden hier goed in 
B: 	even kijken hij staan helemaal bovenin 
A: 	ja 
B: 	nou redelijk op het midden 
B: 	iets link daarvan maar ja 
A: 	ja bij mij ook wel ja net iets link van het midden maar ongeveer 
B: 	yes 
A: 	ja 
A: 	dezelfde plek 
A: 	oké deze zijn weer met dat balk bovenop en dat half rond aan de zijkant 
B: 	yes 
B: 	ja dat zijn E bij mij 
A: 	oké 
A: 	nummer vier 
A: 	zijn het niet gewoon A één B 
B: 	het zullen het zijn vier zeggen je net of niet 
A: 	dat zijn E bij jou 
B: 	ja maar dat zullen dan vijf zijn toch A B C D E 
A: 	dus 
A: 	A B C D E ja je hebben gelijk sorry never mind 
A: 	laten maar 
B: 	dat zullen wel makkelijk zijn trouwens als we dat ja 
A: 	dat zullen makkelijk zijn ja maar dat zijn niet nee oké laten maar 
B: 	goed bedenken 
A: 	zijn makkelijk zijn dan zijn we er snel uit 
B: 	ja precies 
B: 	misschien iets te makkelijk 
A: 	precies 
A: 	even kijken ongeveer helft helft links 
B: 	ja die ja ja 
A: 	en iets onder de helft 
B: 	ja hebben ik ook wel 
A: 	oké 
B: 	zelfde plek 
B: 	toppie 
B: 	weer met dat balk bovenop met dat soort van rond armp aan de zijkant 
A: 	oké 
A: 	ja 
A: 	nou dit zijn echt nog het moeilijk gaan zoeken waar die dan zijn 
B: 	soms zijn dat ja precies 
A: 	nummer zestien 
B: 	je kennen ze allemaal zo goed 
A: 	ja precies inmiddels wel waar zijn die 
B: 	even kijken 
B: 	helft van de helft rechts ongeveer 
A: 	ja 
B: 	en ja helemaal onderin 
A: 	helemaal onderin ja 
B: 	ja 
B: 	ja het zijn misschien nog net iets linker van de helft van de helft rechts maar 
A: 	ja bij mij ook wel en dan helft helemaal onderin maar hij zullen nog iets naar beneden kunnen 
B: 	oké 
B: 	hij kunnen nog iets naar beneden ja 
A: 	ja maar daar zitten niks veel 
B: 	maar er zitten niks onder 
A: 	nee precies zelfde plek 
B: 	ja 
B: 	nice 
A: 	oké 
B: 	oké 
A: 	oké deze zijn weer met dat balk bovenop en dan dat half rond aan de zijkant 
B: 	ja 
B: 	even kijken ja dat zijn O bij mij 
A: 	oké 
A: 	hij zitten qua figuurt helemaal links 
A: 	onderin 
A: 	en qua positie zijn die net iets link van helft helft 
B: 	ja 
A: 	en ja ook wel onder helft helft 
B: 	ja precies ja zelfde plek 
A: 	oké 
