B: 	ja deze hebben eigenlijk bovenop liggen er een soort een een een staaf of een blok liggen er echt bovenop liggen 
B: 	en aan de zijkant steken een beetje een een één ja rond vormig ding uit worden steeds groot 
A: 	liggen ja ok 
B: 	volgens mij zitten die ook nog aan de ander kant maar dat vallen net ergens achter en dan hebben je een soort veegje met een met een buisje er in die rechtop staan 
A: 	ja 
A: 	staaf ja dat zijn dan nummer acht 
B: 	ja bij mij zitten deze eigenlijk het veel tegen het midden van het midden aan maar daar dan net links boven 
A: 	ja 
A: 	o even kijken 
A: 	ja ja zelfde plek ja 
B: 	net links boven als je van midden van het midden pakken 
A: 	ja 
A: 	ja 
A: 	ja dit zijn eigenlijk ja met met dan zo'n balk bovenop en aan aan de zijkant hebben hij een klein smal 
A: 	rond wat dan opeens wat groot worden en aan de voor en achterkant hebben hij dan ja rond wat langzaam weer ja dat buisje wat langzaam groot worden ja 
B: 	ja 
B: 	en bij dat met dat buis of zo met dat met dat dinge waar het op staan ja dat zijn dan E 
A: 	ja 
A: 	als je het vierkant pakken bekendstaan hij dan rechts onderin in het vierkant 
B: 	recht onderin in het vierkant ok bij mij staan hij rechtsboven dus dat zijn dan niet dezelfde plek 
A: 	ja 
A: 	zitten ook 
B: 	ja dit zijn diegene die dat balk bovenop hebben maar die dan liggen en weer dat dinge aan de zijkant dat rond zijn en groot worden 
B: 	en dan nog dat balk dat ergens op staat en aan de ander kant ook zoiets 
A: 	ja 
A: 	ah ok ok dat zijn dan nummer één 
B: 	en bij mij staan hij eigenlijk van de bovenste drie in het midden dus eigenlijk gewoon de hoog in het midden 
A: 	ja 
A: 	ja bij mij ook 
A: 	ja dit zijn die raar weer met die met zo'n balk bovenop en dan aan de zijkant hebben hij dan zo'n smal ding die langzaam bred gaan en hebben hij ook aan de achterkant aan de zijkant ook ja 
B: 	ja 
B: 	ja dat zijn dan E 
A: 	ok gaan we het zo proberen ok je hebben onderin hebben je drie staan 
B: 	nou je kunnen het als als voor jou moeilijk voor mij staan hij rechts bovenin in het vierkant zeggen maar als je dat vierkant links onderin 
A: 	helemaal onderin 
A: 	ja de o dat vierkant ja bij mij ook precies hetzelfde dat zijn dat zijn bij mij vierkant links en dan rechts bovenin ja 
B: 	ja vierkant en dan rechts 
B: 	ja dat zijn dan dezelfde plek 
A: 	o jij moeten klikken 
A: 	ja 
B: 	ja dit zijn diegene waarbij die balk plat erop liggen die cirkel aan de zijkant die steeds groot worden die aan beide kant zitten en dan dat buisje nog dat er aan vast zitten 
A: 	ja ja en 
A: 	dat zijn dan nummer zestien 
B: 	en als je zeggen maar onderin het midden die drie die dicht bij elkaar zitten de veel rechts daarvan 
A: 	ja 
A: 	ja dezelfde plek 
A: 	ja dit zijn die dan die balk die er bovenop liggen en dan aan de zijkant achter en voor hebben je smal naar breed 
A: 	en aan de zijkant hebben je nog een ah cirkel en dan worden het bred 
B: 	ja 
B: 	dat zijn O 
A: 	link onderin helemaal 
B: 	ja dat zijn dezelfde plek 
