B: 	ik hebben het vierkant volgens mij 
B: 	het zijn nou ja die basisvorm en dan zitten er een half cirkel achter 
B: 	met aan de linkerkant zijn een soort van armp wat uitsteken en dan zitten er een soort van 
A: 	ja zo'n 
B: 	ja 
A: 	ja 
A: 	ja die hebben ik 
A: 	zijn nummer dertien 
A: 	moeten ik dan op een geel knop drukken 
B: 	ja 
A: 	oké ja 
B: 	ik zien hem in het midden van het scherm helemaal in het midden en dan onderin 
A: 	ja 
A: 	ja en zitten er een plaat rechts van 
A: 	met zo'n bol neus 
A: 	nee wachten dat zijn natuurlijk niet hetzelfde 
A: 	ja in het midden onderin 
B: 	ja 
A: 	hebben ik ook 
A: 	dan denken ik dat die op dezelfde plek staan 
A: 	dit zijn degeen met zo'n stokuitsteeksel en zo'n ja soort van kegel zo 
A: 	en daar zitten ook nog een cirkel aan de achterkant 
A: 	die kunnen je niet helemaal zien 
A: 	en hij staan op een er zitten ook nog niets onder 
B: 	ja ja dat zijn O 
A: 	en hij staan als je die vier hebben in het midden dan zijn het degeen rechtsboven 
B: 	bij mij zijn het degeen rechtsonder 
A: 	oké dan zijn het niet hetzelfde wachten jij moeten drukken ja 
A: 	we gaan weer veranderen wat leuk 
B: 	shit 
B: 	ik hebben het rood licht sorry 
B: 	het zijn die die op een soort van dinge staan waardoor het lijken alsof hij poot hebben en hij hebben die half cirkel daarachter 
B: 	en een kegel 
A: 	ja ik weten welk je bedoelen even zoeken 
A: 	ja ik hebben hem 
A: 	acht 
B: 	hij staan bij mij je hebben zeggen maar alles staan hier een beetje links en dan één hebben je rechtsboven 
A: 	ja wachten je hebben zeggen maar zo'n achten zo'n zo'n acht bij elkaar zeggen maar links een beetje zo 
B: 	ja 
A: 	en dan hebben je zo'n lang slinger 
A: 	hebben je die ook 
A: 	of andersom zo 
B: 	ja 
A: 	oké en dan zijn het ja dan hebben we weer dezelfde vorm 
B: 	en dan hebben je een heel een heel tijd niks en dan hebben je nog één zo'n dinge 
A: 	helemaal rechts bovenin 
A: 	ja helemaal rechts bovenin 
B: 	ja 
A: 	ja 
A: 	dit zijn degeen met de hoe hoe noemen je deze ook alweer 
A: 	er zitten zo'n zo'n uitsteeksel en zo'n stok 
A: 	en het rond achter 
A: 	die je niet helemaal kunnen zien 
B: 	ja C 
A: 	en die zitten op de één rij zijn het de vier 
B: 	bij mij zijn het de drie 
B: 	het zijn die met die soort van been en met die half cirkel erachter 
A: 	ja 
A: 	zijn zo'n blok veel toch 
A: 	en zo'n 
B: 	ja 
A: 	oké 
A: 	ja zeven 
B: 	en zitten links en dan hebben je daar een soort van driehoek met drie dinget 
B: 	en dan zijn het de veel rechter 
A: 	nee bij mij zitten die helemaal links onderin 
A: 	dit zijn diegene met de half cirkel achter en de kegel bovenop 
B: 	ja 
B: 	C 
A: 	bij mij zitten die helemaal rechts bovenin 
B: 	bij mij zitten die zitten er nog één boven 
A: 	nee bij mij niet 
B: 	oké 
