B: 	ja deze hebben eigenlijk een ja hoe noemen je zo'n ding ook alweer 
B: 	zeggen maar een zeggen maar twee soort van prisma aan de zijkant en een ik weten even niet veel hoe je een lang vierkant noemen 
A: 	een balk 
B: 	ja een balk aan de bovenkant eigenlijk in principe 
A: 	een balk aan de bovenkant 
B: 	ja 
A: 	en hebben die aan de rechterkant hebben die zo'n uitsteeksel en daar staan nog een dinge bovenop 
B: 	ja 
B: 	zo'n soort cilindertje bovenop 
A: 	zo'n cilinder erbovenop 
B: 	ja 
A: 	oké ja dan zijn het acht 
B: 	bij mij staan die eigenlijk nagenoeg in het midden 
B: 	misschien iets veel naar links van het midden 
A: 	ja dan zijn het dezelfde plek want daar staan die bij mij ook 
A: 	deze hebben een soort balk bovenop 
A: 	en dan een 
B: 	die prisma weer aan de zijkant 
A: 	drie prisma aan de zijkant ja 
B: 	oké dan zijn het bij mij E 
A: 	oké 
A: 	en je hebben weer die dat vierkant zeggen maar in het midden 
A: 	je hebben er vier en die zijn dus ongeveer een vierkantje in het midden 
B: 	ja 
A: 	ja 
A: 	rechtsonder daarvan 
B: 	nee ik hebben de mijn daarboven 
A: 	oké 
B: 	dit zijn die met dat balk bovenop en die prisma aan de zijkant 
A: 	ja wachten waar zijn die ? ja dat zijn bij mij één 
B: 	bij mij zijn het eigenlijk de veel bovenst 
A: 	zitten die best 
B: 	ongeveer in het midden 
A: 	ongeveer in het midden 
B: 	ja 
A: 	ja dan zijn het wel dezelfde plek 
A: 	dit zijn met die balk bovenop en die die prisma 
B: 	even zoeken hoor 
B: 	ja dat zijn bij mij E 
A: 	even nadenken hoe ik dit handig doen 
B: 	ja 
A: 	links hebben je er twee zo naast elkaar 
B: 	Linksboven zo bedoelen je 
A: 	linksonder sorry ja 
A: 	nee zo 
B: 	zo ja 
A: 	linksonder hebben je er twee naast elkaar 
A: 	en deze zitten boven de rechter 
B: 	ja dat zijn hetzelfde 
B: 	die met die balk bovenop en die prisma 
A: 	de bal en de prisma 
B: 	balk 
A: 	balk ja ja 
A: 	ja hebben ik 
A: 	dat zijn nummer zestien 
B: 	eigenlijk zijn het degeen die het veel rechts onderaan zijn 
A: 	ja je hebben die die drie op een rij zeggen maar en dan de rechter 
B: 	ja 
A: 	ja dat zijn dezelfde plek 
A: 	dit zijn met die balk bovenop en de prisma 
B: 	als ik hem kunnen vinden 
B: 	dat zijn O 
A: 	helemaal linksonder 
B: 	ja 
