A: 	ja dit zijn met de superscherp punt aan de bovenkant 
A: 	en aan de voorkant ja ook een soort van kubus maar niet een gelijk kubus aan de rechterkant en dan aan de linkerkant dat ja 
A: 	ja puntachtig 
B: 	ja 
A: 	ja maar dan wel met vlak aan de buitenkant en dan linksonder nog een cirkel 
B: 	ja 
B: 	dat zijn J bij mij 
A: 	en hij staan ja als je weer het midden hebben en dan daar de helft van op die lijn 
B: 	ja bij mij ook 
A: 	en helemaal onderaan 
B: 	bij mij ook 
B: 	misschien nog zo'n stuk tot de onderrand 
A: 	ja inderdaad 
B: 	rechts ja 
A: 	ja rechts 
B: 	dan precies die midden 
B: 	zeggen maar 
B: 	ja 
B: 	dat zijn wel hetzelfde denken ik 
A: 	yeslen ik denken het ook 
B: 	deze hebben zo'n driehoek aan de bovenkant 
B: 	en aan de voorkant soort van kubus maar dan bred aan de onderkant 
B: 	en dan link nog soort van klein punt 
B: 	pluimp en dan linksonder nog een cirkel 
A: 	ja dat zijn zes 
B: 	hij staan op de rechterhelft 
B: 	en daar weer de helft van die lijn 
B: 	en dan als je hem horizontaal verdeelen dan daar weer de helft van 
A: 	ja 
A: 	ja aan de onderkant nog ongeveer zoiets 
B: 	ja en rechts ook zoiets 
A: 	ja 
A: 	ja dan zijn het wel dezelfde 
B: 	ja 
A: 	ja dit zijn die met die heel scherp driehoekpunt boven 
A: 	en die kubus 
A: 	ja niet die niet recht kubus en dat rond linksonder en dat punt link 
B: 	ja 
B: 	ja 
B: 	dat zijn E 
A: 	en hij staan ja net iets rechts van het midden 
B: 	net of ? want bij mij staan die echt in het midden van het rechterdeel 
A: 	nee dat sowieso niet net 
B: 	nee dan zijn het niet hetzelfde 
B: 	dit zijn die met die scherp driehoek aan de bovenkant 
B: 	kubus kubusachtig aan de voorkant 
B: 	cirkel en een pluimp 
A: 	ja 
A: 	dat zijn tien 
B: 	hij staan bij mij links onderin 
B: 	met links wel wat veel ruimte 
B: 	voor nog een plaat maar aan de onderkant nog zo'n stuk ruimte 
A: 	je hebben er niet links van nog een plaat 
B: 	nee 
B: 	maar daar zullen wel een plaat kunnen staan 
A: 	ja die van mij zitten nog wel zo'n soort zo'n stuk 
A: 	dus die van mij staan veel naar naar het midden 
B: 	midden 
A: 	ja 
A: 	denken niet dat het zelfde zijn 
B: 	nee 
A: 	dit zijn met die superscherpe punt boven 
A: 	en die niet zo recht kubus aan de rechterkant en 
B: 	ja dat zijn G 
A: 	hij zitten helemaal Linksboven 
B: 	bij mij ook 
A: 	ja 
B: 	ik hebben zo'n ruimte links en en boven ook 
A: 	ja 
A: 	ja ik denken dat dat wel hetzelfde zijn 
B: 	oké 
B: 	dit zijn die met die puntig driehoek aan de bovenkant 
A: 	ja 
B: 	en kubusachtig en cirkel en pluimpje 
A: 	ja dat zijn tien 
B: 	staart 
B: 	hij staat bijna op het midden van het rechterdeel 
B: 	en dan iets onder eronder midden 
A: 	ja 
A: 	ja ik denken dat het wel hetzelfde zijn 
