A: 	dit plaat vinden ik een beetje dit plaat hebben aan beide kant uitsteeksel een soort van arm en aan de bovenkant een bolle wat een soort van hoofd lijken 
A: 	en aan de voorkant een soort paal 
B: 	een soort dik man die voor een paal staan 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	daar komen het eigenlijk wel op neer 
B: 	dat zijn D 
A: 	hij staan bij mij helemaal onderaan 
A: 	en dan net iets link van het midden 
B: 	ja 
B: 	en rechts van hem passen echt nog vier of vijf plaat 
A: 	ja ruimte zitten ja 
B: 	tot er nog een plaat komen ja 
A: 	en links wel minimaal twee plaat passen er nog echt wel naast zeggen maar 
B: 	ja 
A: 	ja 
B: 	link twee plaat 
A: 	ja 
A: 	hij staan bij mij zeggen maar als je het midden hebben dan komen hij daar wel echt tegenaan 
A: 	en dan net links daarnaast 
A: 	ja er zullen echt aan de linkerkant nog wel twee plaat naast passen 
B: 	ja dat zijn bij mij niet zo dus dan staan die niet op dezelfde plek 
B: 	past echt nauwelijks één 
B: 	oké dit zijn weer de dik man met de pilaar 
B: 	dus met het rond hoofd en die uit armp en ja 
A: 	ja moeten ik wel even vinden 
A: 	ja 
A: 	nummer vijftien 
B: 	hij staan helemaal rechts onderin 
A: 	oké daar staan die bij mij niet 
A: 	nee 
A: 	dit zijn dat dik man met die stok in zijn rug 
B: 	ja L 
A: 	en hij staan bijna helemaal bovenaan net iets link van het midden 
A: 	er passen net geen plaat boven misschien net een klein 
B: 	ja dat zijn dezelfde plek sowieso 
B: 	de dik man met de pilaar 
A: 	dat zijn zes 
B: 	hij staan past anderhalf plaat rechts 
B: 	nog 
B: 	en hij staan bijna pal in het midden 
B: 	qua hoogte 
A: 	oké bij mij staan die veel laag 
A: 	dit zijn het dik man met de pilaar 
B: 	ja 
B: 	even kijken 
B: 	J 
A: 	en hij staat ongeveer op een kwart vanaf rechts 
A: 	en ik zullen wel zeggen dat die in het midden staan 
B: 	ja bij mij ook 
B: 	dit zijn dik man met pilaar 
A: 	ja nummer drie 
B: 	en hij staan helemaal rechts en dan net iets onder het midden 
A: 	ja 
A: 	dat klinken als dezelfde plek 
A: 	ja 
