A: 	o deze lijken op Flappy Bird 
B: 	wat 
A: 	o misschien moeten je dat zien als je zeggen maar het zijn gewoon die mok dan en daarboven zitten nee aan de rechterkant zitten zeggen maar een istek 
B: 	ja nu zien ik hem ja ja ik hebben die gewoon omschrijven als istek maar inderdaad Flappy bird kloppen ja I 
A: 	dat zijn wat jij net zeggen 
A: 	ja 
A: 	ja 
A: 	hij zitten in het links bovenste vak ongeveer in het midden aan de rechter kant 
B: 	ja bij mij ook 
A: 	ok 
B: 	zelfde plek 
B: 	Flappy Bird 
A: 	ja die weten ik meteen twee 
B: 	links onderste vak in het midden 
A: 	ja bij mij ook 
A: 	Flappy Bird 
B: 	even kijken waar zitten die o daar ja M 
A: 	voor jou 
A: 	en ja link onderin helemaal 
B: 	helemaal links onderin ja 
A: 	ja ik zien je al kijken ook 
B: 	even kijken flappy Bird 
A: 	goed zo 
A: 	negen 
B: 	damn Flappy Bird zijn echt een goed 
A: 	ja ik zullen ik zijn even naar dat ding aan het kijken o o negen trouwens nou en ik denken van 
B: 	ja 
A: 	eerst zien ik er niks in en toen zeggen het lijken het op een mens en toen kijken ik even goed en toen lijken het Flappy Bird 
B: 	ja 
B: 	link bovenste vak rechts van het midden 
A: 	ja kloppen 
A: 	Flappy Bird 
B: 	ja 
A: 	bij mij zitten hij onderin niet voorzeggen 
B: 	ja F 
A: 	rechts onderste vak 
B: 	er zitten er één link van en één rechts van 
A: 	ja dus beetje aan de linkerkant zitten hij van de rechts onderste vak 
B: 	eigenlijk heel erg dicht op 
B: 	ja ja precies en het zijn de middel van die drie op een rij 
A: 	ja ja 
A: 	jajaja 
B: 	ja 
B: 	Flappy Bird 
A: 	ja zes 
B: 	even kijken 
A: 	net iets link van het midden staan hij bij mij 
B: 	net iets link van het midden inderdaad 
A: 	ja 
