B: 	dit zijn volgens mij het veel symmetrisch plaat dat er zijn alleen zijn net vanaf de linkerkant een beetje een foto nemen 
B: 	het zijn twee van die uitstekend armpjes met drie klein rui 
B: 	en rond cirkel voorop 
A: 	met zo'n vierkant waar die op staat 
B: 	ja dat ook nog ja 
A: 	ja oké ja 
A: 	dat zijn vijf bij mij 
B: 	hij staan op de linkerhelft van het scherm 
B: 	van die linkerhelft ongeveer in het midden 
A: 	ja 
B: 	en dan net onder 
A: 	één erbof hebben ik 
B: 	ja bij mij staan er veel boven maar het zullen kunnen 
A: 	zullen dat uitmaken ? ik weten het niet 
B: 	ik denken dat het vooral gaan om de plaats want kunnen dat ander ergens ander staan 
A: 	plaats ja ja ja ja ja 
B: 	dus van de linkerkant van het scherm daarvan verticaal in het midden 
A: 	ja 
B: 	en horizontaal net onder het midden 
A: 	nee bij mij erboven 
B: 	oké 
A: 	dus dan wachten zeggen dat nog eens 
B: 	zijn het niet het 
B: 	van de linkerhelft staan die verticaal in het midden van die linkerhelft 
A: 	ja 
A: 	ja ja ja 
B: 	en horizontaal zitten die net daaronder 
A: 	ja bij mij ja bij mij erboven dus dat dan staan die ergens ander 
B: 	oké 
B: 	oké 
A: 	dit zijn waarvan jij zeggen dat die het veel symmetrisch zijn 
A: 	met die met die drie rui aan ieder kant 
B: 	ja ja 
B: 	dat zijn J 
A: 	en die staan bij mij helemaal rechtsonder in de hoek 
B: 	nee 
B: 	dit zijn de symmetrisch 
B: 	met 
A: 	dat zijn elf 
B: 	oké 
B: 	deze staat op de linkerschermhelft in het midden 
B: 	verticaal zien en horizontaal zien eigenlijk ook 
A: 	echt in het midden 
B: 	ja van de linkerschermhelft 
A: 	nee dan staan die ergens ander denken ik 
A: 	dit zijn die symmetrisch 
B: 	dat zijn P 
A: 	en die staan bij mij net aan de rechterkant 
A: 	maar wel flink bovenin 
B: 	niet in het midden van de rechterkant 
A: 	nee 
B: 	oké 
B: 	dit zijn de symmetrisch 
A: 	dat zijn negen 
B: 	en verticaal zien zitten die eigenlijk in het midden 
B: 	en horizontaal bijna helemaal bovenin 
A: 	bijna helemaal bovenin 
B: 	ja er kunnen er geen veel boven 
A: 	oké 
A: 	dit zijn de symmetrisch 
B: 	dat zijn L 
A: 	en die zitten op je linkerkant van je scherm en als je die door de helft doen rechts 
A: 	en horizontaal flink Erboven wel 
B: 	nee 
