A: 	deze lijken een beetje op een korf waar een bal in gooien worden er zitten ook een staaf aan 
A: 	en een ja 
B: 	aan beide kant steken iets iets uit 
A: 	opsteken iets uit ja 
B: 	ja 
B: 	dan denken ik dat ik het al wel weten want er zijn er niet heel veel waar iets van een bal in lijken te gaan vanaf de bovenkant 
B: 	dus dat moeten dan voor mij D zijn 
B: 	dus dat worden dan geel 
A: 	als je een kruis hebben dan zitten die voor mij 
A: 	linksonder en dan meteen naast het kruis 
B: 	nou dan voor mij ook zeker weten 
A: 	oké 
B: 	ja 
B: 	er zitten vrij weinig in de buurt bij mij 
B: 	deze even kijken 
B: 	volgens mij hebben we deze al een keer hebben zelfs 
B: 	een soort van korf waar een balle in gaan waar bij je dus links en rechts een staaf hebben en aan de voorkant een staaf die als het zijn de korf omhooghoudt 
A: 	ja die hem vasthouden 
B: 	ja 
A: 	dat zijn vijftien voor mij 
B: 	en die vinden we echt helemaal rechtsonder in de hoek kunnen niet ver 
A: 	hij kunnen voor mij nog best een stuk ver 
B: 	oké 
A: 	dit zijn de de korf 
B: 	even kijken ja dat zijn L voor mij 
A: 	poeh hij zitten in het linkerbovenvak 
A: 	en als je dan de middel hebben met die rui 
B: 	ja 
A: 	daar dan net iets schuin 
B: 	ja rechts iets boven 
A: 	ja 
B: 	ja dan hebben we dezelfde 
B: 	dit zijn de korfbal paal weer 
A: 	yes dat zijn zes voor mij 
B: 	rechtervak 
B: 	en ik denken dat de scheidingslijn erdoorheen lopen de 
A: 	nee die van mij staan veel recht onder en dan in zijn één 
B: 	nee dan hebben we niet hetzelfde 
A: 	dit zijn de korf 
B: 	dat zijn J 
A: 	en die zitten bij mij rechts en dan door de middenlijn heen 
B: 	het onderste deel van de staaf door de middellijn of het heel figuurtje veel 
A: 	ja nee veel de veel de staaf er zitten daar linksboven zitten die die hebben jij ook toch ? met die groot worden vierkant 
A: 	of zitten daar wat ander voor jou 
B: 	nee daar zitten iets ander 
A: 	oké nou ja daar daar zitten er ook weer iets boven en dan zitten er rechts ook nog één boven en daarna komen heel lang niks 
B: 	oké ik ik hebben rechts daarboven met de glijbaan 
A: 	ja maar dat er zitten een soort driehoek en dan zijn het de kelder in het driehoek 
A: 	dit zijn niet duidelijk 
B: 	nee dit zijn niet hetzelfde denken ik 
B: 	nee 
B: 	laten we deze maar op nee houden 
A: 	nee dat 
B: 	de korfbalpaal 
A: 	ja 
B: 	helemaal rechts 
A: 	en dan een beetje in het midden 
B: 	een beetje midden ja nou het rechtervlak 
A: 	naar 
B: 	rechtsonder maar dan ook in dat vlak helemaal rechts 
A: 	ja 
A: 	helemaal zo 
B: 	rechts 
A: 	ja 
B: 	en dan echt helemaal aan de rechterkant 
A: 	ja 
A: 	volgens mij hebben ik hem 
