A: 	jij zijn 
B: 	oké het zijn een komme en er zitten een plaat doorheen 
B: 	er zijn er maar één die dat hebben 
A: 	ja 
A: 	ik zien het ja 
A: 	oké 
B: 	H roepen 
A: 	dwars doorheen toch 
B: 	ja 
A: 	ja 
B: 	je moeten dan eerst H roepen en dan en dan op de dan op de knop drukken 
A: 	ja 
A: 	shit 
A: 	oké 
B: 	nu moeten ik uitleggen waar die zitten 
A: 	ja 
B: 	en dan mogen jij bepalen of die op dezelfde plek zitten 
B: 	volgens mij zijn het namelijk niet interactief we mogen niet met elkaar leggen mogen ik alleen ding tegen jou zeggen 
A: 	ja gewoon je mogen overleggen 
B: 	ja wel 
A: 	ze zeggen ze zeggen doen wat je willen 
B: 	oké 
B: 	nou super 
B: 	rechterkant van het midden 
B: 	dus aan de rechterkant van het midden en dan een beetje links 
B: 	dus je hebben als je het scherm opsplitsen in twee deel 
A: 	ja 
B: 	zitten die links bovenin 
A: 	jou link 
B: 	volgens mij hebben we precies hetzelfde scherm 
B: 	als je het scherm opdeelen in twee deel 
A: 	ja ja 
B: 	vanaf vanaf hoe jij het ook zien 
B: 	zitten die in de rechterkant van het scherm Linksboven 
A: 	ja 
A: 	ah zitten zitten er ook een iets naast 
A: 	vlak onder 
B: 	ja rechtsonder 
A: 	met met een spiraal eronder 
A: 	spiraal met een driehoek 
B: 	die zitten helemaal rechts 
A: 	nee dat zijn niet hetzelfde dan hoor 
B: 	ja het aangaan niet per se om de positie te opzicht van de ander figuur 
B: 	gewoon als je het scherm opdeelen in twee deel 
A: 	ja hij zijn hij zijn hij zitten rechts 
B: 	zitten die dan Linksboven 
A: 	rechts bij mij 
B: 	ja 
A: 	bovenaan 
A: 	maar er zitten ook nog twee figuurt naast ik denken we kunnen goed kijken of ik dan of het dan of het dan correct zijn die twee figuurt naast jou want 
B: 	of dat die niet zijn 
A: 	ja 
B: 	ja het zijn wel het linkerfiguur van die van die er zitten er bij mij drie in de hoek 
A: 	ja dat kloppen dan ja oké 
B: 	en dan zitten die aan de veel linkerkant 
B: 	dus in richting het midden van het scherm 
A: 	oké 
A: 	oké ja dat kloppen en dan moeten ik op geel drukken toch 
B: 	dan zijn het geel 
B: 	ja 
A: 	ja 
A: 	oké dus er komen bij deze een slurf uit en er gaan een rechthoek nee vierkant er dwars doorheen 
A: 	en er zitten twee cirkelvormig punt op 
B: 	twee cirkelvormig punt op 
A: 	ja ik weten niet hoe noemen je dat ? cilinder zitten twee cilinder op 
