B: 	dit vinden ik een soort lastig ding 
B: 	het zijn een kop hij staan nergens op hij hebben halverwege een heel lang stok en twee van die poo waar eigenlijk zo'n dat op zullen moeten rusten 
A: 	het zijn een soort van kruiwagen zullen het kunnen zijn 
B: 	en een 
B: 	ja en het hebben een 
A: 	met aan de links kant een heel smal staaf wat zo omhooggaan 
A: 	of hebben je nu een ander 
B: 	ja maar wel bij het kop zeggen maar 
B: 	niet bij dat die stok lopen nog door 
B: 	of ik noemen het maar even stok 
A: 	hebben die een soort van omgekeerde piramide aan de rechts kant zitten zeggen maar ? de punt zien je daarvan niet 
B: 	ja 
B: 	die zitten daar nog bovenop 
B: 	ja 
B: 	die zitten nog in dat stok noemen ik het dan 
A: 	ja 
A: 	ja ja het zijn een beetje alsof die twee punt die uit die stok kunnen komen alsof dat een soort van handvaten zullen kunnen zijn als je hem 3D wat veel bekijken 
B: 	en dan twee van die poo 
B: 	ja 
B: 	ja of als je hem neer zo kunnen zetten ergens op 
A: 	ja ja ja ja ja ja 
B: 	ja 
A: 	en dan maar wat dan wel belangrijk zijn dat aan de zijkant zitten er dus zo'n soort van punt omhoog zeggen maar 
B: 	ja rechts 
B: 	link 
A: 	ja link 
B: 	ik vinden het heel moeilijk om dat de ander kant het zo 
A: 	ja ik doen hem na maar ja 
B: 	ja 
A: 	aan de links kant zitten een soort van slurf omhoog 
B: 	ja 
B: 	ja een soort staart 
A: 	ja nee dan dan weten ik hem ja 
B: 	ja 
A: 	zijn zestien 
B: 	sorry 
B: 	hij staan in één twee drie vier maar dan wel op het rand van de middellijn 
A: 	bij mij staan die rechts bovenin 
B: 	oké ja dan houden het al op 
A: 	nee dus dat zijn al anders rood 
A: 	bij mij zijn het die een die ik waarvan jij denken we kunnen hem wegzetten ergens op ik denken dat het een kruiwagen zijn met twee van die handvat die je zo kunnen pakken 
B: 	ja 
A: 	met die piramide erin 
B: 	ja 
B: 	ja hebbes 
A: 	ja 
B: 	dat zijn P 
A: 	die staan bij mij rechts bovenkwadrant maar tegen de middellijn aan 
B: 	ja 
B: 	ja ja 
A: 	en ongeveer in het midden 
B: 	ja hebbes ja 
A: 	iets veel naar rechts zullen ik zeggen maar ja 
B: 	ja 
B: 	dit zijn die een met die half piramide erin 
B: 	en dan met die staaf daarboven 
A: 	ja die kruiwag 
B: 	ja die 
A: 	ja 
A: 	dat zijn nummer veertien bij mij 
B: 	hij zitten ja hij hing net iets over de middellijn heen in het Linkerkwadrant en helemaal beneden 
A: 	ja zelfde plek 
A: 	dit zijn die een met die kruiwag met die piramide die er ondersteboven op liggen zeggen maar 
B: 	ja 
B: 	hebbes 
B: 	N 
A: 	Linksbovenkwadrant een beetje tegen de onderlijn tegen de middellijn aan zeggen maar 
A: 	van het kwadrant of van van van het totaal vlak bedoelen ik 
B: 	ja 
B: 	ja 
A: 	en dan een beetje in het midden eigenlijk 
B: 	ja 
B: 	dit zijn die een met die piramide en die dat dat ding 
A: 	ja de kruiwag 
B: 	ja 
A: 	waar staan die ? tien 
B: 	hij staan Linksboven 
B: 	wel ongeveer tegen deze middellijn aan 
A: 	op de middellijn bij mij gewoon echt 
B: 	ja ja wel iets veel naar links 
A: 	nee bij mij juist iets zullen ik zelfs zeggen iets veel naar rechts 
B: 	oké dan zijn die het niet 
A: 	de kruiwag met die piramide die erop liggen 
B: 	ja 
B: 	d 
A: 	rechtsbovenkwadrant 
B: 	ja 
A: 	en denken dat er nog één onder zullen kunnen 
A: 	twee erbof 
B: 	nee dat gaat al niet lukken 
