B: 	oké het volgen plaat lijken een heel klein beetje 
B: 	op een een soort stekker met allemaal dinget eraan vast 
B: 	er zitten een vierkantje omheen 
B: 	aan de ja jij lijken het als een koffiebeker dan zitten er aan de onderkant van het bekert zitten een een vierkant eromheen 
B: 	en daar staan die eigenlijk in een gat 
B: 	dus je zien de onderkant van het beker onder dat onder die plaat vandaan komen 
A: 	oké 
A: 	en dan hebben die aan de linkerkant een een staaf die links gaan en iets omhoog 
B: 	ja een Lvorm 
A: 	twee stickert recht omhoog 
B: 	ja 
B: 	en nog één 
A: 	en nog een ronde beetje aan de voorkant 
B: 	yes 
A: 	oké 
A: 	dat zijn nummer zes 
B: 	oké bij mij staan die in ieder geval qua hoogte helemaal bovenaan in het scherm 
A: 	bij mij ook 
B: 	en dan staan die aan de rechterhelft van het scherm 
B: 	als je de middellijn door het scherm 
A: 	iets naar rechts 
B: 	ja iets naar rechts 
A: 	maar niet heel veel 
B: 	nee het zijn echt wat zullen het zijn 
A: 	oké 
A: 	ja 
A: 	gewoon de één en die hoogte 
B: 	de één aan de rechterkant 
A: 	ja 
B: 	ja 
B: 	dan zullen die dezelfde plek 
A: 	oké 
A: 	zijn hetzelfde 
A: 	dan hebben we de koffiekop met de dun stekkerdinge aan de bovenkant 
A: 	met laag rond de middel de het vierkant eromheen 
B: 	ja 
B: 	ik weten hem 
A: 	oké 
B: 	dat zijn letter C 
A: 	kwadrant rechtsboven 
A: 	van die drie de bovenste en die staan in dat kwadrant ongeveer in het midden 
B: 	ja 
B: 	dezelfde plek 
A: 	mooi 
B: 	dit zijn het stopcontact met de klein punt aan de bovenkant 
B: 	er zitten ver een 
A: 	en de vierkant rok 
B: 	ja 
B: 	vierkant rok inderdaad 
A: 	dat zijn nummer dertien 
B: 	bij mij zijn het het plaat het veel Linksboven 
B: 	er zullen heel krap misschien nog iets link van toepassen 
A: 	nee bij mij staan die ongeveer in het midden qua hoogte 
B: 	nee 
A: 	misschien iets daarboven 
B: 	nee 
A: 	dus rood 
A: 	volgen zijn de stekkert aan de bovenkant 
A: 	vierkant rok in het midden 
B: 	ja 
A: 	en nog twee uitsteeksel 
B: 	en die ding 
B: 	ja dat zijn letter J 
A: 	en die staan onderaan zo goed als in het midden 
B: 	qua 
A: 	ja onderaan en de N Q de Q zitten er bijna door het midden 
B: 	bijna door het midden 
B: 	ja als je bij de Q omhooggaan dan hebben je net de hoek denken ik van dat vierkantje 
B: 	ik weten niet hoe op de millimeter het nou aan komen 
A: 	de de voorste hoek van het vierkantje 
B: 	ja bij de tussen de N en de Q als je daar omhooggaan gaan die denken ik de de voorste hoek van het vierkantje 
A: 	ja ja 
B: 	oké 
B: 	hetzelfde 
B: 	een stekker met die klein uitsteekselt en een vierkant vlak waar die in staat 
A: 	ja nummer negen zijn dat 
A: 	negen 
B: 	hij staan het veel rechts van het scherm 
B: 	bovenste kwadrant 
A: 	check 
A: 	nee 
B: 	ja ik denken dat de middellijn nee zullen het niet raken 
A: 	nee bij mij staan die onderste 
A: 	onderste kwadrant 
B: 	nee dan nee moeten ik heel veel fantasie hebben als die aan in het onderste kwadrant zitten 
A: 	en iets 
A: 	precies 
A: 	en dat plaat waar ik het over hebben die staan nog iets veel rechts in het scherm 
A: 	bij jou ook 
B: 	waar jij het waar ik het 
A: 	die die van jou staan helemaal rechts 
B: 	ja jij hebben denken ik 
A: 	maar het plaat daaronder die staan nog rechts 
B: 	ja 
A: 	en ik hebben die nog nog rechtsere 
B: 	jij hebben die nog rechts 
A: 	ja dus dat 
B: 	nee zijn dat bij mij een ander 
A: 	de stekkert aan de bovenkant 
A: 	vierkant rok om het midden 
B: 	ja ja 
B: 	duidelijk 
B: 	letter N 
A: 	kwadrant rechtsboven 
B: 	ja 
B: 	met een beetje twijfel maar wel rechtsboven ja 
A: 	ja dus hij staan heel erg tegen het midden aan 
B: 	tegen het midden aan 
B: 	ja 
A: 	en hij staan zo hoog als die maar kunnen 
B: 	ja passen niks veel boven 
B: 	ja 
B: 	zelfde 
