Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	9	dit zijn die een met dat dienblad en die	38	10	1	A	29, 38
3	1	8	dit zijn die een met dat dienblad en	29	20	1	B	19, 29, 38
4	1	5	dit zijn die een met	47	29	1	B	19, 29, 38, 47
4	4	3	staan bij mij	40	45	2	A	14, 35, 40, 58
3	1	3	dienblad en die	47	19	1	A	29, 38, 47
2	2	3	dus dat zijn	62	36	1	A	27, 62
2	2	3	met het dienblad	56	10	1	A	47, 56
2	2	3	op de middellijn	61	2	1	A	60, 61
8	4	2	bij mij	16	59	2	A	0, 14, 16, 24, 27, 35, 40, 58
6	2	2	die een	19	47	2	A	1, 4, 19, 29, 38, 47
6	6	2	in het	25	41	1	A	15, 25, 35, 51, 52, 55
5	3	2	dat zijn	24	50	1	B	13, 24, 27, 49, 62
5	1	2	zijn die	59	41	1	B	19, 29, 38, 47, 59
4	4	2	aan de	19	19	3	A	1, 3, 4, 19
4	2	2	de middellijn	35	37	1	B	25, 35, 60, 61
4	4	2	denken ik	35	22	1	B	25, 35, 41, 46
4	1	2	en die	38	19	2	A	29, 35, 38, 47
3	1	2	op de	61	12	2	A	50, 60, 61
2	2	2	en dan	52	28	1	B	25, 52
2	2	2	hebben ik	58	57	1	B	2, 58
2	2	2	hij staat	25	11	1	A	15, 25
2	2	2	tegen de	41	7	1	A	35, 41
2	2	2	ver naar	27	10	1	B	18, 27
23	23	1	ja	4	62	1	B	2, 4, 6, 7, 8, 11, 12, 20, 22, 23, 26, 30, 39, 40, 42, 43, 44, 46, 48, 51, 53, 62, 63
18	12	1	die	2	59	1	A	1, 2, 4, 14, 19, 21, 22, 23, 27, 29, 35, 38, 45, 47, 54, 56, 58, 59
13	4	1	zijn	13	63	1	A	0, 13, 19, 24, 27, 29, 31, 38, 45, 47, 49, 59, 62
11	5	1	en	19	52	4	A	1, 3, 4, 15, 19, 25, 29, 35, 38, 47, 52
10	4	1	dat	24	51	2	B	13, 19, 24, 27, 29, 32, 38, 49, 62, 63
10	5	1	een	9	47	3	A	1, 4, 7, 9, 19, 25, 29, 38, 41, 47
10	4	1	ik	35	62	3	B	2, 25, 32, 35, 41, 46, 51, 55, 58, 63
9	1	1	bij	59	60	2	A	0, 14, 16, 24, 27, 35, 40, 58, 59
9	2	1	het	25	57	2	A	0, 15, 25, 35, 47, 51, 52, 55, 56
8	3	1	met	22	48	2	B	9, 19, 22, 29, 38, 47, 55, 56
8	4	1	staan	18	45	1	A	14, 18, 21, 35, 36, 40, 55, 58
7	6	1	dan	17	55	1	B	9, 17, 25, 41, 52, 62, 63
7	1	1	in	47	41	1	A	15, 25, 35, 47, 51, 52, 55
6	2	1	aan	35	41	3	A	1, 3, 4, 19, 35, 41
6	1	1	dienblad	19	56	1	A	1, 19, 29, 38, 47, 56
6	6	1	nee	27	46	1	B	16, 27, 28, 36, 37, 61
6	6	1	wel	27	31	2	B	16, 25, 27, 41, 43, 46
5	1	1	denken	35	22	2	B	25, 32, 35, 41, 46
5	1	1	dit	19	48	1	A	0, 19, 29, 38, 47
5	3	1	hebben	2	58	1	A	1, 2, 4, 32, 58
5	3	1	hij	36	41	1	A	15, 25, 36, 40, 55
5	5	1	kunnen	16	27	1	A	15, 16, 25, 35, 41
5	5	1	nog	35	26	3	B	16, 18, 25, 35, 41
4	4	1	maar	35	33	2	B	9, 25, 35, 41
4	4	1	onder	16	22	1	A	15, 16, 35, 36
4	4	1	raar	19	44	1	A	4, 19, 38, 47
4	4	1	veel	18	27	1	A	15, 18, 25, 41
3	1	1	dus	62	36	2	A	27, 51, 62
3	3	1	er	35	26	1	B	16, 35, 41
3	3	1	half	43	19	2	B	25, 41, 43
3	1	1	op	61	12	2	A	50, 60, 61
3	1	1	staat	61	47	1	A	15, 25, 61
3	3	1	waar	31	28	2	A	4, 21, 31
3	3	1	wat	16	34	1	A	7, 16, 40
3	3	1	zullen	40	21	1	A	35, 40, 55
2	2	1	eruit	32	26	1	A	7, 32
2	2	1	even	21	20	1	B	2, 21
2	2	1	je	31	25	1	A	7, 31
2	2	1	kant	19	19	1	A	1, 19
2	2	1	link	60	20	1	B	41, 60
2	2	1	linksonder	51	12	1	B	40, 51
2	2	1	misschien	43	3	1	B	41, 43
2	2	1	moeten	63	62	1	B	2, 63
2	2	1	niet	61	35	1	A	27, 61
2	2	1	oké	17	5	1	B	13, 17
2	2	1	zo	35	34	1	B	2, 35

