B: 	oké deze staan op een driehoek met een draaien ding naar dat mokje toe zeggen maar 
B: 	en aan de bovenkant zitten er twee vierkant uit en aan de linkerkant iets scheef 
A: 	ja 
A: 	oké dat zijn vier 
B: 	oké bij mij staan die helemaal rechts in de hoek 
A: 	oké bij mij staan daar nog iets ander boven dus dan staan die niet op dezelfde plek 
B: 	oké 
A: 	dit zijn dat ding met zo'n driehoek onder en dan nog zo'n draaien ding na dat kop en er staan een vierkant bovenop 
B: 	ja ja 
B: 	ja 
A: 	nog een vierkant en nog iets ander 
B: 	ja 
B: 	oké 
B: 	dat zijn A 
A: 	die staan bij mij aan de linkerkant van het scherm 
A: 	daar hebben je niet helemaal links maar één rij daarnaast zeggen maar hebben je er drie een beetje schuin boven elkaar 
A: 	en daar zijn het de middel van 
B: 	oké dan staan die niet op dezelfde plek 
B: 	oké ik hebben diegene die op een driehoek staan met draaien ding 
A: 	ja 
A: 	ja dat zijn tien 
B: 	oké 
B: 	bij mij staan die onderaan het scherm zijn het de middel zeggen maar aan de linkerkant 
A: 	er staan er nog één link naast 
B: 	ja en ook één rechts naast 
A: 	ja oké dan staan die op dezelfde plek 
B: 	oké 
A: 	dit zijn dat ding met dat driehoek en die gedraaide 
B: 	ja 
A: 	die naar die pot gaan zeggen maar 
B: 	ja dat zijn L 
A: 	en die staan bij mij helemaal rechtsboven 
B: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	ik hebben diegene met de driehoek en dan draaien en daarop staan die mok 
A: 	ja dat zijn vier 
B: 	oké die van mij staan bij mij in het driehoek in het midden van het scherm linksonder 
A: 	ja dan staan die op dezelfde plek 
A: 	dit zijn die met dat driehoek en dat draaien ding waar die op staat 
B: 	ja dat zijn F 
A: 	ja 
A: 	die we net hebben 
B: 	ja 
A: 	als je die lijn weer doortreken 
B: 	ja 
A: 	dan komen je daar 
B: 	oké nee dat zijn niet dezelfde plek 
